Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-08-22T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 17,Aug 18,Aug 19,Aug 20,Aug 21,,
New York:,,
,
DJ Indust,"17,545.18","17,511.34","17,348.73","16,990.69","16,459.75",,
DJ Opening,"17,472.66","17,537.30","17,508.74","17,345.32","16,990.69",,
Day's High,"17,551.40","17,568.40","17,517.19","17,345.32","16,990.69",,
Day's low,"17,341.72","17,486.42","17,282.42","16,990.69","16,459.55",,
Nasdaq Comp,5091.70,5059.35,5019.05,4877.49,4706.04,,
S&P 500 Index,2102.44,2096.92,2079.61,2035.73,1970.89,,
Wilshire 5000,"22,141.65","22,063.71","21,874.91","21,395.24","20,770.28",,
NYSE volume ('000),768140,701517,691318,843651,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8379.02,8361.04,8299.99,8092.68,7872.06,,
NYSE Comp,"10,818.57","10,792.80","10,687.03","10,475.75","10,195.69",,
AMEX Index,2378.50,2367.24,2317.74,2281.47,2235.55,,
Canada:,,
,
DJ S&P TSX Index,"14,251.53","14,193.87","14,036.63","13,737.00","13,473.67",,
London:,,
,
FTSE 100 Index,6550.30,6526.29,6403.45,6367.89,6187.65,,
Europe:,,
,
EURO STOXX 50 Index,3497.90,3495.38,3429.84,3353.48,3247.26,,
Germany:,,
,
German Xetra Dax,"10,940.33","10,915.92","10,682.15","10,432.19","10,124.52",,
France:,,
,
CAC Index,4984.83,4971.25,4884.10,4783.55,4630.99,,
Switzerland:,,
,
Swiss Market Index,9390.46,9383.60,9251.60,9104.71,8798.57,,
Johannesburg:,,
,
FTSE JSE All Share Index,"50,751.10","50,977.03","50,140.90","49,761.67","49,028.36",,
JSE Africa Gold Index,816.74,842.53,886.36,1002.63,1022.93,,
Italy:,,
,
FTSE Italia All Share Index,"25,101.84","25,093.47","24,677.65","24,046.32","23,378.81",,
Spain:,,
,
IBEX 35,"10,900.3","10,897.9","10,782.4","10,587.0","10,271.7",,
New Zealand:,,
,
NZ Top 50 Capital,5727.42,5710.76,5750.03,5742.46,5751.19,,
NZ Top 10 Capital,1185.53,1175.01,1188.33,1183.62,1185.05,,
Tokyo:,,
,
Nikkei 225 Index,"20,620.26","20,554.47","20,222.63","20,033.52","19,435.83",,
Nikkei high,"20,668.87","20,663.18","20,521.97","20,246.47","19,737.54",,
Nikkei low,"20,541.00","20,545.25","20,218.03","20,033.29","19,435.83",,
Nikkei 300 Index,339.05,338.69,334.32,329.37,319.45,,
Topix Index,1672.87,1672.22,1648.48,1623.88,1573.01,,
Hong Kong:,,
,
Hang Seng Index,"23,814.65","23,474.97","23,167.85","22,757.47","22,409.62",,
China:,,
,
Shanghai A Index,4184.13,3927.03,3974.99,3838.80,3674.72,,
Korea:,,
,
Seoul KOSPI,1968.52,1956.26,1939.38,1914.55,1876.07,,
Taiwan:,,
,
TAIEX Index,8213.42,8177.22,8021.84,8029.81,7786.92,,
Singapore:,,
,
Straits Times Index,3067.35,3049.65,3041.25,3009.78,2971.01,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1572.54,1579.60,1582.44,1577.41,1574.67,,
Indonesia:,,
,
JSX Composite Index,Closed,4510.48,4484.24,4441.91,4335.95,,
India:,,
,
BSE Sensex Index,"27,878.27","27,831.54","27,931.64","27,607.82","27,366.07",,
Thailand:,,
,
FTSE SET Index,1408.74,1372.61,1379.12,1372.53,1365.61,,
Philippines:,,
,
Manila PSE Index,7336.84,7333.45,7344.73,7278.98,Closed,,
World:,,
,
MSCI World,1749.08,1744.20,1726.01,1697.25,1650.96,,
Comm Research Index,197.05,197.29,194.26,195.17,191.85,,
Moody's Comm Index,5118.18,5081.29,5059.09,5095.98,5095.98,,
LME Index,2375.0,2337.7,2333.8,2374.7,2338.0,,
,
Source: Thomson Reuters,
