Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-12-28T14:15:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 23,Dec 24,Dec 25,Dec 26,Dec 27,,
New York:,,
,
DJ Indust,"16,294.61","16,357.55",Closed,"16,479.88","16,478.41",,
DJ Opening,"16,225.25","16,295.70",–,"16,370.97","16,486.37",,
Day's High,"16,318.11","16,360.60",–,"16,483.00","16,529.01",,
Day's low,"16,225.25","16,295.70",–,"16,370.97","16,461.23",,
Nasdaq Comp,4148.90,4155.42,–,4167.18,4156.59,,
S&P 500 Index,1827.99,1833.32,–,1842.02,1841.40,,
Wilshire 5000,"19,484.97","19,555.11",–,"19,636.57","19,623.62",,
NYSE volume ('000),"61,006,500","27,154,600",–,"41,910,200","42,246,400",,
NYSE rises,2165,1971,–,1605,1568,,
NYSE falls,883,964,–,1396,1438,,
Transport,7312.04,7339.37,–,7363.64,7352.08,,
NYSE Comp,"10,246.68","10,284.40",–,"10,331.68","10,353.23",,
AMEX Index,2385.37,2400.04,–,2412.46,2419.52,,
Canada:,,
,
DJ S&P TSX Index,"13,447.70","13,518.02",Closed,Closed,"13,587.98",,
London:,,
,
FTSE 100 Index,6678.61,6694.17,Closed,Closed,6750.87,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3070.91,3072.88,Closed,Closed,3111.37,,
Germany:,,
,
German Xetra Dax,9488.82,Closed,Closed,Closed,9589.39,,
France:,,
,
CAC Index,4215.29,4218.41,Closed,Closed,4277.65,,
Switzerland:,,
,
Swiss Market Index,8107.10,Closed,Closed,Closed,8221.90,,
Johannesburg:,,
,
FTSE JSE All Share Index,"44,753.19","44,912.80",Closed,Closed,"45,735.26",,
JSE Africa Gold Index,970.12,971.67,–,–,1019.80,,
Italy:,,
,
FTSE Italia All Share Index,"19,918.09",Closed,Closed,Closed,"20,190.90",,
Spain:,,
,
IBEX 35,9758.4,9819.5,Closed,Closed,9900.1,,
New Zealand:,,
,
NZ Top 50 Capital,4722.64,4767.94,Closed,Closed,4767.36,,
NZ Top 10 Capital,1108.77,1121.11,–,–,1113.40,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"15,889.33","16,009.99","16,174.44","16,178.94",,
Nikkei high,–,"16,029.65","16,010.54","16,186.04","16,232.69",,
Nikkei low,–,"15,849.00","15,853.51","16,082.28","16,056.73",,
Nikkei 300 Index,–,257.53,257.70,261.56,263.38,,
Topix Index,–,1257.55,1258.18,1279.34,1290.07,,
Hong Kong:,,
,
Hang Seng Index,"22,921.56","23,179.55",Closed,Closed,"23,243.24",,
China:,,
,
Shanghai A Index,2187.14,2190.43,2204.47,2169.56,2199.06,,
Korea:,,
,
Seoul KOSPI,1996.89,2001.59,Closed,1999.30,2002.28,,
Taiwan:,,
,
TAIEX Index,8456.46,8450.49,8467.76,8485.89,8535.04,,
Singapore:,,
,
Straits Times Index,3116.22,3127.29,Closed,3134.36,3149.76,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1832.86,1835.49,Closed,1844.10,1861.06,,
Indonesia:,,
,
JSX Composite Index,4189.61,4202.83,Closed,Closed,4212.98,,
India:,,
,
BSE Sensex Index,"21,101.03","21,032.71",Closed,"21,074.59","21,193.58",,
Thailand:,,
,
FTSE SET Index,1326.14,1327.13,1332.45,1308.46,1298.71,,
Philippines:,,
,
Manila PSE Index,5854.88,Closed,Closed,5878.32,5889.83,,
World:,,
,
MSCI World,1637.28,1639.65,1639.73,1646.28,1654.16,,
Comm Research Index,282.69,283.44,283.42,283.51,284.77,,
Moody's Comm Index,5705.78,5741.48,Closed,5759.53,5759.53,,
LME Index,3130.4,3141.3,Closed,Closed,3186.7,,
,
Source: Thomson Reuters,
