Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-09-04T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Aug 29,Aug 30,Aug 31,Sep 1,Sep 2,,
New York:,,
,
DJ Indust,"11,539.25","11,559.95","11,613.53","11,493.57","11,240.26",,
DJ Opening,"11,286.65","11,532.13","11,560.48","11,613.30","11,492.06",,
Day's High,"11,541.78","11,630.07","11,712.60","11,716.84","11,492.14",,
Day's low,"11,286.58","11,429.39","11,528.08","11,488.46","11,211.35",,
Nasdaq Comp,2562.11,2576.11,2579.46,2546.04,2480.33,,
S&P 500 Index,1210.08,1212.92,1218.89,1204.42,1173.97,,
Wilshire 5000,"12,699.31","12,737.02","12,792.55","12,619.79","12,284.36",,
NYSE volume ('000),"91,088","1,015,762","1,263,127","1,015,819","97,359",,
NYSE rises,2797,1899,1953,800,437,,
NYSE falls,270,1073,1064,2206,2576,,
Transport,4618.62,4683.96,4666.96,4599.85,4445.32,,
NYSE Comp,7450.30,7464.00,7528.39,7443.46,7250.73,,
AMEX Index,2276.99,2283.17,2289.49,2290.88,2276.09,,
Canada:,,
,
DJ S&P TSX Index,"12,504.85","12,634.71","12,768.70","12,700.74","12,602.41",,
London:,,
,
FTSE 100 Index,Closed,5268.66,5394.53,5418.65,5292.03,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2239.30,2239.14,2302.08,2305.75,2220.72,,
Germany:,,
,
German Xetra Dax,5670.07,5643.92,5784.85,5730.63,5538.33,,
France:,,
,
CAC Index,3154.20,3159.74,3256.76,3265.83,3148.53,,
Switzerland:,,
,
Swiss Market Index,5446.47,5449.16,5528.52,5531.54,5359.67,,
Johannesburg:,,
,
FTSE JSE All Share Index,"30,292.76","30,365.13","31,005.50","31,088.12","30,518.92",,
JSE Africa Gold Index,2628.67,2656.39,2680.90,2664.14,2720.84,,
Italy:,,
,
FTSE Italia All Share Index,"16,006.42","15,990.52","16,468.10","16,563.63","15,955.20",,
Spain:,,
,
IBEX 35,8395.0,8444.8,8718.6,8761.1,8463.5,,
New Zealand:,,
,
NZ Top 50 Capital,3306.00,3317.73,3323.07,3332.27,3303.22,,
NZ Top 10 Capital,874.91,876.31,869.42,869.06,860.00,,
Tokyo:,,
,
Nikkei 225 Index,8851.35,8953.90,8955.20,9060.80,8950.74,,
Nikkei high,8926.27,8992.86,8967.80,9098.15,9014.27,,
Nikkei low,8751.29,8935.85,8905.52,8998.01,8914.65,,
Nikkei 300 Index,153.12,154.75,155.59,157.20,155.48,,
Topix Index,758.83,767.30,770.60,778.28,769.78,,
Nikkei vol (mil),1954, 1832,1858,1705,1715,,
Hong Kong:,,
,
Hang Seng Index,"19,865.11","20,204.17","20,534.85","20,585.33","20,212.91",,
China:,,
,
Shanghai A Index,2698.66,2688.33,2689.08,2677.20,2648.10,,
Korea:,,
,
Seoul KOSPI,1829.50,1843.82,1880.11,1880.70,1867.75,,
Taiwan:,,
,
TAIEX Index,7578.01,7646.19,7741.36,7757.76,7757.06,,
Singapore:,,
,
Straits Times Index,2791.89,Closed,2885.26,2867.18,2843.09,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1447.27,Closed,Closed,Closed,1474.09,,
Indonesia:,,
,
JSX Composite Index,Closed,Closed,Closed,Closed,Closed,,
India:,,
,
BSE Sensex Index,"16,416.33","16,676.75",Closed,Closed,"16,821.46",,
Thailand:,,
,
FTSE SET Index,1055.63,1044.97,1070.05,1069.13,1065.18,,
Philippines:,,
,
Manila PSE Index,Closed,Closed,4348.50,4366.59,4392.91,,
World:,,
,
MSCI World,1190.92,1196.18,1211.22,1203.17,1175.26,,
Comm Research Index,337.32,341.16,342.77,340.85,338.26,,
Moody's Comm Index,6994.38,7007.83,7053.81,7091.14,7034.57,,
LME Index,Closed,3991.1,4043.7,3990.8,3952.6,,
,
Source: Thomson Reuters,
