Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-07-04T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jun 29,Jun 30,Jul 1,Jul 2,Jul 3,,
New York:,,
,
DJ Indust,"17,596.35","17,619.51","17,757.91","17,730.11",Closed,,
DJ Opening,"17,936.74","17,599.96","17,638.12","17,763.32",–,,
Day's High,"17,936.74","17,714.66","17,801.83","17,825.49",–,,
Day's low,"17,590.55","17,576.50","17,638.12","17,687.52",–,,
Nasdaq Comp,4958.47,4986.87,5013.12,5009.21,–,,
S&P 500 Index,2057.64,2063.11,2077.42,2076.78,–,,
Wilshire 5000,"21,774.32","21,841.75","21,968.09","21,950.59",–,,
NYSE volume ('000),772396,1850248,874252,1180464,861298,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8080.83,8092.28,8103.86,8122.50,Closed,,
NYSE Comp,"10,790.33","10,805.20","10,858.99","10,864.82",Closed,,
AMEX Index,2361.30,2355.53,2357.36,2362.35,Closed,,
Canada:,,
,
DJ S&P TSX Index,"14,490.15","14,553.33",Closed,"14,637.99","14,682.39",,
London:,,
,
FTSE 100 Index,6620.48,6520.98,6608.59,6630.47,6585.78,,
Europe:,,
,
EURO STOXX 50 Index,3468.90,3424.30,3496.28,3463.25,3441.76,,
Germany:,,
,
German Xetra Dax,"11,083.20","10,944.97","11,180.50","11,099.35","11,058.39",,
France:,,
,
CAC Index,4869.82,4790.20,4883.19,4835.56,4808.22,,
Switzerland:,,
,
Swiss Market Index,8868.39,8780.91,8908.99,8961.48,8912.84,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,999.92","51,806.95","51,888.04","52,215.47","51,967.08",,
JSE Africa Gold Index,1060.61,1020.64,996.06,984.53,1005.66,,
Italy:,,
,
FTSE Italia All Share Index,"24,074.93","23,985.16","24,482.86","24,141.73","24,023.70",,
Spain:,,
,
IBEX 35,"10,853.9","10,769.5","10,911.5","10,846.4","10,779.8",,
New Zealand:,,
,
NZ Top 50 Capital,5705.81,5726.96,5794.36,5841.47,5840.90,,
NZ Top 10 Capital,1178.03,1180.11,1197.78,1211.77,1212.13,,
Tokyo:,,
,
Nikkei 225 Index,"20,109.95","20,235.73","20,329.32","20,522.50","20,539.79",,
Nikkei high,"20,361.60","20,243.18","20,346.74","20,601.73","20,557.51",,
Nikkei low,"20,093.16","20,118.26","20,225.27","20,479.85","20,431.25",,
Nikkei 300 Index,329.54,330.55,331.33,333.71,334.73,,
Topix Index,1624.82,1630.40,1636.41,1648.24,1652.09,,
Hong Kong:,,
,
Hang Seng Index,"25,966.98","26,250.03",Closed,"26,282.32","26,064.11",,
China:,,
,
Shanghai A Index,4245.47,4479.90,4245.66,4098.08,3861.59,,
Korea:,,
,
Seoul KOSPI,2060.49,2074.20,2097.89,2107.33,2104.41,,
Taiwan:,,
,
TAIEX Index,9236.10,9323.02,9375.23,9379.24,9358.23,,
Singapore:,,
,
Straits Times Index,3280.18,3317.33,3331.14,3327.84,3342.73,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1691.92,1706.64,1727.96,1733.88,1734.24,,
Indonesia:,,
,
JSX Composite Index,4882.58,4910.66,4904.06,4944.78,4982.91,,
India:,,
,
BSE Sensex Index,"27,645.15","27,780.83","28,020.87","27,945.80","28,092.79",,
Thailand:,,
,
FTSE SET Index,1511.19,1504.55,Closed,1491.62,1489.59,,
Philippines:,,
,
Manila PSE Index,7567.38,7564.50,7575.15,7578.31,7535.30,,
World:,,
,
MSCI World,1737.60,1735.61,1747.18,1747.25,1744.49,,
Comm Research Index,224.16,227.75,224.64,225.13,Closed,,
Moody's Comm Index,5358.90,5388.41,5403.97,Closed,Closed,,
LME Index,2616.1,2600.7,2628.0,2630.2,2611.4,,
,
Source: Thomson Reuters,
