Weekly Roundup - Overseas Indices,,,,,,
XAO 4925.9 at 16:34 9/4/2010  Report at 19:08 Thursday 9/4/2010 . Processed 18:39 Sunday 11/4/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,
NEW YORK:,,,,,,
"""DJ Indust         ","10,973.55","10,969.99","10,897.52","10,927.07","10,997.35",""""
"""DJ Opening    ","10,927.45","10,972.49","10,961.95","10,896.99","10,926.92",""""
"""Day's High      ","10,988.06","10,987.38","10,962.66","10,949.36","11,000.98",""""
"""Day's low         ","10,923.97","10,927.52","10,845.45","10,844.09","10,926.92",""""
Nasdaq Comp       ,2429.53,2436.81,2431.16,2436.81,2454.05,
S&P 500 Index     ,1187.44,1189.44,1182.45,1186.44,1194.37,
"""Wilshire 5000    ","12,369.11","12,396.71","12,327.19","12,364.24","12,447.93",""""
"""NYSE volume ('000)      ","89,966","93,322","1,151,624","1,045,372","96,776",""""
NYSE rises        ,2298,1705,1109,1559,2053,
NYSE falls        ,765,1306,1924,1440,968,
Transport         ,4415.41,4431.42,4395.99,4456.7,4507.65,
NYSE Comp         ,7600.93,7604.44,7546.18,7565.33,7629.05,
AMEX Index        ,1969.57,1960.87,1956.42,1951.43,1966.64,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","12,186.35","12,156.71","12,110.90","12,113.53","12,176.84",""""
LONDON:,,,,,,
FT 100 Index      ,closed ,5780.35,5762.06,5712.7,5770.98,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,closed ,2989.49,2974.62,2942.31,2993.54,
GERMANY:,,,,,,
German Xetra Dax  ,closed ,6252.21,6222.41,6171.83,6249.7,
FRANCE:,,,,,,
CAC Index         ,closed  ,4053.94,4026.97,3978.46,4050.54,
SWITZERLAND:,,,,,,
Swiss Market Index  ,closed ,6886.21,6843.49,6791.01,6888.97,
JOHANNESBURG:,,,,,,
"""All Share Index   ",closed   ,"29,367.74","29,265.17","29,030.38","29,357.50",""""
JSE Africa Gold Index        ,       ,2322.74,2326.55,2333.11,2360.23,
ITALY:,,,,,,
"""FTSE Italia All Share Index ",closed ,"23,847.27","23,665.52","23,355.68","23,634.00",""""
SPAIN:,,,,,,
"""IBEX 35  ",05close,"11,160.60","11,191.30","11,076.30","11,394.00",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,2closed ,3308.91,3325.08,3307.77,3310.25,
NZ Top 10 Capital   ,       ,874.64,878.73,872.57,872.7,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","11,339.30","11,282.32","11,292.83","11,168.20","11,204.34",""""
"""Nikkei high       ","11,408.17","11,358.45","11,350.57","11,232.36","11,204.87",""""
"""Nikkei low        ","11,306.62","11,217.25","11,260.42","11,159.45","11,148.80",""""
Nikkei 300 Index  ,202.66,201.71,202.42,200.4,201.15,
Topix Index       ,995.68,990.79,995.54,985.99,989.42,
Nikkei vol (mil)  ,1847,2106,2393,2105,2233,
HONG KONG:,,,,,,
"""Hang Seng Index    ",closed   ,closed     ,"21,928.77","21,867.04","22,208.50",""""
 CHINA:,,,,,,
Shanghai A Index  ,closed    ,3311.9,3300.8,3269.71,3297.68,
KOREA:,,,,,,
Seoul KOSPI     ,1724.99,1726.09,1726.6,1733.78,1724.47,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,935.68","17,941.37","17,970.02","17,714.40","17,933.14",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2968.38,2975.51,2988.1,2963.19,2971.97,
MALAYSIA:,,,,,,
KL Composite Index   ,1341.75,1344.37,1345.09,1332.93,1333.98,
INDONESIA:,,,,,,
JSX Composite Index      ,2887.25,2880.97,2898.58,2850.84,2845.01,
THAILAND:,,,,,,
Bangkok SET Index         ,808.15,closed  ,812.63,783.93,789.66,
PHILIPPINES:,,,,,,
Manila PSE Index         ,3186.77,3253.48,3270.37,3256.12,3256.12,
TAIWAN:,,,,,,
TAIEX Index   ,closed  ,8089.65,8121.78,8057.6,8092.03,
WORLD:,,,,,,
MSCI World        ,1217.4,1218.1,1213.3,1207.9,1222.4,
Comm Research Index    ,279.51,278.52,277.59,275.25,276.13,
Moody's Comm Index   ,4832.37,4882.44,4897.15,4960.72,4925.03,
LME Index        ,closed  ,3687.3,3664.8,3650.8,3688.5,
