Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-11-07T17:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Nov 1,Nov 2,Nov 3,Nov 4,Nov 5,,
New York:,,
,
DJ Indust,"11,124.62","11,188.72","11,215.13","11,434.84","11,444.08",,
DJ Opening,"11,120.30","11,125.22","11,184.88","11,216.65","11,435.22",,
Day's High,"11,244.27","11,219.52","11,226.64","11,440.37","11,451.53",,
Day's low,"11,062.33","11,125.22","11,097.37","11,216.65","11,393.52",,
Nasdaq Comp,2504.84,2533.52,2540.27,2577.34,2578.98,,
S&P 500 Index,1184.38,1193.57,1197.96,1221.06,1225.85,,
Wilshire 5000,"12,416.29","12,529.27","12,572.41","12,817.80","12,870.38",,
NYSE volume ('000),"95,832","91,294","1,099,858","1,377,480","1,241,188",,
NYSE rises,1556,2209,1704,2515,1740,,
NYSE falls,1405,772,1257,492,1241,,
Transport,4756.92,4818.62,4861.81,4923.79,4923.40,,
NYSE Comp,7509.21,7582.14,7608.41,7782.43,7800.66,,
AMEX Index,2086.15,2111.81,2119.59,2152.28,2153.36,,
Canada:,,
,
DJ S&P TSX Index,"12,664.81","12,681.42","12,671.12","12,878.79","12,925.11",,
London:,,
,
FTSE 100 Index,5694.62,5757.43,5748.97,5862.79,5875.35,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2836.73,2861.01,2830.43,2884.21,2875.94,,
Germany:,,
,
German Xetra Dax,6604.86,6654.31,6617.80,6734.69,6754.20,,
France:,,
,
CAC Index,3841.11,3865.72,3842.94,3916.78,3916.73,,
Switzerland:,,
,
Swiss Market Index,6504.72,6541.50,6512.99,6595.64,6587.72,,
Johannesburg:,,
,
FTSE JSE All Share Index,"30,637.96","30,609.63","30,817.97","31,327.90","31,456.46",,
JSE Africa Gold Index,2582.39,2559.32,2555.55,2613.12,2703.95,,
Italy:,,
,
FTSE Italia All Share Index,"21,809.77","22,000.25","21,800.44","22,073.04","21,816.10",,
Spain:,,
,
IBEX 35,"10,649.5","10,762.1","10,569.5","10,602.8","10,428.1",,
New Zealand:,,
,
NZ Top 50 Capital,3299.73,3324.76,3333.07,3326.25,3319.16,,
NZ Top 10 Capital,849.76,856.97,857.90,855.88,853.04,,
Tokyo:,,
,
Nikkei 225 Index,9154.72,9159.98,Closed,9358.78,9625.99,,
Nikkei high,9258.32,9172.03,-,9377.76,9680.68,,
Nikkei low,9134.47,9123.62,-,9276.71,9497.45,,
Nikkei 300 Index,163.93,164.05,-,166.79,170.63,,
Topix Index,803.30,803.12,-,816.33,834.98,,
Nikkei vol (mil),1697,1551,-,1784,2124,,
Hong Kong:,,
,
Hang Seng Index,"23,652.94","23,671.42","24,144.67","24,535.63","24,876.82",,
China:,,
,
Shanghai A Index,3199.48,3190.52,3175.39,3233.97,3278.45,,
Korea:,,
,
Seoul KOSPI,1914.74,1918.04,1935.97,1942.50,1938.96,,
Taiwan:,,
,
TAIEX Index,8379.75,8344.76,8293.90,8357.85,8449.34,,
Singapore:,,
,
Straits Times Index,3192.18,3205.28,3224.97,3240.31,Closed,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1509.66,1506.57,1507.60,1511.74,Closed,,
Indonesia:,,
,
JSX Composite Index,3645.15,3625.49,3605.67,3629.05,3655.31,,
India:,,
,
BSE Sensex Index,"20,355.63","20,345.69","20,465.74","20,893.57","21,004.96",,
Thailand:,,
,
FTSE SET Index,1003.24,1005.58,1014.20,1031.61,1040.45,,
Philippines:,,
,
Manila PSE Index,Closed,4341.74,4381.86,4397.30,4349.11,,
World:,,
,
MSCI World,1223.31,1233.98,1233.94,1263.4,1264.73,,
Comm Research Index,301.48,304.93,305.02,312.25,313.51,,
Moody's Comm Index,5995.49,6059.40,6078.77,6058.58,6166.88,,
LME Index,3810.2,3870.5,3830.8,3951.0,3961.8,,
,
Source: Thomson Reuters,
