Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-10-24T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Oct 19,Oct 20,Oct 21,Oct 22,Oct 23,,
New York:,,
,
DJ Indust,"17,230.54","17,217.11","17,168.61","17,489.16","17,646.70",,
DJ Opening,"17,209.43","17,228.47","17,225.93","17,180.88","17,525.11",,
Day's High,"17,235.95","17,264.88","17,314.99","17,505.18","17,679.37",,
Day's low,"17,129.19","17,147.99","17,153.13","17,180.88","17,525.11",,
Nasdaq Comp,4905.47,4880.97,4840.12,4920.05,5031.86,,
S&P 500 Index,2033.66,2030.77,2018.94,2052.51,2075.15,,
Wilshire 5000,"21,285.83","21,256.21","21,093.24","21,394.53","21,614.06",,
NYSE volume ('000),960038,826548,791958,859824,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8107.00,8158.53,8118.93,8238.93,8295.58,,
NYSE Comp,"10,391.60","10,383.42","10,306.44","10,448.83","10,506.51",,
NYSE AMEX Comp Idx,2311.96,2306.35,2287.12,2307.34,2304.96,,
Canada:,,
,
DJ S&P TSX Index,"13,758.38","13,841.92","13,704.19","13,878.11","13,953.66",,
London:,,
,
FTSE 100 Index,6352.33,6345.13,6348.42,6376.28,6444.08,,
Europe:,,
,
EURO STOXX 50 Index,3272.04,3255.72,3272.23,3353.11,3425.81,,
Germany:,,
,
German Xetra Dax,"10,164.31","10,147.68","10,238.10","10,491.97","10,794.54",,
France:,,
,
CAC Index,4704.07,4673.81,4695.10,4802.18,4923.64,,
Switzerland:,,
,
Swiss Market Index,8705.66,8650.02,8602.12,8788.92,8910.52,,
Johannesburg:,,
,
FTSE JSE All Share Index,"53,184.07","52,880.16","52,997.97","53,293.97","54,298.41",,
JSE Africa Gold Index,1074.42,1073.47,1037.63,1055.47,1076.02,,
Italy:,,
,
FTSE Italia All Share Index,"24,030.53","23,886.67","23,786.55","24,222.56","24,365.70",,
Spain:,,
,
IBEX 35,"10,207.3","10,100.6","10,157.5","10,365.4","10,476.3",,
New Zealand:,,
,
NZ Top 50 Capital,5834.83,5895.49,5918.26,5923.60,5970.67,,
NZ Top 10 Capital,1169.65,1183.81,1186.18,1187.15,1198.42,,
Tokyo:,,
,
Nikkei 225 Index,"18,131.23","18,207.15","18,554.28","18,435.87","18,825.30",,
Nikkei high,"18,314.09","18,253.13","18,605.41","18,579.14","18,915.64",,
Nikkei low,"18,078.43","18,147.98","18,167.64","18,376.01","18,746.61",,
Nikkei 300 Index,302.22,303.59,309.31,307.57,313.48,,
Topix Index,1494.75,1499.28,1526.81,1518.22,1547.84,,
Hong Kong:,,
,
Hang Seng Index,"23,075.61","22,989.22",Closed,"22,845.37","23,151.94",,
China:,,
,
Shanghai A Index,3547.08,3587.54,3478.12,3528.23,3573.85,,
Korea:,,
,
Seoul KOSPI,2030.27,2039.36,2042.98,2023.00,2040.40,,
Taiwan:,,
,
TAIEX Index,8631.50,8653.60,8609.23,8608.46,8673.81,,
Singapore:,,
,
Straits Times Index,3024.50,3019.03,3025.70,3038.11,3068.46,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1718.20,1705.03,1707.11,1705.09,1710.93,,
Indonesia:,,
,
JSX Composite Index,4569.84,4585.82,4605.23,4584.56,4653.15,,
India:,,
,
BSE Sensex Index,"27,364.92","27,306.83","27,287.66",Closed,"27,470.81",,
Thailand:,,
,
FTSE SET Index,1416.91,1418.63,1415.80,1416.14,Closed,,
Philippines:,,
,
Manila PSE Index,7054.86,7060.85,7092.90,7117.78,7236.38,,
World:,,
,
MSCI World,1679.92,1677.52,1672.87,1689.33,1706.61,,
Comm Research Index,197.26,197.96,196.12,196.14,194.24,,
Moody's Comm Index,5024.06,5012.34,5011.26,4985.34,4985.34,,
LME Index,2389.7,2383.1,2358.5,2370.7,2359.6,,
,
Source: Thomson Reuters,
