Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-04T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Sep 29,Sep 30,Oct 1,Oct 2,Oct 3,,
New York:,,
,
DJ Indust,"17,071.22","17,042.90","16,804.71","16,801.05","17,009.69",,
DJ Opening,"17,107.69","17,070.45","17,040.46","16,808.27","16,802.20",,
Day's High,"17,107.69","17,145.10","17,041.16","16,857.25","17,027.84",,
Day's low,"16,934.43","17,017.11","16,776.13","16,674.04","16,802.20",,
Nasdaq Comp,4505.85,4493.39,4422.09,4430.20,4475.62,,
S&P 500 Index,1977.80,1972.29,1946.16,1946.17,1967.90,,
Wilshire 5000,"20,842.01","20,760.46","20,476.54","20,500.46","20,715.53",,
NYSE volume ('000),628956,650544,940887,796693,n/a,,
NYSE rises,n/a,n/a,n/a,n/a,n/a,,
NYSE falls,n/a,n/a,n/a,n/a,n/a,,
Transport,8498.08,8451.10,8239.28,8305.81,8481.99,,
NYSE Comp,"10,749.05","10,702.93","10,571.55","10,555.71","10,635.49",,
AMEX Index,2638.89,2605.66,2585.58,2579.34,2563.04,,
Canada:,,
,
DJ S&P TSX Index,"14,976.92","14,960.51","14,805.44","14,760.64","14,789.78",,
London:,,
,
FTSE 100 Index,6646.60,6622.72,6557.52,6446.39,6527.91,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3186.95,3225.93,3195.08,3106.42,3133.37,,
Germany:,,
,
German Xetra Dax,9422.91,9474.30,9382.03,9195.68,Closed,,
France:,,
,
CAC Index,4358.07,4416.24,4365.27,4242.67,4281.74,,
Switzerland:,,
,
Swiss Market Index,8776.73,8835.14,8789.53,8654.71,8683.53,,
Johannesburg:,,
,
FTSE JSE All Share Index,"49,371.12","49,336.31","48,875.03","48,189.06","48,613.19",,
JSE Africa Gold Index,1271.15,1265.52,1245.79,1246.33,1208.58,,
Italy:,,
,
FTSE Italia All Share Index,"21,674.76","22,030.27","21,858.60","21,037.50","21,345.04",,
Spain:,,
,
IBEX 35,"10,686.0","10,825.5","10,753.2","10,418.1","10,567.6",,
New Zealand:,,
,
NZ Top 50 Capital,5259.51,5255.04,5274.58,5245.24,5236.99,,
NZ Top 10 Capital,1145.49,1147.30,1148.18,1140.13,1136.25,,
Tokyo:,,
,
Nikkei 225 Index,"16,310.64","16,173.52","16,082.25","15,661.99","15,708.65",,
Nikkei high,"16,344.32","16,252.72","16,225.96","15,922.51","15,708.65",,
Nikkei low,"16,262.00","16,058.72","16,081.01","15,646.40","15,559.07",,
Nikkei 300 Index,269.40,267.08,265.74,258.27,258.61,,
Topix Index,1337.30,1326.29,1318.21,1280.15,1282.54,,
Hong Kong:,,
,
Hang Seng Index,"23,229.21","22,932.98",Closed,Closed,"23,064.56",,
China:,,
,
Shanghai A Index,2468.17,2474.59,Closed,Closed,Closed,,
Korea:,,
,
Seoul KOSPI,2026.60,2020.09,1991.54,1976.16,Closed,,
Taiwan:,,
,
TAIEX Index,8960.76,8966.92,8990.26,8975.19,9106.28,,
Singapore:,,
,
Straits Times Index,3289.72,3276.74,3264.09,3228.71,3253.24,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1846.34,1846.31,1845.32,1837.68,1840.82,,
Indonesia:,,
,
JSX Composite Index,5142.01,5137.58,5140.91,5000.81,4949.35,,
India:,,
,
BSE Sensex Index,"26,597.11","26,630.51","26,567.99",Closed,Closed,,
Thailand:,,
,
FTSE SET Index,1585.79,1585.67,1587.35,1569.73,1570.28,,
Philippines:,,
,
Manila PSE Index,7265.36,7283.07,7268.06,7196.26,7247.03,,
World:,,
,
MSCI World,1702.18,1698.41,1679.18,1667.98,1675.29,,
Comm Research Index,283.82,279.21,278.58,277.98,277.00,,
Moody's Comm Index,5631.29,5604.79,5593.82,5604.19,5604.19,,
LME Index,3116.2,3091.6,3075.2,3041.7,3069.2,,
,
Source: Thomson Reuters,
