Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-07-26T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,,
New York:,,
,
DJ Indust,"17,051.73","17,113.54","17,086.63","17,083.80","16,960.57",,
DJ Opening,"17,095.11","17,054.97","17,117.01","17,092.02","17,079.50",,
Day's High,"17,095.11","17,133.43","17,121.05","17,119.83","17,082.33",,
Day's low,"16,974.34","17,040.13","17,058.05","17,061.07","16,915.65",,
Nasdaq Comp,4424.70,4456.02,4473.70,4472.11,4449.56,,
S&P 500 Index,1973.63,1983.53,1987.01,1987.98,1978.34,,
Wilshire 5000,"20,861.57","20,972.80","21,010.60","21,021.06","20,907.17",,
NYSE volume ('000),n/a,n/a,n/a,n/a,n/a,,
NYSE rises,1111,2080,1753,1407,n/a,,
NYSE falls,1913,936,1265,1599,n/a,,
Transport,8360.70,8455.34,8468.54,8466.60,8428.15,,
NYSE Comp,"10,957.67","11,016.24","11,023.90","11,038.56","10,985.81",,
AMEX Index,2775.42,2789.04,2801.76,2799.25,n/a,,
Canada:,,
,
DJ S&P TSX Index,"15,249.99","15,315.13","15,394.38","15,394.45","15,455.04",,
London:,,
,
FTSE 100 Index,6728.44,6795.34,6798.15,6821.46,6791.55,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3137.06,3189.22,3193.13,3220.07,3174.99,,
Germany:,,
,
German Xetra Dax,9612.05,9734.33,9753.56,9794.06,9644.01,,
France:,,
,
CAC Index,4304.74,4369.52,4376.32,4410.65,4330.55,,
Switzerland:,,
,
Swiss Market Index,8513.96,8594.21,8605.10,8637.01,8571.48,,
Johannesburg:,,
,
FTSE JSE All Share Index,"51,420.81","51,931.33","51,910.92","51,621.52","51,550.17",,
JSE Africa Gold Index,1560.46,1549.18,1555.18,1506.08,1504.64,,
Italy:,,
,
FTSE Italia All Share Index,"21,699.81","22,130.09","22,089.66","22,524.61","22,336.37",,
Spain:,,
,
IBEX 35,"10,482.0","10,648.9","10,659.1","10,860.7","10,888.1",,
New Zealand:,,
,
NZ Top 50 Capital,5126.90,5133.87,5146.53,5174.71,5194.27,,
NZ Top 10 Capital,1145.78,1148.74,1153.95,1162.31,1171.28,,
Tokyo:,,
,
Nikkei 225 Index,Closed,"15,343.28","15,328.56","15,284.42","15,457.87",,
Nikkei high,–,"15,392.02","15,376.20","15,383.11","15,457.87",,
Nikkei low,–,"15,287.93","15,317.37","15,232.14","15,341.69",,
Nikkei 300 Index,–,257.61,257.40,256.86,259.30,,
Topix Index,–,1273.27,1272.39,1269.86,1281.35,,
Hong Kong:,,
,
Hang Seng Index,"23,387.14","23,782.11","23,971.87","24,141.50","24,216.01",,
China:,,
,
Shanghai A Index,2151.01,2173.03,2176.21,2204.09,2226.70,,
Korea:,,
,
Seoul KOSPI,2018.50,2028.93,2028.32,2026.62,2033.85,,
Taiwan:,,
,
TAIEX Index,9440.97,9499.36,9499.36,9527.54,9439.29,,
Singapore:,,
,
Straits Times Index,3314.27,3316.91,3340.70,3353.89,3350.17,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1868.64,1871.36,1871.83,1877.05,1877.34,,
Indonesia:,,
,
JSX Composite Index,5127.12,5083.52,5107.68,5098.64,5088.80,,
India:,,
,
BSE Sensex Index,"25,715.17","26,025.80","26,147.33","26,271.85","26,126.75",,
Thailand:,,
,
FTSE SET Index,1538.55,1520.81,1541.56,1543.92,1543.85,,
Philippines:,,
,
Manila PSE Index,6874.88,6869.94,6892.92,6889.89,6889.55,,
World:,,
,
MSCI World,1740.10,1750.75,1754.10,1756.25,1748.23,,
Comm Research Index,299.14,298.05,299.48,298.89,299.04,,
Moody's Comm Index,6185.71,6189.45,6183.96,6222.26,6222.26,,
LME Index,3264.3,3282.1,3273.3,3315.7,3298.7,,
,
Source: Thomson Reuters,
