Weekly Roundup - Overseas Indices,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:16 Friday 30/7/2010!. Processed 18:15 Sunday 1/8/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,
NEW YORK:,,,,,,
"""DJ Indust","10,525.43","10,537.69","10,497.88","10,467.16","10,465.94",""""
"""DJ Opening","10,424.17","10,525.28","10,537.01","10,498.94","10,465.19",""""
"""Day's High","10,526.79","10,578.33","10,548.52","10,584.99","10,507.19",""""
"""Day's low","10,414.40","10,494.86","10,463.22","10,387.39","10,347.50",""""
Nasdaq Comp,2296.43,2288.25,2264.56,2251.69,2254.7,
S&P 500 Index,1115.01,1113.84,1106.13,1101.53,1101.6,
"""Wilshire 5000","11,651.19","11,623.98","11,529.18","11,485.16","11,492.94",""""
"""NYSE volume ('000)","1,017,990","1,114,485","1,004,269","1,181,029","1,176,053",""""
NYSE rises,2442,1332,994,1591,1759,
NYSE falls,579,1686,2013,1423,1243,
Transport,4482.09,4423.5,4420.32,4415.02,4422.94,
NYSE Comp,7046,7044.99,6999.18,6994.57,6998.99,
AMEX Index,1923.92,1916.1,1899.57,1886.92,1894.43,
CANADA:,,,,,,
"""DJ S&P TSX Index","11,746.07","11,716.69","11,696.63","11,728.64","11,713.43",""""
LONDON:,,,,,,
FTSE 100 Index,5351.12,5365.67,5319.68,5313.95,5258.02,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2743.12,2769.31,2766.11,2752.93,2742.14,
GERMANY:,,,,,,
German Xetra Dax,6194.21,6207.31,6178.94,6134.7,6147.97,
FRANCE:,,,,,,
CAC Index,3636.18,3666.4,3670.36,3651.91,3643.14,
SWITZERLAND:,,,,,,
Swiss Market Index,6199.46,6275.19,6277.49,6220.65,6200.78,
JOHANNESBURG:,,,,,,
"""FTSE JSE All Share Index","28,499.00","28,424.61","28,367.26","28,550.07","28,355.21",""""
JSE Africa Gold Index,2328.4,2278.91,2302.44,2306.42,2337.93,
ITALY:,,,,,,
"""FTSE Italia All Share Index","21,285.12","21,601.27","21,531.70","21,551.06","21,463.20",""""
SPAIN:,,,,,,
"""BEX 35","10,506.70","10,645.00","10,643.90","10,659.50","10,499.80",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,3021.19,3008.43,3022.18,3033.02,3034.62,
NZ Top 10 Capital,798.68,792.32,797.04,802.09,801.22,
TOKYO:,,,,,,
Nikkei 225 Index,9503.66,9496.85,9753.27,9696.02,9537.3,
Nikkei high,9561.82,9541.59,9760.31,9732.76,9658.61,
Nikkei low,9493.61,9487.65,9614.47,9648.97,9505.64,
Nikkei 300 Index,171.47,171.46,175.43,174.72,172.37,
Topix Index,845.88,846.12,865.51,861.27,849.5,
Nikkei vol (mil),1302,1741,1922,1894,2116,
HONG KONG:,,,,,,
"""Hang Seng Index","20,839.91","20,973.39","21,091.18","21,093.82","21,029.81",""""
 CHINA:,,,,,,
Shanghai A Index,2713.2,2699.21,2760.36,2775.54,2764.36,
KOREA:,,,,,,
Seoul KOSPI,1769.07,1768.31,1773.47,1770.88,1759.33,
TAIWAN:,,,,,,
TAIEX Index,7787.45,7748.01,7784.81,7798.99,7760.63,
SINGAPORE:,,,,,,
Straits Times Index,2966.99,2979.38,2985.38,2997.65,2987.7,
MALAYSIA:,,,,,,
FTSE Bursa Malaysia KLCI,1351.82,1352.23,1355.19,1358.41,1360.92,
INDONESIA:,,,,,,
JSX Composite Index,3023.7,3041.68,3057.48,3096.82,3069.28,
 INDIA:,,,,,,
"""BSE Sensex Index","18,020.05","18,077.61","17,957.37","17,992.00","17,868.29",""""
THAILAND:,,,,,,
FTSE SET Index,Closed,853.68,853.78,854.59,855.83,
PHILIPPINES:,,,,,,
Manila PSE Index,3888.36,3436.59,3451.91,3429.1,3426.95,
WORLD:,,,,,,
MSCI World,1129.75,1130.92,1129.3,1128.23,1124.83,
Comm Research Index,266.51,264.31,266.01,270.05,274.2,
Moody's Comm Index,4984.42,5005.32,5005.29,5041.93,5087.77,
LME Index,3254,3219,3257.3,3291.2,3347.8,
