Weekly Roundup - Overseas Indices,,,,,,
XAO 4597.2 at 16:47 27/11/2009!Report at 20:15 Friday 27/11/2009 . Processed 20:28 Sunday 29/11/2009.,,,,,,



,,,,,,
,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,
NEW YORK:,,,,,,
"""DJ Indust         ","10,450.95","10,433.71","10,464.40",closed   ,"10,309.92",""""
"""DJ Opening    ","10,320.13","10,451.25","10,432.96",        ,"10,452.23",""""
"""Day's High      ","10,495,61","10,453.97","10,481.48",        ,"10,452.23",""""
"""Day's low         ","10,320.05","10,359.58","10,420.94",        ,"10,231.25",""""
Nasdaq Comp       ,2176.01,2169.18,2176.05,       ,2138.44,
S&P 500 Index     ,1106.24,1105.65,1110.63,       ,1091.49,
"""NYSE volume ('000)      ","97,986","95,197","79,506.90",         ,"65,482.50",""""
NYSE rises        ,2343,1386,2042,       ,424,
NYSE falls        ,665,1628,960,       ,2530,
Transport         ,3983.46,3950.37,3972.32,       ,3922.84,
NYSE Comp         ,7186.33,7170.26,7232.12,       ,7070.09,
AMEX Index        ,1803.56,1799.87,1817.25,       ,1760.78,
CANADA:,,,,,,
"""DJ S&P TSX Index     ","11,624.02","11,539.63","11,636.90","11,436.80",11464.41,""""
LONDON:,,,,,,
FT 100 Index      ,5355.5,5323.96,5364.81,5194.13,5245.73,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2898.19,2877.58,2896.9,2799.44,2831.14,
GERMANY:,,,,,,
German Xetra Dax  ,5801.48,5769.31,5803.02,5614.17,5685.61,
FRANCE:,,,,,,
CAC Index         ,3813.17,3784.62,3809.16,3679.23,3721.45,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6410.24,6397.53,6422.2,6283.38,6336.66,
JOHANNESBURG:,,,,,,
"""All Share Index   ","27,423.47","27,377.54","27,489.24","27,025.61","26,808.74",""""
JSE Africa Gold Index        ,2672,2607.94,2635.46,2658.45,2608.11,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","23,393.94","23,145.84","23,174.88","22,361.31","22,648.60",""""
SPAIN:,,,,,,
"""IBEX 35  ","11,940.50","11,905.20","11,965.80","11,657.50","11,776.80",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3112.98,3107.61,3115.39,3127.31,3094.44,
NZ Top 10 Capital   ,842.58,837.82,841.68,842.32,836.03,
TOKYO:,,,,,,
Nikkei 225 Index  ,Closed   ,9401.58,9441.64,9383.24,9081.52,
Nikkei high       ,        ,9511,9453.7,9457.24,9257.2,
Nikkei low        ,        ,9397.79,9366.33,9324.99,9076.41,
Nikkei 300 Index  ,       ,168.2,169.17,168.31,164.24,
Topix Index       ,       ,829.22,833.29,829.56,811.01,
Nikkei vol (mil)  ,       ,1.827,1.947,1.947,2.257,
HONG KONG:,,,,,,
"""Hang Seng Index    ","22,771.39","22,423.14","22,611.80","22,210.41","21,134.50",""""
 CHINA:,,,,,,
Shanghai A Index  ,3501.74,3381.63,3451.06,3326.1,3247.76,
KOREA:,,,,,,
Seoul KOSPI     ,1619.05,1606.42,1611.88,1599.52,1524.5,
 INDIA:,,,,,,
"""BSE Sensex Index   ","17,180.18","17,131.08","17,198.95","16,854.93","16,632.01",""""
SINGAPORE:,,,,,,
Straits Times Index  ,2797.88,2779.98,2792.84,2762.22,closed ,
MALAYSIA:,,,,,,
KL Composite Index   ,1270.88,1272.09,1271,1270.61,closed ,
INDONESIA:,,,,,,
JSX Composite Index      ,2481.42,2471.88,2461.53,2393.52,closed  ,
THAILAND:,,,,,,
Bangkok SET Index         ,690.41,676.22,695.69,685.73,680.37
PHILIPPINES:,,,,,
Manila PSE Index         ,3048,3074.66,3064.3,3089.82,3044.97
TAIWAN:,,,,,
TAIEX Index   ,7687.15,7714.56,7756.31,7739.16,7490.91
WORLD:,,,,,
MSCI World ,1167.6,1159,1170.5,1155,1146.7
Comm Research Index    ,274.95,272.26,278.41,278.41,273.09
Moody's Comm Index   ,4413.02,4457.08,4436.5,4436.5,4436.5
LME Index        ,3162.7,3126.1,3178.3,3109,3105.8
