Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-05-06T17:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Apr 30,May 1,May 2,May 3,May 4,,
New York:,,
,
DJ Indust,"13,213.63","13,279.32","13,268.57","13,206.59","13,038.27",,
DJ Opening,"13,228.31","13,214.16","13,278.11","13,267.59","13,204.62",,
Day's High,"13,228.76","13,338.66","13,278.11","13,284.09","13,205.00",,
Day's low,"13,176.01","13,174.65","13,192.21","13,175.64","13,022.34",,
Nasdaq Comp,3046.36,3050.44,3059.85,3024.30,2956.34,,
S&P 500 Index,1397.91,1405.82,1402.31,1391.57,1369.10,,
Wilshire 5000,"14,627.64","14,820.05","14,653.02","14,602.18","14,320.12",,
NYSE volume ('000),"85,004","77,056","77,903","84,310","82,429",,
NYSE rises,1176,1940,1304,899,735,,
NYSE falls,1824,1054,1666,2072,2264,,
Transport,5230.24,5285.97,5334.52,5284.33,5227.64,,
NYSE Comp,8119.07,8164.04,8124.33,8049.89,7933.30,,
AMEX Index,2426.28,2438.02,2434.83,2422.29,2390.74,,
Canada:,,
,
DJ S&P TSX Index,"12,292.69","12,332.79","12,230.12","12,014.90","11,871.23",,
London:,,
,
FTSE 100 Index,5737.78,5812.23,5758.11,5766.55,5655.06,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2306.43,2306.69,2290.31,2287.10,2248.34,,
Germany:,,
,
German Xetra Dax,6761.19,Closed,6710.77,6694.44,6561.47,,
France:,,
,
CAC Index,3212.80,Closed,3226.33,3223.36,3161.97,,
Switzerland:,,
,
Swiss Market Index,6096.34,Closed,6108.77,6097.68,6056.79,,
Johannesburg:,,
,
FTSE JSE All Share Index,"34,399.04",Closed,"34,482.43","34,375.51","34,127.28",,
JSE Africa Gold Index,2240.61,–,2236.89,2191.58,2217.43,,
Italy:,,
,
FTSE Italia All Share Index,"15,637.72",Closed,"15,265.80","15,181.75","14,957.63",,
Spain:,,
,
IBEX 35,7011.0,Closed,6831.9,6851.9,6876.0,,
New Zealand:,,
,
NZ Top 50 Capital,3555.87,3577.32,3614.97,3576.70,3549.78,,
NZ Top 10 Capital,902.74,909.57,921.23,908.28,897.81,,
Tokyo:,,
,
Nikkei 225 Index,Closed,9350.95,9380.25,Closed,Closed,,
Nikkei high,–,9472.25,9417.96,–,–,,
Nikkei low,–,9332.79,9344.53,–,–,,
Nikkei 300 Index,–,159.26,159.69,–,–,,
Topix Index,–,789.49,792.87,–,–,,
Nikkei vol (mil),–,1650,1327,–,–,,
Hong Kong:,,
,
Hang Seng Index,"21,094.21",Closed,"21,309.08","21,249.53","21,086.00",,
China:,,
,
Shanghai A Index,Closed,Closed,2553.91,2555.69,2568.17,,
Korea:,,
,
Seoul KOSPI,1981.99,Closed,1999.07,1995.11,1989.15,,
Taiwan:,,
,
TAIEX Index,7501.72,Closed,7676.81,7659.53,7700.95,,
Singapore:,,
,
Straits Times Index,2978.57,Closed,3006.14,3000.94,2990.59,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1570.61,Closed,1582.39,1583.17,1591.04,,
Indonesia:,,
,
JSX Composite Index,4180.73,4195.98,4219.30,4224.00,4216.68,,
India:,,
,
BSE Sensex Index,"17,318.81",Closed,"17,301.91","17,151.19","16,831.08",,
Thailand:,,
,
FTSE SET Index,1228.49,Closed,1239.06,1240.03,1227.41,,
Philippines:,,
,
Manila PSE Index,5202.70,Closed,5228.84,5300.41,5297.55,,
World:,,
,
MSCI World,1293.99,1296.98,1291.50,1284.44,1264.99,,
Comm Research Index,306.22,308.22,304.35,301.73,297.42,,
Moody's Comm Index,6314.20,6309.04,6319.53,6259.85,6226.86,,
LME Index,3588.2,3591.6,3534.5,3502.9,3488.0,,
,
Source: Thomson Reuters,
