Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Wednesday at 2011-01-05T16:45:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Dec 20,Dec 21,Dec 22,Dec 23,Dec 24,,
New York:,,
,
DJ Indust,"11,478.13","11,533.16","11,559.49","11,573.49",Closed,,
DJ Opening,"11,491.30","11,478.36","11,532.17","11,559.11",–,,
Day's High,"11,517.07","11,549.12","11,566.99","11,580.84",–,,
Day's low,"11,442.68","11,478.29","11,528.08","11,542.62",–,,
Nasdaq Comp,2649.56,2667.61,2671.48,2665.60,–,,
S&P 500 Index,1247.08,1254.60,1258.84,1256.77,–,,
Wilshire 5000,"13,177.77","13,266.90","13,305.76","13,282.52",–,,
NYSE volume ('000),"82,910","80,938","78,349","61,584",–,,
NYSE rises,1482,2078,1838,1422,–,,
NYSE falls,1534,945,1163,1529,–,,
Transport,5042.09,5095.13,5098.82,5078.92,–,,
NYSE Comp,7846.96,7906.10,7931.76,7925.36,–,,
AMEX Index,2141.34,2164.28,2163.71,2170.18,–,,
Canada:,,
,
DJ S&P TSX Index,"13,193.28","13,365.15","13,380.70","13,371.20",13383.16,,
London:,,
,
FTSE 100 Index,5891.61,5951.80,5983.49,5996.07,6008.92,,
Europe:,,
,
DJ Euro Stoxx 50 Index,2839.22,2876.99,2869.63,2864.52,2861.94,,
Germany:,,
,
German Xetra Dax,7018.60,7077.99,7067.92,7057.69,Closed,,
France:,,
,
CAC Index,3885.08,3927.49,3919.71,3911.32,3900.39,,
Switzerland:,,
,
Swiss Market Index,6521.25,6558.17,6553.70,6599.43,Closed,,
Johannesburg:,,
,
FTSE JSE All Share Index,"31,732.52","32,063.81","32,058.97","32,127.31","32,037.06",,
JSE Africa Gold Index,2741.84,2691.98,2672.68,2653.61,2677.04,,
Italy:,,
,
FTSE Italia All Share Index,"21,090.62","21,436.50","21,449.47","21,486.97",Closed,,
Spain:,,
,
IBEX 35,9996.1,"10,203.4","10,183.5","10,106.9",Closed,,
New Zealand:,,
,
NZ Top 50 Capital,3299.96,3319.10,3322.38,3333.76,3329.21,,
NZ Top 10 Capital,860.74,867.68,867.89,871.91,867.01,,
Tokyo:,,
,
Nikkei 225 Index,"10,216.41","10,370.53","10,346.48",Closed,"10,279.19",,
Nikkei high,"10,301.15","10,372.51","10,394.22",–,"10,290.89",,
Nikkei low,"10,182.74","10,266.29","10,327.60",–,"10,264.06",,
Nikkei 300 Index,182.23,184.04,184.02,–,183.27,,
Topix Index,898.55,906.21,905.78,–,901.66,,
Nikkei vol (mil),1709,1610,1932,–,1283,,
Hong Kong:,,
,
Hang Seng Index,"22,639.08","22,993.86","23,045.19","22,902.97",22833.8,,
China:,,
,
Shanghai A Index,2987.42,3041.13,3013.59,2989.85,2968.878,,
Korea:,,
,
Seoul KOSPI,2020.28,2037.09,2038.11,2037.53,2029.6,,
Taiwan:,,
,
TAIEX Index,8768.72,8827.79,8860.49,8898.87,8861.1,,
Singapore:,,
,
Straits Times Index,3132.96,3139.85,3144.31,3137.78,3143.8,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1495.88,1505.18,1515.05,1514.48,1511.58,,
Indonesia:,,
,
JSX Composite Index,3568.81,3637.45,3620.68,3611.53,Closed,,
India:,,
,
BSE Sensex Index,"19,888.88","20,060.32","20,015.80","19,982.88",20073.66,,
Thailand:,,
,
FTSE SET Index,1006.51,1013.19,1019.14,1021.27,1021.99,,
Philippines:,,
,
Manila PSE Index,4077.06,4091.86,4113.69,4166.04,Closed,,
World:,,
,
MSCI World,1259.82,1271.28,1273.73,1273.48,1274.42,,
Comm Research Index,324.27,326.81,328.12,329.39,329.11,,
Moody's Comm Index,6282.33,6374.68,6428.63,6462.83,n/a,,
LME Index,4047.9,4118.6,4116.5,4084.2,4096.8,,
,
Source: Thomson Reuters,
