Weekly Roundup - Overseas Indices ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-04-05T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overseas Market Movements,
,Mar 31,Apr 1,Apr 2,Apr 3,Apr 4,,
New York:,,
,
DJ Indust,"16,457.66","16,532.61","16,573.00","16,572.55","16,412.71",,
DJ Opening,"16,324.22","16,458.05","16,532.80","16,572.36","16,576.02",,
Day's High,"16,480.85","16,565.73","16,588.19","16,604.15","16,631.63",,
Day's low,"16,324.22","16,457.60","16,506.60","16,527.60","16,392.77",,
Nasdaq Comp,4198.99,4268.04,4276.46,4237.74,4127.73,,
S&P 500 Index,1872.34,1885.52,1890.90,1888.77,1865.09,,
Wilshire 5000,"19,996.01","20,170.24","20,222.37","20,162.15","19,877.60",,
NYSE volume ('000),"84,606,200","72,283,600","65,264,800","66,006,500","77,971,600",,
NYSE rises,2319,2195,1721,1220,1043,,
NYSE falls,723,868,1289,1772,1987,,
Transport,7574.96,7645.11,7695.51,7683.19,7570.76,,
NYSE Comp,"10,527.77","10,584.31","10,616.87","10,598.48","10,517.05",,
AMEX Index,2563.31,2573.27,2572.42,2561.25,,,
Canada:,,
,
DJ S&P TSX Index,"14,335.31","14,380.55","14,459.11","14,402.21","14,393.10",,
London:,,
,
FTSE 100 Index,6598.37,6652.61,6659.04,6649.14,6695.55,,
Europe:,,
,
DJ Euro Stoxx 50 Index,3161.60,3186.34,3187.45,3206.76,3230.33,,
Germany:,,
,
German Xetra Dax,9555.91,9603.71,9623.36,9628.82,9695.77,,
France:,,
,
CAC Index,4391.50,4426.72,4430.86,4449.33,4484.55,,
Switzerland:,,
,
Swiss Market Index,8453.82,8457.27,8508.26,8521.63,8503.00,,
Johannesburg:,,
,
FTSE JSE All Share Index,"47,770.92","48,104.98","48,405.90","48,231.39","48,347.75",,
JSE Africa Gold Index,1447.13,1436.92,1470.98,1462.02,1478.09,,
Italy:,,
,
FTSE Italia All Share Index,"23,142.66","23,379.84","23,153.42","23,453.67","23,639.37",,
Spain:,,
,
IBEX 35,"10,340.5","10,463.1","10,435.8","10,584.1","10,677.2",,
New Zealand:,,
,
NZ Top 50 Capital,5139.98,5122.52,5116.31,5122.37,5123.90,,
NZ Top 10 Capital,1183.39,1180.18,1177.01,1180.01,1181.39,,
Tokyo:,,
,
Nikkei 225 Index,"14,827.83","14,791.99","14,946.32","15,071.88","15,063.77",,
Nikkei high,"14,843.67","14,870.51","15,069.61","15,164.39","15,098.38",,
Nikkei low,"14,718.01","14,751.29","14,893.17","14,976.36","15,000.69",,
Nikkei 300 Index,243.65,243.57,245.20,246.52,246.35,,
Topix Index,1202.89,1204.25,1211.36,1216.77,1215.89,,
Hong Kong:,,
,
Hang Seng Index,"22,151.06","22,448.54","22,523.94","22,565.08","22,510.08",,
China:,,
,
Shanghai A Index,2128.78,2143.58,2155.70,2139.69,2155.53,,
Korea:,,
,
Seoul KOSPI,1985.61,1991.98,1997.25,1993.70,1988.09,,
Taiwan:,,
,
TAIEX Index,8849.28,8873.15,8905.45,8888.54,Closed,,
Singapore:,,
,
Straits Times Index,3188.62,3198.52,3192.78,3220.06,3212.72,,
Malaysia:,,
,
FTSE Bursa Malaysia KLCI,1849.21,1847.76,1852.00,1855.63,1856.61,,
Indonesia:,,
,
JSX Composite Index,Closed,4873.93,4870.21,4891.32,4857.94,,
India:,,
,
BSE Sensex Index,"22,386.27","22,446.44","22,551.49","22,509.07","22,359.50",,
Thailand:,,
,
FTSE SET Index,1376.26,1387.48,1396.62,1391.22,1392.01,,
Philippines:,,
,
Manila PSE Index,6428.71,6514.72,6587.72,6587.08,6561.20,,
World:,,
,
MSCI World,1673.87,1683.70,1687.46,1685.14,1676.25,,
Comm Research Index,305.35,302.55,301.98,303.79,305.53,,
Moody's Comm Index,6310.81,6343.47,6320.84,6315.06,6311.84,,
LME Index,2997.4,3004.6,3022.6,3021.0,3015.0,,
,
Source: Thomson Reuters,
