S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,,,,
Trading data for Monday, November 26, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4443.5 at 2012-11-26T16:53:37. Report at Monday, November 26, 2012. Processed Tuesday at 2012-11-27T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
2.13,1.80,2.09,2.06,ABP,Abacus Prop stp,2.06,-4,1815,2.06,2.07,16.50,,.13,2.34,8.01,2.11,97.6,,
4.77,2.59,2.84,2.75,ACR,Acrux,2.75,-5,4896,2.74,2.75,8.00,,.56,.17,2.91,4.44,61.9,,
3.40,2.80,3.18,3.13,ABC,Adelaide Brighton,3.15,+2,6159,3.14,3.15,16.50,f,1.47,1.23,5.24,24.20,13.0,,
16.01,13.031,14.44,14.22,AGK,AGL Energy,14.42,+26,18199,14.41,14.42,61.00,f,.39,7.26,4.23,23.80,60.6,,
11.79,4.34,4.66,4.56,AQG,Alacer Gold cdi,4.58,+8,3494,4.58,4.60,-,,-,-,-,28.59,16.0,,
13.984,7.23,9.23,8.76,ALQ,ALS,9.19,+50,21776,9.14,9.19,47.00,p,1.40,.48,5.11,65.89,13.9,,
1.455,.625,.91,.89,AWC,Alumina,.895,+.5,146703,.895,.90,2.80,,.69,.96,3.13,1.92,46.6,,
8.09,6.72,7.84,7.73,AMC,Amcor,7.74,-7,16056,7.73,7.74,37.00,,.92,.96,4.78,34.00,22.8,,
4.85,3.71,4.58,4.52,AMP,AMP,4.53,-3,69849,4.53,4.54,26.50,p,.96,1.06,5.85,25.40,17.8,,
16.87,12.76,15.04,14.95,ANN,Ansell,15.00,+1,3290,14.99,15.05,35.50,,2.79,2.43,2.37,99.10,15.1,,
27.63,19.11,23.71,23.50,ANZ,ANZ Banking Grp,23.57,-3,39084,23.56,23.58,145.00,f,1.47,12.22,6.15,213.40,11.0,,
