S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:13 Friday 18/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
14.00,8.01,11.24,10.85,CTX,Caltex Aust,10.85,-33,"23,542",10.84,10.93,25,f,4.65,10.48,2.30,116.3,9.3
0.875,0.30,0.35,0.34,CVN,Carnarvon Pet,0.35,,"30,210",0.345,0.35,-,,-,0.05,-,3.3,10.6
5.86,3.56,5.03,4.97,CRZ,Carsales Com Ltd,5.03,6,"5,363",4.97,5.03,6.6,f,1.24,0.01,1.31,8.2,61.3
5.00,2.07,4.78,4.44,CEY,Centennial Coal,4.71,14,"57,879",4.70,4.75,8,p,1.98,1.87,1.70,15.8,29.8
2.12,1.60,1.97,1.935,CFX,CFS Retail Prop unt,1.94,-1.5,"115,158",1.935,1.94,12.5,,-,1.99,6.44,-1.9,-
4.50,2.02,3.51,3.34,CGF,Challenger FSG Ltd,3.41,-10,"48,566",3.40,3.45,13.5,,2.61,3.36,3.96,35.2,9.7
0.79,0.403,0.64,0.63,CHC,Charter Hall Grp forus,0.64,0.5,"15,016",0.635,0.64,2.6,,-,0.60,4.06,-23.57,-
0.355,0.19,0.275,0.27,CQO,Charter Hall Office unt,0.27,,"166,350",0.27,0.275,2.5,,4.01,0.44,9.26,10.03,2.7
0.735,0.445,0.585,0.57,CQR,Charter Hall Retail unt,0.58,0.5,"298,832",0.58,0.585,6,,-,0.72,10.34,-45.58,-
12.07,8.37,11.84,11.67,CCL,Coca-Cola Amatil,11.78,4,"24,442",11.67,11.79,43.5,f,1.39,1.38,3.69,60.5,19.5
79.11,51.25,77.99,77.30,COH,Cochlear Ltd,77.60,-6,"1,367",77.20,77.75,190,f,1.27,3.25,2.45,242.2,32.0
60.00,36.20,52.93,52.38,CBA,C'wlth Bank  of Aust ,52.59,9,"32,224",52.58,52.60,235,f,1.41,-,4.47,330.4,15.9
1.045,0.735,0.97,0.96,CPA,C'wlth Prop ord unt   ,0.965,0.5,"51,888",0.96,0.97,6.85,,-,1.11,7.10,-11.41,-
12.90,8.45,11.60,11.36,CPU,Computershare Ltd,11.50,19,"12,188",11.46,11.54,25,p,2.27,-1.54,2.17,56.84,20.2
0.49,0.282,0.41,0.395,CEU,ConnectEast stp,0.395,-1.5,"150,798",0.395,0.40,2,,-,-,5.06,-21.74,-
3.44,2.17,3.30,3.26,CMJ,Consolidated Media,3.29,4,"13,266",3.26,3.29,16.5,f,3.48,0.88,5.02,57.44,5.7
11.66,8.23,8.54,8.36,CRG,Crane Grp Ltd,8.41,-11,"3,519",8.35,8.46,46,f,0.85,4.41,5.47,39,21.6
9.39,6.41,8.02,7.77,CWN,Crown Ltd,8.00,4,"33,675",7.85,8.02,37,p,-,3.24,4.63,-92.35,-
37.56,29.27,33.81,33.29,CSL,CSL Ltd,33.54,16,"18,268",33.50,33.72,75,,2.85,6.11,2.24,213.41,15.7
2.18,1.49,1.745,1.71,CSR,CSR Ltd,1.745,1.5,"75,105",1.74,1.745,8.5,f,-,1.04,4.87,-8.2,-
6.59,2.39,4.87,4.67,CDU,Cudeco Ltd,4.70,-14,"7,050",4.70,4.72,-,,-,-,-,0.42,1119.0
5.96,3.86,4.53,4.30,DJS,David Jones Ltd,4.49,-2,"86,355",4.48,4.50,29,f,1.14,1.22,6.46,33,13.6
0.89,0.66,0.85,0.83,DXS,DEXUS Prop Grp stp,0.845,1.5,"300,131",0.84,0.845,6.15,,-,0.95,7.28,-11.03,-
9.44,4.10,4.35,4.10,DOW,Downer EDI Ltd,4.34,19,"122,612",4.34,4.35,29.1,,1.87,2.15,6.71,54.4,8.0
1.90,1.42,1.79,1.725,DUE,DUET Grp forus,1.79,4.5,"63,437",1.765,1.795,20,p,0.22,-,11.17,4.39,40.8
1.165,0.615,0.87,0.845,ESG,Eastern Star Gas,0.85,,"40,438",0.85,0.86,-,,-,-,-,-0.8,-
4.30,0.74,-,-,ELD,Elders Ltd,0.82,,-,0.92,0.70,-,,-,1.63,-,-51.11,-
21.48,12.86,20.84,20.66,EAU,Eldorado Gold cdi,20.70,73,"1,317",20.65,20.71,-,,-,-,-,-,-
0.995,0.325,0.58,0.545,EHL,Emeco Hldgs,0.57,,"18,284",0.57,0.575,2,,-,0.71,3.51,-4.2,-
27.37,12.51,14.64,14.40,ERA,Energy Res,14.60,28,"9,857",14.45,14.66,39,f,3.66,5.10,2.67,142.9,10.2
0.72,0.25,0.37,0.35,EWC,Energy World Corp,0.365,,"34,726",0.36,0.37,-,,-,0.30,-,3.02,12.1
0.595,0.44,0.515,0.50,ENV,Envestra Ltd,0.51,0.5,"43,668",0.505,0.51,5.5,p,0.63,-0.05,10.78,3.49,14.6
4.78,2.18,4.48,4.35,EQN,Equinox Min Ltd cdi,4.40,-14,"23,528",4.39,4.40,-,,-,-,-,-30.1,-
11.45,5.495,7.15,7.01,EXT,Extract Res,7.03,2,"2,004",7.00,7.14,-,,-,-,-,-4.96,-
1.885,1.07,1.485,1.44,FXJ,Fairfax Media Ltd,1.45,-2,"129,416",1.445,1.46,1.1,,8.45,-0.31,0.76,9.3,15.6
0.90,0.405,0.80,0.765,FKP,FKP Prop Grp stp,0.765,-2.5,"70,628",0.76,0.765,1.95,,-,1.27,2.55,-10.3,-
9.80,5.30,9.80,9.32,FWD,Fleetwood Corp,9.80,37,"3,965",9.30,9.80,66,f,0.98,2.12,6.73,64.7,15.1
21.43,8.20,17.95,17.45,FLT,Flight Centre,17.57,-14,"3,859",17.50,17.86,26,f,2.44,2.56,1.48,63.4,27.7
