S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:18 Wednesday 27/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
7.09,4.71,5.76,5.70,CAB,Cabcharge Aust,5.70,-8,"3,005",5.69,5.78,34,f,1.50,2.21,5.96,51,11.2
14.00,8.01,9.36,9.15,CTX,Caltex Aust,9.20,-13,"8,982",9.20,9.24,-,,-,10.60,-,15.6,59.0
0.885,0.26,0.545,0.525,CVN,Carnarvon Pet,0.53,-1.5,"30,757",0.525,0.53,-,,-,0.07,-,5.4,9.8
5.70,3.56,4.87,4.56,CRZ,Carsales Com Ltd,4.65,-26,"3,819",4.59,4.68,-,,-,-,-,-,-
4.24,1.51,3.88,3.66,CEY,Centennial Coal,3.69,-17,"47,336",3.69,3.75,11,f,1.77,1.77,2.98,19.5,18.9
2.12,1.415,1.885,1.85,CFX,CFS Retail Prop unt,1.875,1.5,"73,414",1.875,1.885,12.5,,-,2.02,6.67,-15.27,-
4.50,0.865,4.10,3.94,CGF,Challenger FSG Ltd,4.05,-3,"26,058",4.00,4.07,12.5,,-,1.81,3.09,-16.2,-
0.745,0.156,0.615,0.60,CHC,Charter Hall Grp forus,0.61,-1.5,"22,640",0.61,0.62,4.96,,-,0.71,8.13,-17.98,-
11.72,8.02,11.06,10.77,CCL,Coca-Cola Amatil,10.90,7,"36,224",10.84,10.97,40.5,f,1.35,1.14,3.72,54.8,19.9
69.79,46.21,65.59,63.85,COH,Cochlear Ltd,64.05,-253,"3,665",64.02,64.20,175,f,1.34,2.78,2.73,233.7,27.4
58.65,25.98,54.91,54.20,CBA,C'wlth Bank  of Aust ,54.63,-52,"40,138",54.60,54.66,228,f,1.44,13.65,4.17,328.5,16.6
1.045,0.67,0.945,0.915,CPA,C'wlth Prop ord unt   ,0.935,1.5,"99,434",0.93,0.94,8.8,,-,1.15,9.41,-31.8,-
12.64,6.45,12.08,11.69,CPU,Computershare Ltd,11.90,-1,"32,513",11.80,11.92,22,p,2.58,-1.95,1.85,56.75,21.0
0.49,0.244,0.435,0.425,CEU,ConnectEast stpld,0.43,-0.5,"70,073",0.425,0.43,2,,-,-,4.65,-25.43,-
3.44,1.71,3.03,2.99,CMJ,Consolidated Media,3.01,-2,"8,472",3.00,3.03,16.5,,3.75,0.66,5.48,61.91,4.9
11.66,6.32,9.22,8.94,CRG,Crane Grp Ltd,8.94,-9,"2,225",8.90,9.00,63,f,1.01,4.35,7.05,63.9,14.0
9.39,4.56,7.69,7.56,CWN,Crown Ltd,7.69,5,"26,952",7.52,7.70,37,p,-,3.42,4.81,-166.89,-
38.52,28.43,31.52,31.20,CSL,CSL Ltd,31.35,10,"25,904",31.31,31.38,70,,2.75,7.49,2.23,192.51,16.3
2.18,0.905,1.895,1.855,CSR,CSR Ltd,1.87,-4.5,"80,292",1.87,1.88,4,f,-,0.87,2.14,-45.1,-
6.59,1.555,4.71,4.47,CDU,Cudeco Ltd,4.48,-24,"5,370",4.47,4.52,-,,-,-,-,-0.07,-
5.96,2.02,4.86,4.72,DJS,David Jones Ltd,4.76,-13,"36,525",4.75,4.77,28,f,1.13,1.16,5.88,31.5,15.1
0.89,0.519,0.845,0.82,DXS,Dexus Prop Grp stpld,0.835,1,"304,720",0.83,0.835,6.15,,-,1.01,7.37,-39.38,-
5.69,3.16,3.35,3.16,DOM,Dominion Min,3.18,-18,"5,506",3.16,3.21,14,,2.17,1.06,4.40,30.38,10.5
9.44,3.25,8.46,8.32,DOW,Downer EDI Ltd,8.35,-15,"22,221",8.33,8.39,29,,1.88,2.18,3.47,54.4,15.3
2.319,1.28,1.87,1.825,DUE,DUET Grp forus,1.85,-1,"24,652",1.835,1.86,20,,-,1.70,10.81,-9.24,-
1.165,0.43,0.815,0.78,ESG,Eastern Star Gas,0.80,-1.5,"32,223",0.795,0.805,-,,-,-,-,-0.34,-
6.30,1.40,1.525,1.495,ELD,Elders Ltd,1.505,-2,"21,296",1.50,1.51,-,,-,0.37,-,-51.51,-
16.32,13.01,14.47,14.24,EAU,Eldorado Gold cdi 1:1,14.30,-31,"2,898",14.26,14.41,-,,-,-,-,-,-
0.995,0.16,0.745,0.70,EHL,Emeco Hldgs,0.725,1,"23,896",0.72,0.745,4,f,0.53,0.74,5.52,2.1,34.5
28.28,17.50,21.28,20.68,ERA,Energy Res,20.98,-2,"3,884",20.85,20.98,34,f,4.79,-,1.62,162.78,12.9
0.72,0.19,0.325,0.29,EWC,Energy World Corp,0.29,-3,"32,962",0.285,0.305,-,,-,-,-,-0.71,-
0.595,0.27,0.50,0.49,ENV,Envestra Ltd,0.49,-1,"17,650",0.49,0.495,5.5,,0.73,-0.08,11.22,4,12.3
4.78,1.48,3.93,3.72,EQN,Equinox Min Ltd cdi,3.82,-24,"34,804",3.81,3.83,-,,-,-,-,25.35,15.1
11.45,1.441,8.08,7.88,EXT,Extract Res,8.08,-4,"3,669",8.03,8.20,-,,-,-,-,-5.38,-
1.885,0.795,1.79,1.735,FXJ,Fairfax Media Ltd,1.775,-3.5,"174,019",1.77,1.78,2,,-,-0.37,1.13,-21.6,-
0.83,0.204,0.725,0.71,FKP,FKP Prop Grp stpld,0.72,1,"18,295",0.72,0.73,3.45,,-,3.15,4.79,-70.3,-
9.00,3.36,8.47,8.25,FWD,Fleetwood Corp,8.40,7,"1,201",8.35,8.47,66,f,1.04,2.63,7.86,68.7,12.2
20.15,3.39,19.53,18.80,FLT,Flight Centre,19.34,35,"3,303",19.01,19.70,9,,4.26,1.92,0.47,38.3,50.5
5.57,1.665,4.69,4.42,FMG,Fortescue Metals Grp,4.54,-25,"136,860",4.54,4.56,-,,-,0.35,-,21.9,20.7
5.89,4.80,5.41,5.34,FGL,Foster's Grp,5.37,,"119,451",5.33,5.39,27.25,f,0.84,0.46,5.07,22.8,23.6
1.30,0.505,1.045,0.975,GBG,Gindalbie Metals,1.01,-3,"59,471",1.005,1.02,-,,-,-,-,5.1,19.8
1.78,0.93,1.595,1.55,GFF,Goodman Fielder,1.56,-2.5,"38,923",1.56,1.57,10.5,p,1.27,-0.20,6.73,13.3,11.7
0.717,0.123,0.585,0.565,GMG,Goodman Grp forus,0.57,-1.5,"474,728",0.57,0.575,9.65,,-,0.84,16.93,-45.4,-
