S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,,,,
Trading data for Tuesday, December 17, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5106.1 at 2013-12-17T16:43:06. Report at Tuesday, December 17, 2013. Processed Wednesday at 2013-12-18T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
2.51,2.095,2.22,2.20,ABP,Abacus Prop stp,2.21,-1,4976,2.20,2.21,16.50,,.83,2.32,7.47,13.68,16.2,,
4.12,2.18,2.32,2.23,ACR,Acrux,2.23,-3,3814,2.23,2.26,8.00,,.52,.14,3.59,4.16,53.6,,
3.88,3.025,3.615,3.54,ABC,Adelaide Brighton,3.61,+7,12028,3.59,3.61,16.50,f,1.41,1.30,4.57,23.20,15.6,,
16.60,13.85,14.61,14.45,AGK,AGL Energy,14.51,-4,11980,14.50,14.53,63.00,f,1.12,7.56,4.34,70.70,20.5,,
4.730,1.94,2.54,2.38,AQG,Alacer Gold cdi,2.42,-,7834,2.41,2.42,-,,-,-,-,-318.93,-,,
12.272,7.86,8.46,8.26,ALQ,ALS,8.39,-7,18868,8.38,8.42,46.00,p,1.17,-.07,5.48,53.73,15.6,,
1.405,.89,1.02,1.005,AWC,Alumina,1.01,-1,40227,1.005,1.01,-,,-,1.01,-,-1.92,-,,
11.53,7.84,11.53,11.31,AMC,Amcor,11.36,-11,72363,11.35,11.36,40.00,,1.24,.94,3.52,49.80,22.8,,
5.79,4.155,4.27,4.20,AMP,AMP,4.24,+2,66651,4.23,4.24,24.00,p,1.03,1.18,5.66,24.80,17.1,,
22.24,14.62,20.15,19.69,ANN,Ansell,19.89,+16,3461,19.87,19.93,38.00,,2.75,1.79,1.91,104.60,19.0,,
34.06,24.47,30.92,30.35,ANZ,ANZ Banking Grp,30.48,+19,54128,30.45,30.48,164.00,f,1.41,13.48,5.38,231.30,13.2,,
6.97,5.35,6.30,6.02,APA,APA Grp stp,6.13,-23,63852,6.10,6.13,35.50,,1.09,1.42,5.79,38.70,15.8,,
3.27,1.63,2.17,2.11,AQA,Aquila Res,2.12,-6,2239,2.12,2.13,-,,-,-,-,77.10,2.7,,
2.06,1.27,1.97,1.935,AAD,Ardent Leisure Grp stp,1.955,+1.5,9079,1.95,1.96,12.00,p,.78,.73,6.14,9.32,21.0,,
5.12,3.04,4.41,4.31,ALL,Aristocrat Leisure,4.39,+1,21619,4.36,4.39,14.50,,1.34,.41,3.30,19.50,22.5,,
1.68,.675,1.635,1.60,ARI,Arrium,1.615,+.5,59071,1.61,1.615,5.00,,-,1.25,3.10,-51.52,-,,
6.23,4.49,5.62,5.49,AIO,Asciano,5.57,+9,27333,5.56,5.58,11.50,f,3.03,.86,2.06,34.90,16.0,,
