S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:06 Friday 24/9/2010. Processed 14:28 Saturday 25/9/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.365,0.42,0.41,ABP,Abacus Prop stp,0.42,,"23,000",0.415,0.42,3.9,,0.39,0.58,9.29,1.53,27.5
3.46,2.293,3.38,3.30,ABC,Adelaide Brighton,3.35,-2,"8,628",3.34,3.37,15.5,f,1.52,1.16,4.63,23.6,14.2
16.24,13.43,16.03,15.90,AGK,AGL Energy Ltd,15.95,-10,"9,192",15.95,16.01,59,,1.34,5.89,3.70,79.3,20.1
5.91,2.25,2.69,2.65,ALS,Alesco Corp,2.66,-4,"6,082",2.62,2.70,7,,-,0.60,2.63,-132.84,-
2.06,1.45,1.835,1.78,AWC,Alumina Ltd,1.815,-2.5,"292,374",1.81,1.82,4.23,f,0.14,1.22,2.33,0.59,307.6
7.04,5.27,6.64,6.41,AMC,Amcor Ltd,6.60,12,"52,903",6.60,6.62,29.5,,0.54,1.49,4.47,15.8,41.8
6.97,4.85,5.12,5.08,AMP,AMP Ltd,5.09,-3,"114,505",5.08,5.11,31,p,1.28,0.90,6.09,39.8,12.8
13.73,9.67,13.18,12.77,ANN,Ansell Ltd,13.00,-5,"5,160",12.85,13.08,30.5,,2.94,2.22,2.35,89.6,14.5
26.23,19.95,23.76,23.47,ANZ,ANZ Banking Grp,23.60,-27,"135,817",23.60,23.66,108,f,1.34,9.99,4.58,144.8,16.3
3.99,3.00,3.94,3.88,APA,APA Grp stp,3.89,-4,"6,312",3.88,3.95,32.75,,0.59,1.28,8.42,19.4,20.1
2.61,1.68,1.985,1.96,APN,APN News & Media,1.98,1,"8,089",1.975,1.99,9,,1.86,-0.75,4.55,16.7,11.9
7.95,3.89,5.57,5.36,AQP,Aquarius Platinum,5.48,,"12,900",5.46,5.52,6.74,,1.06,-,1.23,7.15,76.6
11.38,6.009,9.03,8.73,AQA,Aquila Res,8.77,-36,"3,679",8.76,8.95,-,,-,-,-,-10.9,-
1.845,0.92,1.02,1.00,AAD,Ardent Leisure stp,1.01,-1.5,"7,888",1.00,1.03,10.75,,0.59,0.92,10.64,6.3,16.0
5.75,3.34,3.68,3.61,ALL,Aristocrat Leisure,3.64,-4,"10,294",3.61,3.69,3.5,,-,0.15,0.96,-15,-
1.94,1.435,1.625,1.60,AIO,Asciano Grp stp,1.625,0.5,"146,310",1.615,1.63,-,,-,0.08,-,-31.6,-
37.16,28.02,32.76,31.68,ASX,ASX Ltd,32.71,72,"22,271",32.60,32.75,173.1,f,1.10,3.49,5.29,190.4,17.2
3.05,1.585,2.24,2.16,AGO,Atlas Iron Ltd,2.21,1,"55,512",2.21,2.22,-,,-,-,-,-9.6,-
5.94,1.71,2.88,2.72,AAX,Ausenco Ltd,2.72,-21,"12,539",2.70,2.73,4.5,,-,0.50,1.65,-10.35,-
2.09,1.535,1.915,1.88,AIX,Aust Infra unt,1.88,-4,"9,581",1.88,1.92,10,p,3.32,2.61,5.32,33.22,5.7
1.465,0.835,0.935,0.92,AUN,Austar United,0.925,-1,"28,440",0.92,0.935,-,,-,-0.28,-,3.5,26.4
3.05,2.20,2.82,2.72,ALZ,Australand Prop stp,2.72,-10,"7,259",2.70,2.78,12,,1.24,3.44,4.41,14.9,18.3
3.45,1.48,3.23,3.14,AVO,Avoca Res,3.21,5,"15,624",3.13,3.21,-,,-,0.93,-,20.82,15.4
1.49,0.865,1.48,1.475,AWB,AWB Ltd,1.475,,"29,429",1.475,1.48,-,,-,1.85,-,3.67,40.2
3.17,1.465,1.615,1.575,AWE,AWE Ltd,1.585,-2.5,"14,401",1.58,1.59,-,,-,1.60,-,-5.55,-
6.72,4.05,5.24,5.19,AXA,AXA Asia Pacific,5.24,5,"49,514",5.22,5.25,18.5,p,1.66,1.01,3.53,30.79,17.0
13.49,9.68,11.05,10.88,BOQ,Bank of Qld,11.01,-9,"7,632",10.95,11.10,52,f,1.78,7.20,4.72,92.4,11.9
1.04,0.595,0.68,0.665,BPT,Beach Energy Ltd,0.67,-0.5,"19,953",0.67,0.675,1.75,p,1.78,-,2.61,3.12,21.5
10.48,7.72,9.24,9.15,BEN,Bendigo & Adelaide,9.21,,"8,897",9.17,9.23,58,f,1.16,5.27,6.30,67.4,13.7
44.93,35.58,39.19,38.76,BHP,BHP Billiton Ltd,39.04,-18,"181,445",39.00,39.05,95.12,f,2.82,10.21,2.44,268.22,14.6
12.32,7.31,8.00,7.88,BBG,Billabong Intl,7.97,-2,"4,247",7.95,8.01,36,p,1.62,0.40,4.52,58.3,13.7
3.40,2.03,2.34,2.29,BSL,BlueScope Steel,2.29,-5,"147,404",2.29,2.30,5,f,1.38,2.53,2.18,6.9,33.2
4.10,2.43,3.25,3.14,BLY,Boart Longyear,3.16,-12,"36,872",3.15,3.18,2.22,p,3.67,1.50,0.70,8.15,38.8
6.40,4.15,4.76,4.66,BLD,Boral Ltd,4.73,1,"39,254",4.71,4.76,13.5,f,-,3.92,2.85,-15.2,-
8.67,5.48,8.42,8.29,BKN,Bradken Ltd,8.42,1,"5,295",8.40,8.43,34,f,1.59,2.10,4.04,54.1,15.6
8.37,5.11,6.36,6.16,BXB,Brambles Ltd,6.24,,"63,844",6.23,6.30,25,p,1.48,0.88,4.01,36.96,16.9
2.09,1.66,1.885,1.84,BWP,Bunnings Warehouse unt,1.84,-5,"10,963",1.84,1.865,12.08,,1.84,1.88,6.57,22.18,8.3
6.66,4.25,6.30,5.08,CAB,Cabcharge Aust,5.95,57,"18,673",5.92,5.97,34,f,1.41,2.34,5.71,47.8,12.4
12.75,8.01,11.95,11.70,CTX,Caltex Aust,11.77,-17,"11,239",11.75,11.90,55,f,0.63,10.76,4.67,34.4,34.2
0.62,0.30,0.425,0.415,CVN,Carnarvon Pet,0.42,-1,"26,425",0.415,0.425,-,,-,0.04,-,2.1,20.0
5.86,3.62,4.95,4.86,CRZ,Carsales Com Ltd,4.86,-7,"3,883",4.85,4.86,14.9,f,1.25,0.38,3.07,18.6,26.1
6.18,3.05,6.18,6.17,CEY,Centennial Coal,6.17,,"98,996",6.17,6.18,8,p,1.69,1.90,1.30,13.5,45.7
2.12,1.81,-,-,CFX,CFS Retail Prop unt,1.95,,-,2.07,1.52,12.5,,1.01,2.02,6.41,12.65,15.4
4.50,3.18,4.29,4.13,CGF,Challenger FSG Ltd,4.23,-2,"53,938",4.20,4.28,14.5,,3.81,-,3.43,55.3,7.6
0.79,0.49,0.605,0.59,CHC,Charter Hall Grp forus,0.595,-1,"46,480",0.585,0.595,3.2,,0.01,0.56,5.38,0.02,2975.0
3.55,2.25,2.59,2.53,CQO,Charter Hall Office unt,2.55,-2,"14,512",2.52,2.56,1.85,,-,0.42,0.73,-1.9,-
3.50,2.35,3.02,2.96,CQR,Charter Hall Retail unt,3.00,-6,"5,089",2.98,3.00,5.3,,0.93,0.74,1.77,4.95,60.6
12.36,9.74,12.20,12.05,CCL,Coca-Cola Amatil,12.14,4,"18,476",12.13,12.18,45.5,f,1.39,1.47,3.75,63.1,19.2
79.11,59.55,71.25,69.62,COH,Cochlear Ltd,71.15,157,"1,646",70.49,71.26,200,p,1.38,4.01,2.81,275.7,25.8
60.00,47.05,52.27,51.74,CBA,C'wlth Bank  of Aust ,51.82,-61,"91,536",51.80,51.86,290,f,1.19,15.94,5.60,344.5,15.0
1.045,0.85,0.945,0.935,CPA,C'wlth Prop ord unt   ,0.94,-1,"61,484",0.94,0.945,5.55,,1.06,1.13,5.90,5.89,16.0
12.90,8.70,9.80,9.66,CPU,Computershare Ltd,9.80,-5,"19,976",9.69,9.83,28,p,2.22,-1.61,2.86,62.24,15.7
0.49,0.33,0.44,0.43,CEU,ConnectEast stp,0.435,,"37,715",0.435,0.44,2,,-,0.47,4.60,-1.49,-
11.49,7.76,8.48,8.41,CRG,Crane Grp Ltd,8.45,-5,"2,249",8.45,8.53,40,f,1.04,4.50,4.73,41.7,20.3
9.39,7.41,8.46,8.39,CWN,Crown Ltd,8.42,-3,"8,422",8.39,8.50,37,p,1.04,3.42,4.39,38.54,21.8
37.56,30.03,34.39,33.33,CSL,CSL Ltd,33.84,11,"48,188",33.80,34.00,80,p,2.32,5.93,2.36,185.77,18.2
