S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4754.9 at 16:47 27/10/2009  Report at 19:05 Tuesday 27/10/2009. Processed 19:13 Tuesday 27/10/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.147,0.47,0.44,ABP,Abacus Prop stpld,0.45,-2.5,"74,073",0.445,0.45,7.75,,-,0.62,17.22,-11.81,-
3.01,1.445,2.98,2.85,ABC,Adelaide Brighton,2.87,-8,"19,960",2.86,2.88,14,f,1.49,1.15,4.88,20.8,13.8
15.82,12.83,14.24,14.01,AGK,AGL Energy Ltd,14.06,-26,"21,725",14.05,14.08,54,f,6.63,6.00,3.84,358,3.9
5.60,2.03,4.65,4.51,AJL,AJ Lucas Grp,4.61,-7,"1,901",4.53,4.65,10.5,f,23.78,2.11,2.28,249.7,1.8
6.10,0.60,5.60,5.38,ALS,Alesco Corp,5.45,-19,"3,337",5.41,5.45,7,f,-,0.49,1.28,-13.94,-
2.231,0.683,1.76,1.715,AWC,Alumina Ltd,1.72,-8,"151,531",1.72,1.725,12,,0.79,1.30,6.98,9.42,18.3
6.082,3.50,5.71,5.58,AMC,Amcor Ltd,5.61,-13,"76,389",5.60,5.62,34,,0.74,1.61,6.06,25.3,22.2
6.97,3.52,6.22,6.15,AMP,AMP Ltd,6.16,-8,"72,233",6.15,6.19,30,p,0.99,0.67,4.87,29.6,20.8
13.83,7.51,10.57,10.39,ANN,Ansell Ltd,10.53,-3,"4,372",10.46,10.63,28,,3.19,1.98,2.66,89.2,11.8
25.25,11.83,23.96,23.47,ANZ,ANZ Banking Grp,23.75,-5,"132,843",23.72,23.75,120,,1.42,10.72,5.05,170.4,13.9
3.39,2.43,3.23,3.17,APA,APA Grp stpld,3.18,-4,"7,706",3.17,3.20,31,,0.52,1.18,9.75,16.2,19.6
3.125,0.866,2.41,2.31,APN,APN News & Media,2.38,-8,"26,568",2.34,2.40,12,,-,-1.23,5.04,-13.1,-
6.39,2.097,5.20,5.01,AQP,Aquarius Platinum,5.07,-20,"17,559",5.06,5.09,12.08,,-,-,2.38,-16.39,-
8.40,1.90,7.78,7.51,AQA,Aquila Res,7.66,-13,"4,643",7.65,7.77,-,,-,-,-,-10.5,-
5.75,3.16,4.83,4.65,ALL,Aristocrat Leisure,4.66,-14,"49,975",4.65,4.74,14.5,f,-,0.35,3.11,-0.2,-
4.73,1.845,4.26,4.10,AOE,Arrow Energy,4.18,-9,"32,287",4.16,4.22,-,,-,0.82,-,52,8.0
1.961,0.32,1.575,1.545,AIO,Asciano Grp stpld,1.55,-5,"235,147",1.55,1.555,23,,-,-1.41,14.84,-32.5,-
0.55,0.16,0.48,0.455,AJA,Astro Jap Prop Tr unt,0.46,-1.5,"20,366",0.455,0.465,9,,-,0.93,19.57,-71.94,-
37.90,23.52,35.40,35.00,ASX,ASX Ltd,35.00,-71,"12,804",34.99,35.40,164.9,f,1.11,2.66,4.71,183.2,19.1
2.10,0.405,1.85,1.80,AGO,Atlas Iron Ltd,1.815,-5,"27,644",1.815,1.825,-,,-,-,-,-21.3,-
5.95,1.855,5.16,4.97,AAX,Ausenco Ltd,5.07,-15,"6,690",5.04,5.09,18.5,f,2.38,0.76,3.65,43.94,11.5
2.42,1.16,1.49,1.425,AAC,Aust Agriculture,1.445,-3,"6,010",1.425,1.47,-,,-,2.55,-,-25.7,-
1.855,0.991,1.84,1.78,AIX,Aust Infra unt,1.815,-2.5,"58,020",1.80,1.83,13,p,2.03,3.14,7.16,26.33,6.9
3.06,1.87,2.75,2.65,AWE,Aust Worldwide Ex,2.66,-11,"46,874",2.66,2.67,-,,-,1.80,-,17.36,15.3
1.39,0.60,1.315,1.26,AUN,Austar United,1.295,-3.5,"16,765",1.27,1.30,-,,-,-0.33,-,-2.4,-
0.585,0.174,0.57,0.555,ALZ,Australand Prop stpld,0.56,-1.5,"45,121",0.56,0.565,10,,-,0.92,17.86,-15.55,-
1.995,1.085,1.595,1.565,AVO,Avoca Res,1.585,-2.5,"9,499",1.57,1.585,-,,-,0.61,-,-6.97,-
2.995,0.592,1.26,1.19,AWB,AWB Ltd,1.225,2.5,"223,911",1.22,1.24,5,,3.70,1.81,4.08,18.5,6.6
5.19,2.52,4.51,4.41,AXA,AXA Asia Pacific,4.43,-11,"22,970",4.41,4.44,18.5,p,-,0.96,4.18,-7.39,-
0.27,0.024,0.036,0.035,BBI,Babcock & Br Infr stp,0.035,-0.1,"106,920",0.035,0.036,2.5,,-,1.84,71.43,-40.69,-
13.938,6.228,13.07,12.96,BOQ,Bank of Qld,13.07,-8,"5,617",12.99,13.10,52,f,1.46,6.62,3.98,75.9,17.2
1.122,0.678,0.82,0.795,BPT,Beach Pet,0.80,-2,"79,953",0.80,0.805,1.75,p,14.41,-,2.19,25.21,3.2
13.828,5.733,9.74,9.58,BEN,Bendigo & Adelaide,9.60,-17,"8,820",9.59,9.64,43,f,0.60,4.03,4.48,25.6,37.5
40.28,20.00,39.27,38.80,BHP,BHP Billiton Ltd,38.85,-88,"151,584",38.84,38.90,113.63,f,1.15,8.84,2.92,130.15,29.9
12.307,5.815,11.11,10.43,BBG,Billabong Intl,10.58,-37,"25,840",10.54,10.67,45,p,1.54,0.70,4.25,69.2,15.3
4.16,1.675,3.22,3.14,BSL,BlueScope Steel,3.16,-12,"133,483",3.15,3.16,5,,-,2.46,1.58,-7.1,-
0.452,0.054,0.31,0.295,BLY,Boart Longyear,0.30,-1,"1,146,103",0.30,0.305,2.87,,2.38,-0.10,9.57,6.84,4.4
6.40,2.29,6.11,5.90,BLD,Boral Ltd,6.10,-12,"38,488",6.10,6.14,13,f,1.85,4.12,2.13,24.1,25.3
7.15,0.945,6.93,6.64,BKN,Bradken Ltd,6.70,-32,"10,530",6.70,6.77,23,f,2.28,1.31,3.43,52.5,12.8
8.85,4.08,7.19,7.11,BXB,Brambles Ltd,7.16,-1,"61,819",7.15,7.17,30,p,1.34,0.58,4.19,40.18,17.8
1.945,1.309,1.735,1.70,BWP,Bunnings Warehouse unt,1.70,-3.5,"10,603",1.70,1.74,11.57,,-,1.79,6.81,-3.74,-
7.34,4.71,5.89,5.83,CAB,Cabcharge Aust,5.88,6,"5,553",5.85,5.88,34,f,1.50,2.21,5.78,51,11.5
14.00,6.18,10.78,10.52,CTX,Caltex Aust,10.67,-5,"8,612",10.64,10.79,36,,0.43,10.60,3.37,15.6,68.4
0.885,0.23,0.57,0.55,CVN,Carnarvon Pet,0.55,-3,"27,978",0.55,0.555,-,,-,0.07,-,5.4,10.2
4.37,1.51,3.28,3.13,CEY,Centennial Coal,3.13,-18,"43,198",3.12,3.14,11,f,1.77,1.77,3.51,19.5,16.1
2.17,1.415,2.04,1.975,CFX,CFS Retail Prop unt,1.99,-6,"104,146",1.97,1.99,12.5,p,-,2.02,6.28,-15.27,-
4.07,0.865,3.96,3.80,CGF,Challenger FSG Ltd,3.85,-2,"78,570",3.80,3.90,12.5,,-,1.81,3.25,-16.2,-
