S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
Trading data for Monday, March 21,2011,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share c,P/E ratio
43.89,28.02,34.64,33.91,ASX,ASX,34.18,-64,13939,34.16,34.18,174.2,f,1.1,3.85,5.1,191.2,17.9
4.09,1.68,3.33,3.24,AGO,Atlas Iron,3.26,-6,57716,3.25,3.28,-,,-,-,-,2,163
3.37,0.41,3.03,2.92,AUT,Aurora Oil & Gas,2.99,-5,17087,2.94,3,-,,-,-,-,-1.19,-
3.74,1.455,3.5,3.36,ASL,Ausdrill,3.42,-3,7331,3.4,3.45,11.5,f,2.23,1.79,3.36,25.67,13.3
2.09,1.54,1.88,1.83,AIX,Aust Infrastructure Fd unt,1.87,-1.5,13338,1.845,1.875,10,p,2.44,2.7,5.35,24.4,7.7
1.46,0.835,1.25,1.225,AUN,Austar United,1.245,-0.5,50187,1.225,1.25,-,,-,-0.21,-,7.9,15.8
3.17,2.25,2.99,2.9,ALZ,Australand Prop stp,2.99,5,10155,2.87,2.99,20.5,,1.4,3.52,6.86,28.7,10.4
2.89,1.455,1.595,1.555,AWE,AWE,1.57,1,24642,1.56,1.595,-,,-,1.59,-,-18.42,-
13.03,9.16,9.76,9.54,BOQ,Bank of Qld,9.74,18,4159,9.69,9.75,52,f,1.55,7.55,5.34,80.6,12.1
0.955,0.595,0.895,0.87,BPT,Beach Energy,0.885,-,24157,0.88,0.89,1.75,f,-,1.2,1.98,-8.08,-
10.45,7.72,9.12,8.93,BEN,Bendigo & Adelaide,9.08,19,10306,9.06,9.1,60,f,1.41,5.44,6.61,84.4,10.8
47.63,35.58,44.64,44.11,BHP,BHP Billiton,44.5,-6,70924,44.48,44.5,94.58,f,3.5,9.91,2.13,331.41,13.4
12.32,7.27,7.9,7.64,BBG,Billabong Int'l,7.72,-10,5061,7.55,7.79,34,p,1.56,-0.44,4.4,53.2,14.5
3.02,1.83,1.985,1.935,BSL,BlueScope Steel,1.975,2.5,129809,1.97,1.98,7,f,0.78,2.47,3.54,5.47,36.1
4.93,2.43,4.35,4.17,BLY,Boart Longyear,4.31,3,26481,4.31,4.35,5.61,p,3.24,1.42,1.3,18.2,23.7
5.98,4.15,5.08,4.94,BLD,Boral,5.08,6,30836,5.06,5.09,14,f,-,3.89,2.76,-13.6,-
1.605,0.83,1.07,1.005,BOW,Bow Energy,1.02,3,28098,1,1.02,-,,-,-,-,-1.99,-
9.6,6.5,8.01,7.72,BKN,Bradken,7.75,-16,7128,7.71,7.76,39.5,f,1.34,2.02,5.1,52.8,14.7
7.75,5.11,6.84,6.72,BXB,Brambles,6.83,-1,53321,6.78,6.84,25.5,p,1.4,8.25,3.73,35.59,19.2
2.066,1.68,1.725,1.7,BWP,Bunnings W'house unt,1.705,-2.5,15964,1.705,1.71,12.16,,2.05,1.96,7.13,24.97,6.8
6.38,4.25,5.24,5.16,CAB,Cabcharge Aust,5.23,-2,1613,5.2,5.33,27,f,1.36,-,5.16,36.7,14.3
16.16,8.95,16.11,15.85,CTX,Caltex Aust,15.96,12,7294,15.92,16,60,f,1.96,11.08,3.76,117.4,13.6
0.53,0.3,0.355,0.345,CVN,Carnarvon Pet,0.345,0.5,20124,0.345,0.35,-,,-,0.04,-,1.7,20.3
5.85,4.4,5.08,4.91,CRZ,carsales.com,5.03,8,11057,5,5.09,17.7,f,1.25,0.09,3.52,22.2,22.7
2.03,1.74,1.84,1.82,CFX,CFS Retail Prop unt,1.835,-0.5,100646,1.83,1.835,12.6,p,1.74,2.05,6.87,21.88,8.4
5.21,3.24,4.73,4.61,CGF,Challenger FSG,4.73,8,19258,4.73,4.74,15.5,,3.01,2.52,3.28,46.7,10.1
3.16,2.06,2.6,2.51,CHC,Charter Hall Grp forus,2.59,-1,5926,2.51,2.6,14.4,,3.73,2.21,5.56,53.7,4.8
