S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4465.4 at 16:35 16/8/2010  Report at 19:05 Monday 16/8/2010. Processed 19:19 Monday 16/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.625,0.30,0.385,0.37,CVN,Carnarvon Pet,0.375,-1,"32,621",0.37,0.375,-,,-,0.05,-,3.3,11.4
5.86,3.56,4.89,4.82,CRZ,Carsales Com Ltd,4.83,-13,"1,203",4.83,5.00,6.6,f,1.24,0.01,1.37,8.2,58.9
6.07,3.05,6.07,6.02,CEY,Centennial Coal,6.03,-1,"18,628",6.03,6.05,8,p,1.98,1.87,1.33,15.8,38.2
2.12,1.695,1.915,1.89,CFX,CFS Retail Prop unt,1.905,,"43,948",1.905,1.915,12.5,,-,1.99,6.56,-1.9,-
4.50,2.60,3.54,3.44,CGF,Challenger FSG Ltd,3.44,-13,"18,201",3.42,3.46,13.5,,2.61,3.36,3.92,35.2,9.8
0.79,0.427,0.605,0.595,CHC,Charter Hall Grp forus,0.60,,"14,913",0.595,0.605,3.2,,-,0.60,5.33,-23.57,-
0.355,0.22,0.25,0.24,CQO,Charter Hall Office unt,0.245,-0.5,"97,260",0.24,0.245,2.5,,4.01,0.44,10.20,10.03,2.4
0.735,0.47,0.545,0.535,CQR,Charter Hall Retail unt,0.54,,"21,639",0.54,0.545,6,,-,0.72,11.11,-45.58,-
12.15,9.43,11.98,11.77,CCL,Coca-Cola Amatil,11.95,-1,"19,003",11.83,11.96,45.5,f,1.39,1.47,3.81,63.1,18.9
79.11,56.27,69.80,68.70,COH,Cochlear Ltd,68.84,-78,"1,836",68.80,69.13,200,p,1.38,4.01,2.91,275.7,25.0
60.00,43.44,49.84,49.36,CBA,C'wlth Bank  of Aust ,49.75,-173,"80,103",49.75,49.79,290,f,1.19,15.94,5.83,344.5,14.4
1.045,0.735,0.94,0.925,CPA,C'wlth Prop ord unt   ,0.93,-0.5,"77,704",0.925,0.935,6.85,,-,1.11,7.37,-11.41,-
12.90,8.70,9.17,9.02,CPU,Computershare Ltd,9.05,-18,"26,350",9.04,9.06,28,p,2.22,-1.61,3.09,62.24,14.5
0.49,0.33,0.40,0.39,CEU,ConnectEast stp,0.395,-0.5,"60,268",0.39,0.395,2,,-,-,5.06,-21.74,-
11.66,7.76,8.31,8.10,CRG,Crane Grp Ltd,8.25,-1,"1,210",8.10,8.25,40,f,1.04,4.50,4.85,41.7,19.8
9.39,6.98,8.29,8.14,CWN,Crown Ltd,8.25,-7,"25,673",8.15,8.30,37,p,-,3.24,4.48,-92.35,-
37.56,30.03,33.06,32.46,CSL,CSL Ltd,32.60,-19,"24,404",32.57,32.69,75,,2.85,6.11,2.30,213.41,15.3
2.14,1.585,1.715,1.70,CSR,CSR Ltd,1.705,-0.5,"30,942",1.705,1.72,8.5,f,-,1.04,4.99,-8.2,-
6.59,3.35,-,-,CDU,Cudeco Ltd,4.79,,-,6.50,4.83,-,,-,-,-,0.42,1140.5
5.96,4.10,4.88,4.72,DJS,David Jones Ltd,4.87,4,"20,040",4.86,4.88,29,f,1.14,1.22,5.95,33,14.8
0.89,0.66,0.815,0.805,DXS,DEXUS Prop Grp stp,0.81,,"159,474",0.805,0.81,5.1,,-,0.95,6.30,-11.03,-
9.44,3.33,4.50,4.43,DOW,Downer EDI Ltd,4.44,-5,"14,304",4.42,4.46,29.1,,1.87,2.15,6.55,54.4,8.2
1.90,1.435,1.66,1.635,DUE,DUET Grp forus,1.65,-0.5,"12,703",1.65,1.665,20,,0.22,-,12.12,4.39,37.6
2.78,2.41,2.60,2.51,DLX,Duluxgrp Ltd,2.57,,"16,342",2.57,2.59,-,,-,-,-,-,-
1.165,0.615,0.85,0.835,ESG,Eastern Star Gas,0.84,-1,"20,836",0.84,0.845,-,,-,-,-,-0.8,-
4.20,0.315,0.59,0.55,ELD,Elders Ltd,0.575,6,"449,260",0.575,0.58,-,,-,1.63,-,-51.11,-
21.48,12.86,19.72,19.41,EAU,Eldorado Gold cdi,19.70,-4,806,19.46,19.88,4.95,,4.98,-,0.25,24.64,80.0
0.995,0.45,0.725,0.705,EHL,Emeco Hldgs,0.715,-1,"9,685",0.715,0.72,2,,-,0.71,2.80,-4.2,-
27.15,12.51,13.71,13.38,ERA,Energy Res,13.66,-9,"3,739",13.63,13.72,33,f,2.66,-,2.42,87.9,15.5
0.60,0.25,0.43,0.405,EWC,Energy World Corp,0.41,-2,"19,144",0.41,0.42,-,,-,0.30,-,3.02,13.6
0.595,0.455,0.50,0.49,ENV,Envestra Ltd,0.495,,"15,192",0.495,0.50,5.5,p,0.63,-0.05,11.11,3.49,14.2
5.31,2.77,5.02,4.90,EQN,Equinox Min Ltd cdi,5.00,2,"11,521",5.00,5.04,-,,-,-,-,7.22,69.3
11.45,6.29,6.95,6.64,EXT,Extract Res,6.95,17,"3,683",6.86,6.95,-,,-,-,-,-4.96,-
1.885,1.26,1.44,1.42,FXJ,Fairfax Media Ltd,1.43,-2,"75,347",1.425,1.435,1.1,,8.45,-0.31,0.77,9.3,15.4
0.90,0.505,0.73,0.72,FKP,FKP Prop Grp stp,0.72,-0.5,"36,173",0.72,0.73,1.95,,-,1.27,2.71,-10.3,-
10.13,6.42,9.80,9.62,FWD,Fleetwood Corp,9.67,-22,"1,627",9.67,9.88,66,f,0.98,2.12,6.83,64.7,14.9
21.43,12.40,18.42,18.11,FLT,Flight Centre,18.34,-1,"1,313",18.20,18.45,26,f,2.44,2.56,1.42,63.4,28.9
5.57,3.28,4.53,4.38,FMG,Fortescue Metals Grp,4.49,5,"52,626",4.45,4.49,-,,-,-,-,-16.13,-
6.01,5.11,5.78,5.67,FGL,Foster's Grp,5.72,,"106,138",5.71,5.73,27.25,f,0.73,0.52,4.76,19.8,28.9
1.45,0.785,0.985,0.96,GBG,Gindalbie Metals,0.975,-0.5,"33,745",0.975,0.98,-,,-,-,-,-0.95,-
1.78,1.235,1.26,1.245,GFF,Goodman Fielder,1.25,,"41,884",1.245,1.25,11.25,,1.28,-0.16,9.00,14.4,8.7
0.75,0.515,0.625,0.61,GMG,Goodman Grp forus,0.62,-0.5,"155,240",0.615,0.62,1.5,,-,0.50,2.42,-31.3,-
3.01,0.525,2.87,2.83,GPT,GPT Grp stp,2.86,-1,"40,835",2.85,2.86,3.6,,-,0.69,1.26,-14.5,-
8.85,5.10,6.71,6.44,GNC,Graincorp Ltd,6.53,26,"36,081",6.51,6.54,22.27,f,2.86,4.78,3.41,63.62,10.3
10.62,7.79,9.48,9.30,GUD,GUD Hldgs,9.44,-4,"1,195",9.40,9.50,62,f,1.23,1.92,6.57,76.5,12.3
1.325,0.26,0.645,0.615,GNS,Gunns Ltd,0.615,0.5,"78,081",0.615,0.625,2,,0.75,1.59,3.25,1.5,41.0
3.50,2.51,2.99,2.92,GWT,GWA Intl,2.98,4,"5,198",2.96,2.99,18,f,0.89,0.28,6.04,15.94,18.7
4.85,3.08,3.53,3.44,HVN,Harvey Norman,3.52,2,"18,376",3.50,3.52,13,f,1.98,2.10,3.69,25.78,13.7
2.30,1.34,1.515,1.45,HST,Hastie Grp Ltd,1.50,4,"5,470",1.49,1.505,10,f,2.22,-0.26,6.67,22.2,6.8
1.40,0.85,1.375,1.355,HDF,Hastings Divers stp,1.365,-0.5,"8,270",1.36,1.37,12,,-,1.23,8.79,-12.55,-
6.05,4.07,6.05,6.01,HSP,Healthscope Ltd,6.03,1,"5,619",6.03,6.04,22.5,f,1.32,0.66,3.73,29.78,20.2
2.67,2.01,2.28,2.24,HGG,Henderson Grp cdi,2.25,-1,"8,378",2.25,2.26,10.69,,0.30,-0.18,4.75,3.23,69.7
2.93,1.605,2.30,2.23,HIL,Hills Ind Ltd,2.25,1,"2,685",2.24,2.30,12.5,f,1.34,1.47,5.56,16.7,13.5
5.59,3.22,5.41,5.23,ILU,Iluka Res,5.30,-6,"12,379",5.21,5.46,-,,-,2.58,-,-26.8,-
3.83,2.51,3.31,3.23,IPL,Incitec Pivot,3.27,-10,"121,408",3.26,3.28,4.1,,-,0.27,1.25,-10.2,-
5.92,3.65,5.63,5.50,IGO,Independence Grp,5.61,4,"3,690",5.61,5.65,5,f,5.04,1.30,0.89,25.18,22.3
1.55,0.66,0.79,0.77,IFN,Infigen Energy stp,0.79,,"13,488",0.785,0.795,4.5,,6.88,0.55,5.70,30.95,2.6
0.603,0.315,0.45,0.44,IIF,ING Industrial Fd unt,0.45,0.5,"45,683",0.445,0.45,1.6,,-,0.60,3.56,-78.3,-
0.67,0.45,0.61,0.60,IOF,ING Office Fd stp,0.605,-0.5,"60,087",0.605,0.61,3.9,,-,0.74,6.45,-16.7,-
4.21,3.22,3.45,3.34,IAG,Insurance Aust Grp,3.41,-8,"81,781",3.41,3.42,14.5,f,1.73,1.29,4.25,25.07,13.6
1.59,1.005,1.455,1.44,ITO,Intoll Grp stp,1.45,,"234,357",1.445,1.45,3,,-,1.78,2.07,-16.38,-
6.50,5.33,6.36,6.16,IVC,Invocare Ltd,6.33,7,"2,173",6.32,6.37,25.25,f,1.30,0.48,3.99,32.9,19.2
7.40,4.22,6.42,6.18,IFL,IOOF Hldgs Ltd,6.34,-4,"5,087",6.31,6.41,21,f,0.93,0.56,3.31,19.5,32.5
9.38,7.25,8.38,8.17,IRE,IRESS Market Tech,8.38,-3,"1,860",8.34,8.40,34,f,1.02,0.75,4.06,34.78,24.1
0.93,0.135,0.165,0.155,ISF,iSOFT Group Ltd,0.165,0.5,"29,779",0.16,0.165,1,,3.66,-0.23,6.06,3.66,4.5
8.86,5.43,5.53,5.43,JHX,James Hardie Ind cdi,5.49,-8,"30,388",5.48,5.60,-,,-,-0.29,-,-21.4,-
23.71,17.07,20.37,20.01,JBH,JB Hi-Fi Ltd,20.37,7,"7,110",20.08,20.37,66,f,1.66,1.82,3.24,109.74,18.6
1.28,0.465,0.655,0.63,KZL,Kagara Ltd,0.65,,"27,723",0.645,0.655,-,,-,0.67,-,-18.99,-
11.45,4.51,6.91,6.84,KAR,Karoon Gas Aust,6.86,-11,"2,064",6.85,6.88,-,,-,-,-,-15.25,-
