ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4342.4 at 16:37 20/5/2010  Report at 19:06 Thursday 20/5/2010. Processed 19:53 Thursday 20/5/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.087,0.20,0.20,TDO,3D Oil Ltd,0.20,,200,0.185,0.20,-,,-,-,-,-0.27,-
0.026,0.009,0.022,0.02,DDD,3D Res Ltd,0.022,,6500,0.02,0.022,-,,-,-,-,-1.9,-
0.109,0.025,-,-,AAO,A'asia Gold,0.072,,-,0.06,0.072,-,,-,-,-,-1.28,-
0.02,0.012,-,-,AAOO,  opt apr13,0.02,,-,0.016,0.02,-,,-,-,-,-,-
0.70,0.26,0.325,0.26,ARH,A'asian Resour,0.27,-5,3143,0.26,0.275,-,,-,-,-,-1.4,-
0.42,0.13,0.21,0.20,AAM,A1 Min Ltd,0.205,-0.5,14323,0.205,0.21,-,,-,-,-,-3.56,-
0.07,0.017,0.02,0.019,ABU,ABM Res NL,0.02,,28573,0.019,0.02,-,,-,-,-,-4.09,-
0.25,0.11,0.12,0.12,AII,Abra Min Ltd,0.12,1,520,0.12,0.13,-,,-,-,-,-1.94,-
0.60,0.30,0.34,0.34,ACB,A-Cap Res,0.34,,647,0.335,0.35,-,,-,0.14,-,-0.91,-
0.27,0.12,0.17,0.165,ACS,Accent Res NL,0.165,0.5,800,0.175,0.18,-,,-,-,-,-1.53,-
0.029,0.004,0.015,0.014,AEX,Acclaim Explore,0.015,-0.1,26839,0.014,0.015,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,0.02,-,,-,-,-,-,-
0.14,0.05,-,-,AIV,Activex Ltd,0.085,,-,0.086,0.115,-,,-,-,-,-1.49,-
0.06,0.001,-,-,AIVO,  opt jul10,0.01,,-,0.008,0.03,-,,-,-,-,-,-
0.58,0.303,0.495,0.465,ADU,Adamus Res,0.49,,12785,0.48,0.49,-,,-,-,-,-12.87,-
0.065,0.019,-,-,ADD,Adavale Resource,0.033,,-,0.033,0.038,-,,-,0.02,-,-0.96,-
0.215,0.105,0.155,0.15,ADE,Adelaide Energy,0.15,,3090,0.15,0.155,-,,-,-,-,0.97,15.5
0.395,0.07,0.16,0.145,ADN,Adelaide Res,0.145,-0.5,3295,0.14,0.16,-,,-,-,-,-0.56,-
0.42,0.059,0.415,0.41,ADI,Adelphi Energy,0.41,-0.5,15207,0.41,0.415,-,,-,-,-,-4.27,-
1.65,0.50,0.835,0.75,ABY,Aditya Birla,0.77,-6.5,10589,0.755,0.79,-,,-,1.51,-,19.61,3.9
0.032,0.009,0.01,0.009,ADY,Admiralty Res,0.009,-0.1,93619,0.009,0.01,-,,-,-,-,0.09,10.0
0.125,0.036,-,-,AVD,Advance Energy,0.037,,-,0.018,0.025,-,,-,-,-,-3.1,-
1.04,0.50,0.55,0.525,AED,AED Oil Ltd,0.525,-3,2219,0.525,0.535,-,,-,1.03,-,-48.17,-
0.24,0.05,0.09,0.085,AFR,African Energy Res cdi,0.09,,1000,0.085,0.09,-,,-,-,-,-1.13,-
0.027,0.009,-,-,AAE,Agri Energy Ltd,0.011,,-,0.011,0.012,-,,-,-,-,15.8,0.1
0.245,0.14,-,-,ALG,Alamar Res Ltd,0.19,,-,0.18,0.20,-,,-,-,-,-1.34,-
0.25,0.048,0.093,0.093,AUQ,Alara Res Ltd,0.093,-0.1,11,0.093,0.11,-,,-,-,-,-1.9,-
1.27,0.07,0.475,0.455,ALY,Alchemy Resource,0.46,-2,4290,0.455,0.47,-,,-,-,-,-3.2,-
0.96,0.004,-,-,ALYO,  opt aug10,0.28,,-,0.20,0.29,-,,-,-,-,-,-
0.06,0.023,0.025,0.025,AYN,Alcyone Res Ltd,0.025,,200,0.024,0.025,-,,-,-,-,-6.05,-
0.021,0.021,-,-,AYNOB,  opt sep11,-,,-,-,-,-,,-,-,-,-,-
0.49,0.25,0.29,0.27,ALK,Alkane Res Ltd,0.27,-2,1367,0.27,0.28,-,,-,-,-,0.93,29.0
0.98,0.38,0.39,0.38,AGS,Alliance Res,0.38,-0.5,4241,0.38,0.395,-,,-,-,-,-1.97,-
0.55,0.25,0.375,0.365,ALD,Allied Gold Ltd,0.375,0.5,13284,0.36,0.375,-,,-,0.26,-,-3.42,-
0.042,0.019,-,-,AYR,Alloy Res,0.027,,-,0.027,0.034,-,,-,-,-,-0.62,-
0.37,0.067,0.175,0.165,AJM,Altura Min Ltd,0.165,,2500,0.165,0.18,-,,-,-,-,-5.11,-
0.08,0.005,-,-,AJMO,  opt may10,0.007,,-,-,0.001,-,,-,-,-,-,-
2.06,1.225,1.65,1.585,AWC,Alumina Ltd,1.59,-2,288427,1.585,1.59,2,f,-,1.21,1.26,-1.2,-
0.43,0.185,0.205,0.20,AMU,Amadeus Energy,0.20,,4953,0.20,0.205,-,,-,0.34,-,-10.17,-
0.25,0.085,0.16,0.16,AXZ,Amex Res,0.16,-1,15,0.13,0.15,-,,-,-,-,-2.85,-
1.94,0.275,1.63,1.555,AMX,Ampella Min,1.555,-5.5,3353,1.55,1.555,-,,-,-,-,-7,-
1.755,0.13,1.42,1.39,AMXO,  opt jul10,1.42,-2.5,130,1.305,1.68,-,,-,-,-,-,-
0.28,0.041,-,-,AHR,Anchor Res,0.17,,-,0.17,0.19,-,,-,-,-,-2.05,-
3.58,1.68,3.20,3.07,AND,Andean Res Ltd,3.14,-13,4127,3.07,3.16,-,,-,-,-,-4.64,-
1.30,0.97,-,-,ATM,Aneka Tambang cdi,1.30,,-,1.25,-,2.94,,0.24,0.10,2.26,0.7,185.7
0.044,0.018,0.026,0.024,AAR,Anglo Aust,0.024,-0.2,20067,0.023,0.024,-,,-,-,-,-0.14,-
3.50,2.581,-,-,AGP,Anglo Pacific Grp,3.06,,-,2.81,-,14.64,,2.35,-,4.78,34.4,8.9
