AFR MINOIL MARKETS excluding fixed interest,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4504.8 at 2012-05-02T16:41:07. Report at Wednesday, May 2, 2012. Processed Thursday at 2012-05-03T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
.215,.069,.095,.095,TDO,3D Oil,.095,-.5,400,.095,.099,-,,-,-,-,-.62,-,,
.06,.035,-,-,DDD,3D Res,.035,-,-,-,-,-,,-,-,-,-.44,-,,
.37,.145,.16,.16,ARH,A'asian Resources,.16,-,75,.16,.165,-,,-,-,-,.47,34.0,,
.082,.033,.047,.044,ABU,ABM Res,.045,-,171333,.044,.045,-,,-,-,-,-.43,-,,
.14,.034,.04,.037,AJC,Acacia Coal,.037,-.2,6344,.037,.04,-,,-,-,-,-1.14,-,,
.45,.165,.22,.215,ACB,A-Cap Res,.215,-1.5,3085,.215,.22,-,,-,-,-,-2.06,-,,
.405,.22,-,-,ACS,Accent Res,.26,-,-,-,-,-,,-,-,-,-.42,-,,
.245,.105,.20,.19,ACN,Acer Energy,.195,+.5,4919,.19,.195,-,,-,-,-,-4.59,-,,
.055,.019,-,-,AIV,ActiveX,.025,-,-,-,-,-,,-,-,-,-.78,-,,
.014,.001,-,-,AIVO,  opt jul12,.001,-,-,-,-,-,,-,-,-,-,-,,
.037,.01,-,-,ADD,Adavale Resources,.016,-,-,.016,.021,-,,-,.01,-,-.51,-,,
.145,.055,.086,.08,ADN,Adelaide Res,.086,+.6,1830,.08,.084,-,,-,-,-,-.95,-,,
.80,.135,-,-,AAO,Adept Solutions,.205,-,-,.185,.205,-,,-,.10,-,-9.92,-,,
.075,.051,-,-,AAOO,  opt apr13,-,-,-,-,-,-,,-,-,-,-,-,,
1.875,.65,.675,.655,ABY,Aditya Birla,.67,+.5,2807,.665,.675,9.00,,.94,-,13.43,8.48,7.9,,
.096,.043,.046,.045,ADY,Admiralty Res,.045,-.2,1767,.045,.046,-,,-,-,-,-.44,-,,
.016,.003,.004,.004,AVD,Advance Energy,.004,+.1,1000,.003,.004,-,,-,-,-,-.73,-,,
.005,.001,-,-,AVDOA,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.11,.062,.088,.082,ADX,ADX Energy,.083,-,5013,.083,.088,-,,-,-,-,-1.93,-,,
.915,.22,.245,.22,AFR,African Energy Res cdi,.245,+1.5,9035,.24,.245,-,,-,-,-,-1.92,-,,
.014,.004,.008,.008,AAE,Agri Energy,.008,-,2551,.008,.009,-,,-,-,-,-.23,-,,
.90,.245,.27,.255,AGR,Aguia Res,.27,+2,160,.26,.29,-,,-,-,-,-9.22,-,,
12.30,7.60,7.92,7.71,AQG,Alacer Gold cdi,7.85,+8,1727,7.72,7.90,-,,-,-,-,28.59,27.5,,
