ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:05 Friday 21/5/2010. Processed 19:15 Friday 21/5/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.087,0.20,0.18,TDO,3D Oil Ltd,0.20,,1395,0.18,0.20,-,,-,-,-,-0.27,-
0.026,0.009,0.02,0.02,DDD,3D Res Ltd,0.02,-0.2,2300,0.02,0.022,-,,-,-,-,-1.9,-
0.109,0.025,-,-,AAO,A'asia Gold,0.072,,-,0.05,0.06,-,,-,-,-,-1.28,-
0.02,0.012,-,-,AAOO,  opt apr13,0.02,,-,0.016,0.02,-,,-,-,-,-,-
0.70,0.215,0.27,0.215,ARH,A'asian Resour,0.27,,2617,0.25,0.27,-,,-,-,-,-1.4,-
0.42,0.13,0.195,0.18,AAM,A1 Min Ltd,0.185,-2,13607,0.19,0.195,-,,-,-,-,-3.56,-
0.07,0.016,0.019,0.016,ABU,ABM Res NL,0.018,-0.2,122607,0.018,0.019,-,,-,-,-,-4.09,-
0.25,0.11,0.13,0.13,AII,Abra Min Ltd,0.13,1,400,0.12,0.13,-,,-,-,-,-1.94,-
0.60,0.30,0.335,0.30,ACB,A-Cap Res,0.30,-4,2308,0.30,0.34,-,,-,0.14,-,-0.91,-
0.27,0.12,0.17,0.13,ACS,Accent Res NL,0.16,-0.5,2228,0.15,0.16,-,,-,-,-,-1.53,-
0.029,0.004,0.014,0.01,AEX,Acclaim Explore,0.013,-0.2,115905,0.013,0.014,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,0.02,-,,-,-,-,-,-
0.14,0.05,0.086,0.08,AIV,Activex Ltd,0.08,-0.5,1197,0.07,0.08,-,,-,-,-,-1.49,-
0.06,0.001,-,-,AIVO,  opt jul10,0.01,,-,0.006,0.02,-,,-,-,-,-,-
0.58,0.303,0.47,0.43,ADU,Adamus Res,0.47,-2,15922,0.46,0.475,-,,-,-,-,-12.87,-
0.065,0.019,0.033,0.033,ADD,Adavale Resource,0.033,,263,0.033,0.037,-,,-,0.02,-,-0.96,-
0.215,0.105,0.145,0.135,ADE,Adelaide Energy,0.135,-1.5,7027,0.135,0.14,-,,-,-,-,0.97,13.9
0.395,0.075,0.16,0.135,ADN,Adelaide Res,0.16,1.5,2355,0.14,0.16,-,,-,-,-,-0.56,-
0.42,0.059,0.41,0.405,ADI,Adelphi Energy,0.405,-0.5,55884,0.405,0.41,-,,-,-,-,-4.27,-
1.65,0.50,0.735,0.665,ABY,Aditya Birla,0.735,-3.5,32977,0.73,0.735,-,,-,1.51,-,19.61,3.7
0.032,0.009,0.01,0.009,ADY,Admiralty Res,0.009,,153683,0.009,0.01,-,,-,-,-,0.09,10.0
0.125,0.036,-,-,AVD,Advance Energy,0.037,,-,0.018,0.025,-,,-,-,-,-3.1,-
1.04,0.485,0.525,0.485,AED,AED Oil Ltd,0.525,,5925,0.51,0.535,-,,-,1.03,-,-48.17,-
0.24,0.05,0.08,0.079,AFR,African Energy Res cdi,0.079,-1.1,3115,0.08,0.09,-,,-,-,-,-1.13,-
0.027,0.009,0.011,0.01,AAE,Agri Energy Ltd,0.01,-0.1,5000,0.01,0.012,-,,-,-,-,15.8,0.1
0.245,0.14,0.18,0.18,ALG,Alamar Res Ltd,0.18,-1,150,0.175,0.20,-,,-,-,-,-1.34,-
0.25,0.048,0.092,0.092,AUQ,Alara Res Ltd,0.092,-0.1,11,0.078,0.09,-,,-,-,-,-1.9,-
1.27,0.07,0.535,0.40,ALY,Alchemy Resource,0.53,7,5952,0.52,0.53,-,,-,-,-,-3.2,-
0.96,0.004,0.285,0.285,ALYO,  opt aug10,0.285,0.5,500,0.22,0.285,-,,-,-,-,-,-
0.06,0.022,0.024,0.022,AYN,Alcyone Res Ltd,0.023,-0.2,9238,0.022,0.024,-,,-,-,-,-6.05,-
0.021,0.021,-,-,AYNOB,  opt sep11,-,,-,-,-,-,,-,-,-,-,-
0.49,0.25,0.295,0.265,ALK,Alkane Res Ltd,0.295,2.5,2757,0.29,0.295,-,,-,-,-,0.93,31.7
0.98,0.34,0.375,0.34,AGS,Alliance Res,0.35,-3,8703,0.35,0.37,-,,-,-,-,-1.97,-
0.55,0.25,0.375,0.34,ALD,Allied Gold Ltd,0.375,,5479,0.375,0.38,-,,-,0.26,-,-3.42,-
0.042,0.019,-,-,AYR,Alloy Res,0.027,,-,0.026,0.034,-,,-,-,-,-0.62,-
0.37,0.067,0.16,0.155,AJM,Altura Min Ltd,0.16,-0.5,4528,0.15,0.16,-,,-,-,-,-5.11,-
0.08,0.005,-,-,AJMO,  opt may10,0.007,,-,-,0.001,-,,-,-,-,-,-
2.06,1.235,1.63,1.51,AWC,Alumina Ltd,1.61,2,232581,1.605,1.615,2,f,-,1.21,1.24,-1.2,-
0.43,0.185,0.195,0.19,AMU,Amadeus Energy,0.19,-1,8970,0.185,0.20,-,,-,0.34,-,-10.17,-
0.25,0.085,0.16,0.15,AXZ,Amex Res,0.16,,885,0.135,0.17,-,,-,-,-,-2.85,-
1.94,0.275,1.47,1.28,AMX,Ampella Min,1.40,-15.5,18069,1.385,1.40,-,,-,-,-,-7,-
1.755,0.13,-,-,AMXO,  opt jul10,1.42,,-,1.19,1.33,-,,-,-,-,-,-
0.28,0.041,0.17,0.17,AHR,Anchor Res,0.17,,2,0.15,0.17,-,,-,-,-,-2.05,-
3.58,1.68,3.06,2.86,AND,Andean Res Ltd,3.06,-8,4325,3.01,3.09,-,,-,-,-,-4.64,-
1.30,0.97,1.20,1.20,ATM,Aneka Tambang cdi,1.20,-10,40,1.20,1.25,2.94,,0.24,0.10,2.45,0.7,171.4
0.044,0.018,0.023,0.022,AAR,Anglo Aust,0.023,-0.1,10970,0.022,0.024,-,,-,-,-,-0.14,-
3.50,2.581,-,-,AGP,Anglo Pacific Grp,3.06,,-,2.81,-,14.64,,2.35,-,4.78,34.4,8.9
11.00,7.65,9.55,9.25,AGG,Anglogold Ashanti,9.25,-28,31,9.25,9.75,3.87,,-,8.69,0.42,-99.23,-
0.885,0.18,0.565,0.485,AZZ,Antares Energy,0.565,-1.5,23008,0.565,0.58,-,,-,-,-,-1.6,-
4.56,1.38,3.28,3.06,AVM,Anvil Min cdi,3.28,-2,557,3.16,3.30,-,,-,-,-,-23.97,-
0.08,0.035,-,-,AAL,Apac Coal,0.039,,-,0.039,0.059,-,,-,-,-,1.53,2.5
0.187,0.014,0.02,0.016,AXM,Apex Min NL,0.02,0.3,185932,0.02,0.021,-,,-,-,-,-26.39,-
