ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4546.3 at 16:47 2/11/2009  Report at 19:05 Monday 2/11/2009. Processed 19:21 Monday 2/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.414,0.039,0.041,0.039,AXM,Apex Min NL,0.041,-0.1,72236,0.04,0.041,-,,-,-,-,-31.41,-
-,-,-,-,AXMNA,  def,-,,-,0.03,-,-,,-,-,-,-,-
-,-,-,-,AXMO,  optnov12d,-,,-,0.013,-,-,,-,-,-,-,-
0.40,0.125,0.29,0.28,AON,Apollo Min Ltd,0.29,-1,269,0.265,0.29,-,,-,-,-,-8.92,-
6.39,2.183,4.79,4.65,AQP,Aquarius Platinum,4.70,-30,15023,4.70,4.73,12.08,,-,-,2.57,-16.39,-
8.40,1.90,7.70,7.15,AQA,Aquila Res,7.50,32,7597,7.50,7.55,-,,-,-,-,-10.5,-
1.285,0.245,0.795,0.745,ARU,Arafura Resource,0.795,-3.5,4821,0.78,0.795,-,,-,-,-,-7.7,-
0.27,0.055,0.23,0.225,AAG,Aragon Res,0.23,0.5,353,0.225,0.23,-,,-,-,-,-3.81,-
0.042,0.002,-,-,AAGO,  opt sep10,0.03,,-,0.025,0.08,-,,-,-,-,-,-
0.044,0.007,0.03,0.03,ARX,ARC Explore Ltd,0.03,,4004,0.026,0.034,-,,-,-,-,16.13,0.2
0.01,0.001,-,-,ARXO,  opt jun12,0.01,,-,0.004,0.025,-,,-,-,-,-,-
0.17,0.037,0.12,0.12,AXE,Archer Explore,0.12,,500,0.115,0.12,-,,-,-,-,-1.8,-
0.025,0.002,-,-,AXEO,  opt feb10,0.007,,-,0.002,0.006,-,,-,-,-,-,-
0.20,0.04,0.155,0.155,ARD,Argent Min,0.155,-1.5,250,0.155,0.17,-,,-,-,-,-3.8,-
0.05,0.01,-,-,ARDO,  opt jun11,0.04,,-,0.025,0.04,-,,-,-,-,-,-
0.06,0.025,-,-,AXT,Argo Explore,0.057,,-,0.053,0.056,-,,-,-,-,-0.42,-
0.105,0.035,0.067,0.062,ARE,Argonaut Res,0.063,-0.4,7165,0.063,0.067,-,,-,-,-,-0.79,-
