ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.42,0.066,0.09,0.07,CUU,Callabonna Uranium,0.09,2.3,1861,0.08,0.088,-,,-,-,-,-1.18,-
0.68,0.25,-,-,CAY,Canyon Res,0.42,-,-,0.42,0.495,-,,-,-,-,-2.5,-
0.5,0.28,-,-,CBX,Cape Alumina,0.355,-,-,0.25,0.37,-,,-,-,-,-10.51,-
0.735,0.269,0.58,0.555,CFE,Cape Lambert Res,0.56,1.5,11463,0.56,0.575,-,f,-,-,-,9.78,5.7
0.16,0.026,-,-,CMY,Capital Min,0.046,-,-,0.045,0.059,-,,-,-,-,-0.7,-
0.075,0.005,-,-,CMYOA,  opt jul11,0.005,-,-,0.002,0.007,-,,-,-,-,-,-
2.43,0.75,2.43,2.3,CLR,Carabella Res,2.4,15,4298,2.32,2.4,-,,-,-,-,-,-
0.55,0.225,0.33,0.32,CRB,Carbine Res,0.33,2,425,0.32,0.345,-,,-,-,-,-1.76,-
0.34,0.1,0.14,0.14,CRBO,  opt jul11,0.14,-,300,0.125,0.195,-,,-,-,-,-,-
0.605,0.25,0.305,0.28,CNX,Carbon Energy,0.3,-,5279,0.29,0.3,-,,-,-,-,-2.7,-
3.5,2.7,-,-,CRM,Carbon Minerals,3,-,-,-,3.2,-,,-,-,-,-1.08,-
0.8,0.26,0.4,0.33,CBP,Carbon Polymers,0.4,7,862,0.38,0.4,-,,-,-,-,-1.25,-
0.53,0.3,0.355,0.345,CVN,Carnarvon Pet,0.345,0.5,20124,0.345,0.35,-,,-,0.04,-,1.7,20.3
0.42,0.09,0.096,0.095,CAV,Carnavale Res,0.095,-0.1,380,0.095,0.105,-,,-,-,-,-6.69,-
0.2,0.017,0.024,0.024,CAVO,  opt feb13,0.024,-,2000,0.015,0.024,-,,-,-,-,-,-
0.93,0.12,0.585,0.57,CAP,Carpentaria Expl,0.57,1.5,669,0.57,0.58,-,,-,-,-,2.3,24.8
0.795,0.32,0.6,0.58,CRK,Carrick Gold,0.58,-2,927,0.58,0.6,-,,-,-,-,-0.78,-
0.013,0.007,0.009,0.008,CIG,Caspian Oil & Gas,0.009,0.1,18855,0.008,0.009,-,,-,-,-,-1.16,-
0.64,0.29,0.35,0.335,CDT,Castle Minerals,0.335,-0.5,943,0.34,0.35,-,,-,-,-,-5,-
0.074,0.033,0.05,0.049,CGT,Castlemaine Gold,0.049,0.2,11286,0.048,0.049,-,,-,-,-,-0.84,-
2.27,1.36,1.75,1.705,CAH,Catalpa Res,1.74,-,4538,1.66,1.74,-,,-,-,-,8.47,20.5
1.13,0.42,-,-,CAHOB,  opt oct11,0.54,-,-,0.55,0.64,-,,-,-,-,-,-
0.25,0.085,0.25,0.23,CYL,Catalyst Metals,0.25,4,1088,0.215,0.25,-,,-,-,-,-1.13,-
0.42,0.2,0.24,0.22,CXU,Cauldron Energy,0.24,3,1469,0.23,0.24,-,,-,-,-,-9.19,-
0.13,0.02,-,-,CXUO,  opt oct12,0.05,-,-,0.04,0.1,-,,-,-,-,-,-
0.66,0.32,0.36,0.32,CAZ,Cazaly Res,0.33,-2,6963,0.325,0.335,-,,-,-,-,-3.04,-
0.68,0.073,0.4,0.4,CNL,Celamin Hldgs,0.4,-2,6,0.4,0.43,-,,-,-,-,-4.15,-
0.4,0.053,-,-,CNLCA,  ctg,0.27,-,-,0.25,0.27,-,,-,-,-,-,-
0.35,0.02,-,-,CNLO,  opt mar14,0.185,-,-,0.2,0.285,-,,-,-,-,-,-
0.16,0.056,0.1,0.099,CTM,Centaurus Metals,0.1,0.1,10948,0.1,0.105,-,,-,-,-,-0.92,-
0.23,0.17,0.18,0.18,CNS,Centius Gold,0.18,-,100,0.17,0.2,-,,-,-,-,-,-
0.05,0.027,-,-,CVR,Central Asia Res,0.027,-,-,0.036,0.047,-,,-,-,-,-2.86,-
0.125,0.038,0.053,0.049,CTP,Central Petroleum,0.052,-,21304,0.05,0.052,-,,-,-,-,-3.49,-
0.072,0.015,0.02,0.018,CTPO,  opt mar14,0.019,-0.1,9718,0.019,0.02,-,,-,-,-,-,-
0.085,0.021,-,-,CWG,Central West Gold,0.062,-,-,0.062,0.079,-,,-,-,-,-0.49,-
0.52,0.35,0.4,0.385,CXM,Centrex Metals,0.385,-1.5,501,0.385,0.41,-,,-,-,-,16.49,2.3
0.285,0.065,0.25,0.235,CJO,Cerro Res,0.25,0.5,9919,0.245,0.255,-,,-,-,-,-0.86,-
3.53,2.02,3.01,3,CGX,CGA Min,3.01,1,46,2.8,3.06,-,,-,-,-,14.76,20.4
0.78,0.364,0.51,0.5,CHN,Chalice Gold Mines,0.5,0.5,1595,0.485,0.5,-,,-,-,-,-4.03,-
0.29,0.07,0.19,0.17,CEL,Challenger Energy,0.19,1.5,12829,0.19,0.195,-,,-,-,-,-4.12,-
0.12,0.012,0.06,0.053,CELO,  opt jun12,0.06,-,10550,0.055,0.06,-,,-,-,-,-,-
0.035,0.006,0.007,0.007,CHM,Chameleon Min,0.007,-,1750,0.007,0.008,-,,-,-,-,-0.27,-
1.28,0.17,0.875,0.815,CHZ,Chesser Res,0.825,1.5,1542,0.825,0.875,-,,-,-,-,-1.65,-
0.35,0.18,0.275,0.265,CMC,China Magnesium,0.265,-0.5,2035,0.26,0.27,-,,-,0.12,-,-0.7,-
0.44,0.091,0.31,0.295,CYU,China Yunnan Copper,0.295,-0.5,713,0.3,0.31,-,,-,-,-,-2.72,-
0.38,0.12,-,-,CYS,Chrysalis Res,0.19,-,-,0.2,0.22,-,,-,-,-,-2.87,-
0.175,0.03,-,-,CYSO,  opt jun13,0.078,-,-,0.05,0.09,-,,-,-,-,-,-
0.15,0.081,0.096,0.092,CTO,Citigold Corp,0.092,-,5547,0.092,0.097,-,,-,-,-,-0.05,-
0.175,0.069,0.081,0.081,CLY,Clancy Explore,0.081,-0.3,200,0.081,0.085,-,,-,-,-,-4.61,-
0.049,0.017,-,-,CLYO,  opt jul13,0.03,-,-,0.025,0.027,-,,-,-,-,-,-
0.16,0.046,0.091,0.086,CGV,Clean Global Energy,0.088,0.2,3470,0.086,0.09,-,,-,-,-,-2.82,-
0.48,0.065,0.29,0.29,CDG,Cleveland Min,0.29,-,3700,0.285,0.29,-,,-,-,-,-10.5,-
0.01,0.002,0.007,0.006,CFR,Cluff Res,0.007,-,12263,0.006,0.007,-,,-,-,-,-0.04,-
0.005,0.001,-,-,CFROB,  opt jul11,0.002,-,-,0.002,0.003,-,,-,-,-,-,-
134.99,83.25,118,114.5,CNA,Coal & Allied Ind,115,-236,812,115,117,588,f,1.38,0.17,5.11,812.6,14.2
0.17,0.027,0.062,0.062,CES,Coal FE Resources,0.062,-,20,0.062,0.065,-,,-,-,-,-1.21,-
2.6,1.07,1.22,1.14,CZA,Coal of Africa,1.14,-10.5,14052,1.125,1.2,-,,-,-,-,-25.33,-
2.38,0.47,1.9,1.8,CPL,Coalspur Mines,1.9,7,78276,1.82,1.9,-,,-,-,-,-4.03,-
2.26,0.385,1.8,1.765,CPLO,  opt jun11,1.8,6,281,1,1.8,-,,-,-,-,-,-
1.055,0.27,0.83,0.795,CWK,Coalworks,0.8,-1,3841,0.79,0.8,-,,-,-,-,-2.2,-
1.09,0.13,0.94,0.88,CCU,Cobar Cons Res,0.935,7.5,11163,0.93,0.935,-,,-,-,-,-1.15,-
0.58,0.315,0.49,0.46,COK,Cockatoo Coal,0.475,-0.5,58482,0.47,0.475,-,,-,-,-,0.62,76.6
0.07,0.036,-,-,CRL,Comet Res,0.06,-,-,0.055,0.062,-,,-,-,-,-0.41,-
0.355,0.14,0.16,0.14,COI,Comet Ridge,0.16,1,2445,0.145,0.16,-,,-,-,-,-1.37,-
0.22,0.15,0.18,0.15,CDB,Condor Blanco Min,0.15,-2.5,1050,0.14,0.15,-,,-,-,-,-,-
0.28,0.1,-,-,CNK,Condor Nickel,0.16,-,-,0.16,0.18,-,,-,-,-,-0.6,-
0.72,0.3,0.585,0.57,CQT,Conquest Min,0.575,-1,7693,0.565,0.575,-,,-,0.24,-,-1.7,-
0.3,0.028,0.15,0.15,CSD,Consolidated Tin Min,0.15,0.5,700,0.145,0.15,-,,-,-,-,-0.6,-
0.14,0.002,-,-,CSDO,  opt dec13,0.042,-,-,0.044,0.05,-,,-,-,-,-,-
0.092,0.033,0.067,0.063,CCC,Continental Coal,0.066,-,324372,0.065,0.066,-,,-,0.04,-,-1.97,-
0.058,0.015,0.041,0.037,CCCO,  opt feb13,0.04,-,29796,0.038,0.04,-,,-,-,-,-,-
0.1,0.046,0.075,0.072,CVG,Convergent Min,0.072,0.2,389,0.072,0.075,-,,-,-,-,-0.73,-
0.03,0.009,-,-,CVGO,  opt dec11,0.01,-,-,0.001,0.015,-,,-,-,-,-,-
0.035,0.01,-,-,CVGOA,  opt sep11,0.025,-,-,0.016,0.035,-,,-,-,-,-,-
0.58,0.355,0.395,0.38,COE,Cooper Energy,0.38,-,10961,0.38,0.385,-,,-,0.44,-,-1.07,-
0.04,0.011,0.021,0.021,CRJ,Copper Range,0.021,-,83,0.021,0.023,-,,-,-,-,-0.37,-
0.024,0.007,-,-,CRJO,  opt dec12,0.011,-,-,0.011,0.014,-,,-,-,-,-,-
0.17,0.051,-,-,CSE,Copper Strike,0.115,-,-,0.115,0.125,-,,-,-,-,-1.14,-
0.185,0.085,0.12,0.12,COY,Coppermoly,0.12,-,580,0.12,0.125,-,,-,-,-,-0.34,-
0.02,0.006,-,-,COYO,  opt apr11,0.006,-,-,-,0.003,-,,-,-,-,-,-
0.12,0.05,-,-,COYOA,  opt dec11,0.05,-,-,0.031,0.065,-,,-,-,-,-,-
0.14,0.03,0.11,0.1,CZN,Corazon Min,0.11,-,1800,0.095,0.11,-,,-,-,-,-7.37,-
0.045,0.012,-,-,CZNO,  opt apr13,0.036,-,-,0.03,0.032,-,,-,-,-,-,-
0.25,0.16,0.205,0.2,CXO,Core Exploration,0.2,-,614,0.17,0.2,-,,-,-,-,-,-
0.28,0.135,0.18,0.17,CRC,Cortona Res,0.175,0.5,72855,0.17,0.175,-,,-,-,-,-1.49,-
0.17,0.055,-,-,CRCO,  opt jan12,0.062,-,-,0.065,0.072,-,,-,-,-,-,-
0.039,0.017,0.02,0.019,CGM,Cougar Metals,0.019,-,2800,0.018,0.02,-,,-,-,-,-1.5,-
0.41,0.21,0.25,0.22,CVE,Cove Res,0.25,-,1400,0.24,0.25,-,,-,-,-,-,-
0.2,0.028,-,-,CVEO,  opt jan14,0.08,-,-,0.08,0.12,-,,-,-,-,-,-
0.335,0.17,0.27,0.26,CVY,Coventry Res,0.27,1,2902,0.255,0.275,-,,-,-,-,-1.67,-
0.056,0.025,0.035,0.034,CZR,Coziron Res,0.034,-0.3,2000,0.033,0.037,-,,-,-,-,-1.28,-
0.179,0.028,0.047,0.04,CRE,Crescent Gold,0.047,0.8,373622,0.046,0.047,-,,-,-,-,-1.45,-
0.305,0.078,0.18,0.17,CUX,Crossland Uranium,0.175,-0.5,493,0.175,0.185,-,,-,-,-,-0.47,-
1.4,0.255,1.195,1.12,CAS,Crusader Res,1.195,9,605,1.12,1.195,-,,-,-,-,-8.02,-
5.42,1.63,-,-,CDU,CuDECO,3.09,-,-,-,-,-,,-,-,-,-5.07,-
0.45,0.21,0.33,0.32,CUE,Cue Energy Resources,0.33,0.5,7625,0.325,0.33,-,,-,0.15,-,3,11
0.063,0.034,0.04,0.036,CUL,Cullen Res,0.038,0.2,4160,0.038,0.04,-,,-,-,-,-0.37,-
0.29,0.125,0.15,0.14,CUY,Curnamona Energy,0.15,1,136,0.15,0.18,-,,-,-,-,-0.66,-
0.07,0.042,0.049,0.049,CUYO,  opt nov13,0.049,-,13,0.049,0.05,-,,-,-,-,-,-
0.22,0.035,0.145,0.14,DGR,D'aguilar Gold,0.14,-1,750,0.14,0.145,-,,-,-,-,0.36,38.9
0.8,0.5,0.57,0.56,DAU,Dampier Gold,0.56,1,280,0.56,0.6,-,,-,-,-,-6.3,-
1.395,0.745,0.84,0.81,DTE,Dart Energy,0.84,1,47536,0.83,0.84,-,,-,-,-,9,9.3
0.208,0.048,0.051,0.05,DTM,Dart Min,0.05,0.2,2000,0.049,0.054,-,,-,-,-,-1.32,-
0.01,0.006,-,-,DTMO,  opt dec11,0.008,-,-,0.006,0.008,-,,-,-,-,-,-
0.074,0.02,0.054,0.05,DEG,De Grey Min,0.05,-0.1,1770,0.048,0.05,-,,-,-,-,-0.84,-
0.385,0.12,0.25,0.235,DYL,Deep Yellow,0.245,2,64684,0.245,0.25,-,,-,-,-,-0.8,-
1.06,0.86,-,-,DSB,Delta SBD,0.86,-,-,0.82,0.85,-,,-,0.36,-,4.64,18.5
0.19,0.085,-,-,DSN,Desert Energy,0.1,-,-,0.08,0.1,-,,-,-,-,-3.34,-
0.112,0.056,0.08,0.08,DRX,Diatreme Res,0.08,-,300,0.079,0.08,-,,-,-,-,-1.97,-
1.47,0.574,1.165,1.115,DML,Discovery Metals,1.14,4,17345,1.125,1.15,-,,-,-,-,-2.64,-
1.73,0.21,0.865,0.8,DRM,Doray Minerals,0.84,4.5,2315,0.84,0.85,-,,-,-,-,-1.1,-
0.26,0.12,0.21,0.2,DUO,Dourado Res,0.2,0.5,2411,0.195,0.2,-,,-,-,-,-7.28,-
0.09,0.025,0.066,0.066,DUOO,  opt nov14,0.066,-,1090,0.066,0.075,-,,-,-,-,-,-
2,0.67,1.4,1.375,DRA,Dragon Min,1.38,2,236,1.38,1.4,-,,-,0.96,-,28.96,4.8
0.46,0.16,0.375,0.36,DMG,Dragon Mountain Gold,0.375,1.5,1970,0.365,0.375,-,,-,-,-,-2.55,-
0.65,0.125,0.455,0.425,DRK,Drake Res,0.425,0.5,3494,0.425,0.445,-,,-,-,-,-0.76,-
0.83,0.12,0.6,0.57,DLS,Drillsearch Energy,0.575,-2.5,1112,0.575,0.6,-,,-,0.03,-,-0.94,-
0.14,0.037,-,-,DGO,Drummond Gold,0.074,-,-,0.074,0.078,-,,-,-,-,-3.3,-
0.34,0.13,0.25,0.24,DMA,Dynasty Metals,0.24,-,920,0.235,0.255,-,,-,-,-,-8.31,-
0.25,0.038,0.135,0.115,EYE,Eagle Eye Metals,0.125,2,6854,0.125,0.13,-,,-,-,-,-1.03,-
0.077,0.027,-,-,ENL,Eagle Nickel,0.04,-,-,0.045,0.047,-,,-,-,-,-1.49,-
0.011,0.001,-,-,ENLO,  opt jul12,0.011,-,-,0.005,-,-,,-,-,-,-,-
0.013,0.006,-,-,ENLOA,  opt dec15,0.013,-,-,0.008,0.015,-,,-,-,-,-,-
0.095,0.013,0.063,0.06,EHR,Earth Heat Res cdi,0.06,-,3792,0.057,0.063,-,,-,-,-,0.9,6.7
0.4,0.1,-,-,EAF,East Africa Res,0.23,-,-,0.22,0.225,-,,-,-,-,-1.25,-
0.125,0.016,0.085,0.084,ECM,East Coast Min,0.084,-,8278,0.084,0.087,-,,-,-,-,-3.5,-
0.375,0.089,0.255,0.25,EER,East Energy Res,0.25,-1,840,0.245,0.25,-,,-,-,-,-0.42,-
0.25,0.11,-,-,EFE,Eastern Iron,0.17,-,-,0.14,0.16,-,,-,-,-,-1.8,-
1.045,0.615,0.715,0.69,ESG,Eastern Star Gas,0.705,1,118908,0.705,0.715,-,,-,-,-,-0.62,-
0.3,0.04,0.18,0.17,EAR,Echo Res,0.17,-0.5,1298,0.17,0.175,-,,-,-,-,-1.95,-
0.22,0.15,-,-,EUL,Eclipse Uranium,0.17,-,-,0.17,0.195,-,,-,-,-,-,-
0.19,0.044,0.145,0.135,EDE,Eden Energy,0.14,-0.5,14760,0.135,0.14,-,,-,-,-,-1.46,-
22.3,12.86,16.08,15.93,EAU,Eldorado Gold cdi,15.99,17,374,15,16.08,4.25,,8.8,-,0.27,37.39,42.8
0.026,0.01,0.012,0.011,EDM,Eldore Min,0.012,-,46643,0.011,0.012,-,,-,-,-,-0.36,-
0.01,0.003,0.003,0.003,EDMOA,  opt dec12,0.003,-,6000,0.002,0.003,-,,-,-,-,-,-
2.27,0.28,2.25,1.95,ELM,Elemental Min,2.25,32.5,16607,2.24,2.26,-,,-,-,-,-9.45,-
2,0.155,1.91,1.75,ELMO,  opt jan12,1.91,21,2108,1.855,1.95,-,,-,-,-,-,-
0.436,0.122,0.36,0.33,ELT,Elementos,0.35,-,1219,0.33,0.34,-,,-,-,-,-2.49,-
0.25,0.042,0.135,0.125,EXR,Elixir Pet,0.13,-0.5,2068,0.125,0.135,-,,-,-,-,-3,-
0.34,0.09,0.28,0.27,ELK,ELK Petroleum,0.275,2,1325,0.275,0.29,-,,-,-,-,-3.3,-
0.047,0.017,0.041,0.038,EMR,Emerald Oil & Gas,0.04,0.2,39898,0.04,0.042,-,,-,-,-,-3.32,-
0.018,0.005,0.018,0.018,EMRO,  opt aug12,0.018,0.4,1650,0.019,0.02,-,,-,-,-,-,-
0.55,0.165,0.22,0.2,EMG,Emergent Res,0.22,3,1300,0.215,0.23,-,,-,-,-,-2.1,-
0.28,0.11,0.14,0.125,ERM,Emmerson Res,0.14,1.5,1134,0.125,0.14,-,,-,-,-,-0.44,-
0.048,0.007,0.043,0.04,EGO,Empire Oil & Gas,0.04,-0.2,887357,0.04,0.041,-,,-,-,-,-0.09,-
0.16,0.037,0.086,0.086,ERL,Empire Res,0.086,0.6,50,0.086,0.088,-,,-,-,-,-0.3,-
0.19,0.09,0.11,0.11,EMU,EMU Nickel,0.11,-,1849,0.11,0.12,-,,-,-,-,-2.43,-
1.3,0.205,0.845,0.81,ENR,Encounter Res,0.845,3.5,135,0.81,0.845,-,,-,-,-,-5.9,-
0.8,0.33,0.39,0.38,EOC,Endocoal,0.38,-1,149,0.37,0.38,-,,-,-,-,-0.99,-
0.395,0.09,0.2,0.17,EMX,Energia Minerals,0.18,1.5,5365,0.175,0.195,-,,-,-,-,-4.52,-
0.295,0.115,0.205,0.18,EMA,Energy & Minerals,0.195,1,1709,0.195,0.2,-,,-,-,-,-1.48,-
0.055,0.009,-,-,EMAO,  opt jul11,0.009,-,-,0.011,0.017,-,,-,-,-,-,-
0.87,0.43,0.56,0.51,EME,Energy Metals,0.56,1,600,0.56,0.58,-,,-,-,-,-1.89,-
20.1,6.76,8.49,8.02,ERA,Energy Res,8.12,12,12089,8.11,8.12,8,,3.07,5,0.99,24.6,33
0.6,0.34,0.455,0.425,EWC,Energy World Corp,0.425,-0.5,28235,0.425,0.43,-,,-,-,-,1.8,23.6
0.235,0.097,0.14,0.14,ETE,Entek Energy,0.14,-,771,0.135,0.14,-,,-,-,-,-3.74,-
0.31,0.13,0.17,0.17,ENT,Enterprise Metals,0.17,-,109,0.17,0.18,-,,-,-,-,-0.37,-
0.1,0.03,0.045,0.045,ENTO,  opt jun12,0.045,-,350,0.025,0.05,-,,-,-,-,-,-
0.16,0.039,0.115,0.105,EVG,EnviroGold,0.115,0.5,10084,0.11,0.115,-,,-,-,-,-0.26,-
0.05,0.004,-,-,EVGO,  opt dec11,0.022,-,-,0.023,0.03,-,,-,-,-,-,-
0.27,0.2,-,-,EPC,Epic Res,0.23,-,-,0.21,0.235,-,,-,-,-,-,-
4.08,0.039,2.86,2.55,EQX,Equatorial Coal,2.86,34,1759,2.78,2.86,-,,-,-,-,-4.14,-
6.83,3.4,5.42,5.23,EQN,Equinox Minerals cdi,5.34,3,39765,5.33,5.35,-,,-,-,-,37.39,14.3
0.066,0.015,-,-,ERO,ERO Min,0.031,-,-,0.029,0.03,-,,-,-,-,-2.26,-
0.105,0.049,0.073,0.07,ERH,Eromanga Hydro,0.07,-0.4,2494,0.068,0.074,-,,-,-,-,-5.38,-
0.04,0.022,-,-,ERHOA,  opt jul12,0.023,-,-,0.013,0.023,-,,-,-,-,-,-
0.2,0.052,-,-,ERN,Erongo Energy,0.145,-,-,0.16,0.2,-,,-,-,-,-5.2,-
0.12,0.015,-,-,ERNO,  opt jun13,0.08,-,-,0.07,0.1,-,,-,-,-,-,-
0.1,0.035,-,-,ESM,Esperance Min,0.075,-,-,0.072,0.12,-,,-,-,-,-3.9,-
150,116.35,139.4,138.21,GOLD,ETFS Physical Gold,139.06,126,65,138.5,139.1,-,,-,-,-,63.17,220.1
0.455,0.097,0.37,0.365,EKA,Eureka Energy,0.37,1,1803,0.37,0.375,-,,-,-,-,-0.19,-
0.27,0.17,0.19,0.19,EUG,Eurogold,0.19,-,735,0.19,0.23,-,,-,-,-,-2.42,-
0.7,0.23,0.235,0.235,ENK,European Nickel cdi,0.235,-,6,0.23,0.255,-,,-,-,-,-,-
0.108,0.018,0.03,0.029,EDS,Every Day Mine Serv,0.03,0.7,4013,0.023,0.029,-,,-,0.07,-,-5.01,-
0.012,0.002,0.002,0.002,EXM,Excalibur Min,0.002,-,5333,0.002,0.003,-,,-,-,-,-0.58,-
0.005,0.001,-,-,EXMOA,  opt dec12,0.001,-,-,-,0.001,-,,-,-,-,-,-
0.078,0.028,0.043,0.041,EXG,Excelsior Gold,0.042,0.2,886,0.042,0.044,-,,-,-,-,-0.15,-
0.68,0.21,0.56,0.54,EXS,Exco Res,0.56,1,2041,0.555,0.57,-,,-,-,-,-1.65,-
0.325,0.18,0.19,0.19,EXE,Exoma Energy,0.19,-,2508,0.19,0.2,-,,-,-,-,-0.47,-
0.125,0.001,0.001,0.001,EXEO,  opt mar11,0.001,-,6197,0.001,0.001,-,,-,-,-,-,-
0.21,0.076,-,-,EXEOA,  opt sep12,0.11,-,-,0.09,0.125,-,,-,-,-,-,-
10.8,5.96,8.01,7.46,EXT,Extract Res,8.01,101,24124,8,8.02,-,,-,-,-,-22.97,-
0.16,0.045,0.051,0.049,FAS,Fairstar Res,0.049,-,9525,0.049,0.051,-,,-,-,-,-1.42,-
0.055,0.005,-,-,FASOA,  opt aug11,0.005,-,-,0.005,0.01,-,,-,-,-,-,-
0.35,0.105,0.165,0.15,FCN,Falcon Minerals,0.165,2,10199,0.16,0.165,-,,-,-,-,-0.86,-
0.175,0.045,0.115,0.11,FAR,FAR,0.11,-0.5,24272,0.11,0.115,-,,-,-,-,0.34,32.4
0.265,0.078,0.235,0.215,FEL,Fe Ltd,0.23,1.5,4004,0.22,0.23,-,,-,-,-,-2.47,-
1.195,0.68,0.79,0.77,FRS,FerrAus,0.78,-2.5,1294,0.775,0.8,-,,-,-,-,-2.81,-
0.87,0.7,-,-,FRSN,  fpo ex,0.825,-,-,0.75,0.82,-,,-,-,-,-,-
0.22,0.07,-,-,FWL,Ferrowest,0.15,-,-,0.15,0.16,-,,-,-,-,-1.41,-
0.06,0.009,-,-,FWLOA,  opt jun12,0.06,-,-,0.046,0.059,-,,-,-,-,-,-
0.27,0.125,0.27,0.265,FCR,Ferrum Crescent,0.27,0.5,3320,0.26,0.28,-,,-,-,-,-5.86,-
0.035,0.015,-,-,FCRO,  opt dec13,0.035,-,-,0.029,0.06,-,,-,-,-,-,-
0.51,0.25,0.44,0.43,FND,Finders Res,0.44,3,333,0.43,0.47,-,,-,-,-,-3.63,-
0.038,0.013,0.023,0.022,FSE,Firestone Energy,0.023,0.1,18057,0.022,0.023,-,,-,-,-,-0.18,-
0.17,0.05,0.071,0.069,FIS,Fission Energy,0.071,0.2,2500,0.065,0.071,-,,-,-,-,-0.25,-
0.255,0.19,0.2,0.2,FRY,Fitzroy Res,0.2,-,450,0.2,0.22,-,,-,-,-,-3.42,-
0.225,0.078,0.195,0.185,FMS,Flinders Mines,0.195,1,51800,0.19,0.195,-,,-,-,-,-0.44,-
0.105,0.035,0.093,0.088,FML,Focus Minerals,0.091,-0.2,408528,0.09,0.091,-,,-,-,-,0.43,21.2
1.6,0.3,1.1,1.05,FRG,Forge Res,1.05,-5,795,1.05,1.07,-,,-,-,-,-,-
1.4,0.105,0.9,0.85,FRGO,  opt jul14,0.85,-5,230,0.8,0.85,-,,-,-,-,-,-
0.165,0.069,0.095,0.087,FTE,Forte Energy,0.092,1,4678,0.092,0.099,-,,-,-,-,-0.3,-
7.34,3.28,6.04,5.9,FMG,Fortescue Metals Grp,5.95,1,84469,5.92,5.96,3,,10.35,0.29,0.5,31.06,19.2
3.98,0.21,-,-,FMJ,Fortis Min,2.69,-,-,3,2.47,-,,-,-,-,-,-
0.193,0.082,0.098,0.093,FXR,Fox Res,0.096,-0.4,2021,0.096,0.098,-,,-,-,-,-1.54,-
0.01,0.001,-,-,FXROA,  opt mar11,0.005,-,-,-,0.005,-,,-,-,-,-,-
0.42,0.046,0.275,0.25,FNT,Frontier Res,0.25,-2,7363,0.25,0.255,-,,-,-,-,-0.8,-
0.18,0.006,0.095,0.095,FYI,FYI Resources,0.095,-0.5,75,0.095,0.115,-,,-,-,-,-5.49,-
0.048,0.02,-,-,FYIO,  opt jun12,0.02,-,-,0.02,0.03,-,,-,-,-,-,-
1.815,0.905,1.32,1.26,GXY,Galaxy Res,1.3,5.5,11321,1.3,1.32,-,,-,-,-,-7.56,-
0.41,0.15,0.245,0.225,GLL,Galilee Energy,0.245,3,1001,0.23,0.245,-,,-,-,-,4.16,5.9
0.094,0.021,0.068,0.06,GGX,Gas2Grid,0.06,-0.5,4247,0.06,0.068,-,,-,-,-,-0.44,-
0.245,0.078,0.21,0.205,GCY,Gascoyne Res,0.21,-,1497,0.21,0.215,-,,-,-,-,-4.28,-
0.065,0.035,0.04,0.04,GML,Gateway Min,0.04,-,170,0.035,0.039,-,,-,-,-,-0.41,-
0.072,0.021,-,-,GBX,GB Energy,0.07,-,-,-,-,-,,-,-,-,0.09,77.8
0.004,0.001,-,-,GBXO,  opt sep11,0.003,-,-,-,-,-,,-,-,-,-,-
0.031,0.004,-,-,GBXOA,  opt jul11,0.031,-,-,-,-,-,,-,-,-,-,-
0.17,0.046,0.105,0.096,GBZ,GBM Resources,0.096,-0.4,7297,0.096,0.1,-,,-,-,-,-0.38,-
0.059,0.015,-,-,GBZOA,  opt jun13,0.034,-,-,0.031,0.035,-,,-,-,-,-,-
0.275,0.08,0.24,0.19,GMM,General Min Corp,0.23,3.5,14591,0.225,0.23,-,,-,-,-,-7.96,-
0.45,0.065,0.225,0.2,GMD,Genesis Minerals,0.2,-1,451,0.2,0.225,-,,-,-,-,-2.5,-
0.27,0.1,-,-,GES,Genesis Res,0.12,-,-,0.09,0.125,-,,-,-,-,-0.24,-
0.925,0.25,0.32,0.31,GPR,Geopacific Res,0.31,-,1113,0.295,0.31,-,,-,0.26,-,-1.28,-
0.29,0.088,0.09,0.09,GHT,Geothermal Res,0.09,0.2,15,0.09,0.094,-,,-,-,-,-0.88,-
1.485,0.86,1.065,1.015,GBG,Gindalbie Metals,1.03,-1.5,54177,1.025,1.035,-,,-,-,-,-0.07,-
0.069,0.027,0.041,0.039,GIP,Gippsland,0.041,0.1,11475,0.04,0.041,-,,-,-,-,-0.58,-
6.19,1.66,-,-,GIR,Giralia Res,5.43,-,-,-,-,-,,-,-,-,2,271.5
0.62,0.17,0.36,0.36,GLA,Gladiator Res,0.36,-,2500,0.35,0.36,-,,-,-,-,-2.41,-
0.03,0.012,-,-,GLN,Gleneagle Gold,0.02,-,-,0.021,0.022,-,,-,-,-,-0.19,-
0.16,0.047,0.072,0.07,GSC,Global Geoscience,0.071,-,2685,0.071,0.074,-,,-,-,-,-1.2,-
