ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.01,0.002,0.004,0.004,AVDOA,  opt aug12,0.004,-,4000,0.004,0.005,-,,-,-,-,-,-
0.265,0.082,0.105,0.1,ADX,ADX Energy,0.1,-,4824,0.1,0.105,-,,-,-,-,-0.76,-
0.09,0.001,-,-,ADXO,  opt mar11,0.001,-,-,-,0.001,-,,-,-,-,-,-
0.685,0.245,0.28,0.265,AED,AED Oil,0.28,1.5,1466,0.27,0.28,-,,-,0.89,-,-3.48,-
1.045,0.064,0.83,0.79,AFR,African Energy Res cdi,0.795,0.5,25977,0.795,0.8,-,,-,-,-,-0.63,-
0.45,0.086,0.32,0.31,AKI,African Iron,0.315,-,2875,0.315,0.32,-,,-,-,-,1.05,30
0.25,0.015,0.115,0.115,AKIOA,  opt dec13,0.115,0.5,169,0.115,0.16,-,,-,-,-,-,-
0.033,0.009,-,-,AAE,Agri Energy,0.014,-,-,0.013,0.014,-,,-,-,-,-15.73,-
1.56,0.38,1.15,1.09,AGR,Aguia Res,1.1,1,1701,1.1,1.12,-,,-,-,-,-5.47,-
9.5,7.61,8.47,8.01,AQG,Alacer Gold Corp cdi,8.26,7,2237,8.1,8.47,-,,-,-,-,-,-
0.56,0.15,-,-,ALG,Alamar Res,0.4,-,-,0.4,0.5,-,,-,-,-,-1.31,-
0.28,0.03,-,-,ALGO,  opt mar13,0.2,-,-,0.16,0.27,-,,-,-,-,-,-
0.51,0.08,0.34,0.32,AUQ,Alara Res,0.33,1,1082,0.31,0.34,-,,-,-,-,-2.24,-
0.3,0.039,0.14,0.125,ALB,Albidon cdi,0.125,-1.5,1925,0.13,0.14,-,,-,-,-,-86.56,-
0.815,0.26,0.365,0.34,ALY,Alchemy Resources,0.36,2,1497,0.35,0.36,-,,-,-,-,-2.22,-
0.086,0.019,0.071,0.068,AYN,Alcyone Res,0.069,0.1,147776,0.069,0.07,-,,-,-,-,-0.2,-
0.039,0.021,-,-,AYNOB,  opt sep11,0.033,-,-,-,0.03,-,,-,-,-,-,-
1.65,0.23,1.495,1.315,ALK,Alkane Res,1.495,14,18285,1.46,1.5,-,,-,-,-,4.8,31.1
0.55,0.275,0.315,0.3,AGS,Alliance Res,0.31,2.5,2372,0.31,0.315,-,,-,-,-,-1.9,-
0.76,0.29,0.665,0.625,ALD,Allied Gold,0.665,4.5,5524,0.635,0.665,-,,-,0.35,-,6.45,10.3
0.245,0.12,0.145,0.13,AGE,Alligator Energy,0.145,-,4695,0.14,0.145,-,,-,-,-,-,-
0.067,0.018,-,-,AYR,Alloy Res,0.032,-,-,0.035,0.036,-,,-,-,-,-0.31,-
0.452,0.084,0.255,0.235,AOH,Altona Min,0.24,-,32395,0.24,0.245,-,,-,-,-,0.57,42.1
0.33,0.115,0.16,0.15,AJM,Altura Min,0.16,0.5,3070,0.15,0.155,-,,-,-,-,1.3,12.3
0.065,0.022,-,-,AJMOA,  opt aug11,0.027,-,-,0.027,0.03,-,,-,-,-,-,-
2.67,1.45,2.24,2.19,AWC,Alumina,2.23,-,79339,2.22,2.23,6.17,f,0.22,1.13,2.77,1.38,161.6
0.51,0.115,0.45,0.45,AXZ,Amex Res,0.45,2.5,99,0.45,0.47,-,,-,-,-,-2.13,-
3.42,1.15,3.05,2.94,AMX,Ampella Min,3,-,17390,2.85,3,-,,-,-,-,-11.95,-
0.33,0.12,0.27,0.255,AHR,Anchor Res,0.255,-1,1900,0.265,0.27,-,,-,-,-,-1.46,-
1.365,1.14,-,-,ATM,Aneka Tambang cdi,1.25,-,-,-,-,1.42,,1.35,0.11,1.14,1.91,65.4
0.066,0.018,0.021,0.02,AAR,Anglo Aust Res,0.02,-,20206,0.02,0.021,-,,-,-,-,-0.15,-
10.5,8.1,-,-,AGG,Anglogold Ashanti cdi,9.07,-,-,8.55,8.9,4.29,,-,8.69,0.47,-99.23,-
0.885,0.29,0.41,0.4,AZZ,Antares Energy,0.405,1.5,7283,0.4,0.41,-,,-,-,-,-0.54,-
7.3,2.96,5.79,5.75,AVM,Anvil Min cdi,5.79,12,65,5.85,6,-,,-,-,-,-23.97,-
0.065,0.02,0.021,0.02,AAL,APAC Coal,0.02,-0.1,2314,0.017,0.02,-,,-,-,-,-0.19,-
0.026,0.011,0.013,0.013,AXM,Apex Minerals,0.013,0.1,131201,0.012,0.013,-,,-,-,-,-0.87,-
0.009,0.003,0.003,0.003,AXMO,  opt nov12,0.003,-,56819,0.002,0.003,-,,-,-,-,-,-
0.175,0.086,0.1,0.099,AQQ,Aphrodite Gold,0.1,0.5,6600,0.095,0.1,-,,-,-,-,-,-
0.042,0.021,-,-,AQQO,  opt dec13,0.029,-,-,0.022,0.03,-,,-,-,-,-,-
0.185,0.072,0.075,0.075,AON,Apollo Minerals,0.075,0.2,100,0.072,0.078,-,,-,-,-,-3.96,-
0.025,0.01,0.011,0.011,AONO,  opt nov11,0.011,-,900,0.011,-,-,,-,-,-,-,-
