ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4668.2 at 16:47 14/12/2009  Report at 19:05 Monday 14/12/2009. Processed 16:14 Tuesday 15/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.325,0.07,0.275,0.26,TDO,3D Oil Ltd,0.27,,1700,0.275,0.28,-,,-,-,-,-0.46,-
0.026,0.007,0.02,0.02,DDD,3D Res Ltd,0.02,,803,0.02,0.022,-,,-,-,-,-4.66,-
0.12,0.018,-,-,AAO,A'asia Gold,0.093,,-,0.084,0.092,-,,-,-,-,-5.03,-
0.70,0.29,0.45,0.445,ARH,A'asian Resour,0.445,-0.5,226,0.445,0.47,-,,-,-,-,-2.85,-
0.42,0.068,0.36,0.35,AAM,A1 Min Ltd,0.35,-1,3787,0.35,0.36,-,,-,-,-,-3.99,-
0.07,0.006,0.05,0.045,ABU,ABM Res NL,0.045,,87768,0.045,0.046,-,,-,-,-,-0.65,-
0.25,0.13,-,-,AII,Abra Min Ltd,0.18,,-,0.185,0.22,-,,-,-,-,-1.39,-
0.60,0.084,0.41,0.365,ACB,A-Cap Res,0.365,-3.5,3623,0.365,0.395,-,,-,-,-,-2.93,-
0.27,0.055,0.15,0.15,ACS,Accent Res NL,0.15,1,3062,0.15,0.155,-,,-,-,-,-1.37,-
0.008,0.003,0.006,0.005,AEX,Acclaim Explore,0.006,0.1,2076,0.005,0.006,-,,-,-,-,-1.52,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,0.02,-,,-,-,-,-,-
0.12,0.032,0.085,0.085,AIV,Activex Ltd,0.085,,232,0.085,0.098,-,,-,-,-,-1.66,-
0.06,0.001,-,-,AIVO,  opt jul10,0.026,,-,0.026,0.038,-,,-,-,-,-,-
0.53,0.16,0.435,0.42,ADU,Adamus Res,0.42,-1,6751,0.415,0.43,-,,-,-,-,-10.25,-
0.065,0.014,0.044,0.044,ADD,Adavale Resource,0.044,,891,0.043,0.044,-,,-,0.03,-,-0.3,-
0.16,0.037,0.13,0.125,ADE,Adelaide Energy,0.125,,764,0.125,0.13,-,,-,-,-,1.39,9.0
0.395,0.042,0.345,0.32,ADN,Adelaide Res,0.345,2,8763,0.335,0.345,-,,-,-,-,4.86,7.1
0.185,0.045,0.135,0.125,ADI,Adelphi Energy,0.125,,2300,0.13,0.135,-,,-,-,-,-5.87,-
1.65,0.096,1.275,1.205,ABY,Aditya Birla,1.255,1.5,3362,1.25,1.26,-,,-,1.42,-,-17.34,-
0.054,0.009,0.016,0.015,ADY,Admiralty Res,0.015,-0.1,43806,0.015,0.016,-,,-,-,-,-2.73,-
0.125,0.025,-,-,AVD,Advance Energy,0.075,,-,0.062,0.075,-,,-,0.04,-,-1.06,-
1.305,0.50,0.615,0.585,AED,AED Oil Ltd,0.59,-0.5,5508,0.59,0.61,-,,-,-,-,-66.9,-
0.24,0.01,0.14,0.13,AFR,African Energy Res cdi,0.13,-0.5,7273,0.13,0.14,-,,-,-,-,-1.5,-
0.23,0.14,-,-,ALG,Alamar Res Ltd,0.19,,-,0.19,0.20,-,,-,-,-,-1.12,-
0.25,0.03,0.22,0.22,AUQ,Alara Res Ltd,0.22,-1,200,0.205,0.23,-,,-,-,-,-11.01,-
1.27,0.037,0.68,0.61,ALY,Alchemy Resource,0.645,-2.5,4393,0.63,0.645,-,,-,-,-,-3.27,-
0.96,0.001,0.41,0.40,ALYO,  opt aug10,0.40,-3,400,0.40,0.44,-,,-,-,-,-,-
0.06,0.04,0.043,0.041,AYN,Alcyone Res Ltd,0.042,-0.1,13801,0.041,0.042,-,,-,-,-,-8.29,-
0.021,0.021,-,-,AYNOB,  opt sep11,-,,-,-,-,-,,-,-,-,-,-
0.49,0.125,0.38,0.375,ALK,Alkane Res Ltd,0.375,-0.5,150,0.37,0.375,-,,-,-,-,-0.25,-
0.98,0.333,0.63,0.60,AGS,Alliance Res,0.62,-0.5,7932,0.61,0.63,-,,-,-,-,-8.3,-
0.57,0.255,0.38,0.355,ALD,Allied Gold Ltd,0.365,2.5,4350,0.35,0.37,-,,-,0.29,-,-1.92,-
0.045,0.011,-,-,AYR,Alloy Res,0.029,,-,0.027,0.035,-,,-,-,-,-0.82,-
0.37,0.065,0.23,0.22,AJM,Altura Min Ltd,0.22,-0.5,6520,0.20,0.23,-,,-,-,-,-4.6,-
0.08,0.01,-,-,AJMO,  opt may10,-,,-,0.02,0.06,-,,-,-,-,-,-
2.00,0.683,1.665,1.63,AWC,Alumina Ltd,1.665,10,195789,1.66,1.665,12,,0.79,1.30,7.21,9.42,17.7
0.43,0.205,0.245,0.235,AMU,Amadeus Energy,0.24,-0.5,1855,0.235,0.24,-,,-,0.48,-,3.5,6.9
0.25,0.08,-,-,AXZ,Amex Res,0.17,,-,0.17,0.19,-,,-,-,-,-5.32,-
0.69,0.068,0.55,0.50,AMX,Ampella Min,0.54,-3,3378,0.525,0.545,-,,-,-,-,-6.37,-
0.50,0.03,0.36,0.36,AMXO,  opt jul10,0.36,-5,150,0.335,0.40,-,,-,-,-,-,-
0.193,0.032,0.16,0.16,AHR,Anchor Res,0.16,0.5,120,0.155,0.16,-,,-,-,-,-1.57,-
0.03,0.001,-,-,AHRO,  opt mar10,0.002,,-,0.005,0.025,-,,-,-,-,-,-
2.72,0.62,2.55,2.48,AND,Andean Res Ltd,2.54,,8840,2.51,2.55,-,,-,-,-,-1.8,-
2.50,0.97,-,-,ATM,Aneka Tambang cdi 1:5,1.06,,-,1.09,-,2.94,,0.12,-,2.77,0.36,294.4
0.044,0.02,0.03,0.028,AAR,Anglo Aust,0.03,0.3,1150,0.028,0.03,-,,-,-,-,-0.16,-
3.50,2.581,-,-,AGP,Anglo Pacific Grp,2.65,,-,2.71,3.55,15.87,,2.85,-,5.99,45.18,5.9
