ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5023.4 at 2011-02-14T16:41:41. Report at Monday, February 14, 2011. Processed Tuesday at 2011-02-15T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
1.365,1.14,1.25,1.25,ATM,Aneka Tambang cdi,1.25,-11.5,5,1.25,1.25,1.42,,3.91,-,1.14,5.55,22.5,,
.066,.018,.028,.028,AAR,Anglo Aust Res,.028,-.1,2730,.028,.03,-,,-,-,-,-.15,-,,
10.50,7.65,-,-,AGG,Anglogold Ashanti cdi,9.33,-,-,8.60,9.15,4.08,,-,8.69,.44,-99.23,-,,
.885,.29,.38,.37,AZZ,Antares Energy,.375,+1,9019,.37,.38,-,,-,-,-,-.54,-,,
7.30,2.96,6.37,6.30,AVM,Anvil Min cdi,6.37,-3,68,6.30,6.50,-,,-,-,-,-23.97,-,,
.065,.021,-,-,AAL,APAC Coal,.033,-,-,-,-,-,,-,-,-,-.29,-,,
.032,.014,.019,.018,AXM,Apex Minerals,.018,-.1,89126,.018,.019,-,,-,-,-,-4.97,-,,
.009,.003,.004,.004,AXMO,  opt nov12,.004,-,23085,.004,.005,-,,-,-,-,-,-,,
.175,.095,.10,.099,AQQ,Aphrodite Gold,.099,-.6,1191,.099,.10,-,,-,-,-,-,-,,
.042,.025,.035,.035,AQQO,  opt dec13,.035,-.1,2000,.032,.035,-,,-,-,-,-,-,,
.185,.08,.09,.09,AON,Apollo Minerals,.09,-,400,.09,.095,-,,-,-,-,-5.70,-,,
.025,.01,-,-,AONO,  opt nov11,.013,-,-,.013,-,-,,-,-,-,-,-,,
7.66,3.89,6.81,6.57,AQP,Aquarius Platinum,6.80,+41,15530,6.79,6.81,6.59,,3.99,-,.97,26.29,25.9,,
10.31,6.464,9.43,9.30,AQA,Aquila Res,9.36,-,1913,9.30,9.36,-,,-,-,-,-10.90,-,,
1.79,.38,1.34,1.29,ARU,Arafura Resources,1.34,+5.5,20834,1.325,1.345,-,,-,-,-,-3.90,-,,
.325,.125,.275,.27,AAG,Aragon Res,.275,-,12924,.275,.28,-,,-,-,-,-1.77,-,,
.065,.015,.045,.043,ARX,ARC Explore,.044,-,38918,.044,.045,-,,-,-,-,7.67,.6,,
.016,.001,-,-,ARXO,  opt jun12,.008,-,-,.003,.015,-,,-,-,-,-,-,,
.185,.085,.145,.145,AXE,Archer Explore,.145,+1,500,.14,.145,-,,-,-,-,-.74,-,,
.25,.11,.21,.195,ARD,Argent Minerals,.20,+.5,18356,.195,.20,-,,-,-,-,-3.40,-,,
.05,.011,.022,.017,ARDO,  opt jun11,.019,+.8,25871,.011,.02,-,,-,-,-,-,-,,
.16,.034,.12,.12,AXT,Argo Explore,.12,-,623,.11,.12,-,,-,-,-,.92,13.0,,
.195,.047,.115,.11,ARE,Argonaut Res,.115,-,7270,.11,.115,-,,-,-,-,.18,63.9,,
.23,.018,.21,.155,AGY,Argosy Minerals cdi,.175,+3,20918,.175,.18,-,,-,-,-,-.84,-,,
.10,.034,.067,.059,ARV,Artemis Res,.064,-,74026,.061,.064,-,,-,-,-,-2.79,-,,
.05,.009,.02,.018,ARVOB,  opt jun11,.02,+.1,28205,.019,.02,-,,-,-,-,-,-,,
.25,.12,-,-,AAJ,Aruma Res,.14,-,-,-,-,-,,-,-,-,-,-,,
.041,.011,.035,.034,ATN,Ashburton Min,.034,-,4623,.033,.034,-,,-,-,-,-.06,-,,
.825,.068,.665,.615,AKM,Aspire Min,.665,+3.5,14463,.66,.665,-,,-,-,-,-.40,-,,
9.12,5.49,8.85,8.66,AZT,Aston Res,8.70,+14,4754,8.68,8.88,-,,-,-,-,-,-,,
.015,.003,.005,.004,ARO,Astro Res,.004,-.1,17000,.004,.005,-,,-,-,-,-.11,-,,
.007,.001,-,-,AROOB,  opt nov12,.002,-,-,.001,.002,-,,-,-,-,-,-,,
.225,.05,.14,.125,AHN,Athena Res,.135,-,6080,.135,.14,-,,-,-,-,-.70,-,,
.09,.017,.065,.065,AHNOA,  opt apr12,.065,-,500,.065,.08,-,,-,-,-,-,-,,
.078,.034,.05,.049,ATV,Atlantic Gold,.049,-.2,16999,.047,.049,-,,-,-,-,-.22,-,,
.03,.012,-,-,ATVCD,  ctg,.03,-,-,-,-,-,,-,-,-,-,-,,
1.995,.026,1.95,1.91,ATI,Atlantic,1.95,+4.5,1293,1.94,1.95,-,,-,-,-,-.71,-,,
1.735,.016,1.735,1.735,ATIO,  opt dec11,1.735,+4.5,10,1.25,1.74,-,,-,-,-,-,-,,
3.97,1.68,3.85,3.75,AGO,Atlas Iron,3.84,+8,91380,3.83,3.85,-,,-,-,-,-9.60,-,,
.59,.092,.555,.54,ATQ,Atomic Res,.555,+.5,3761,.545,.555,-,,-,-,-,-5.60,-,,
.31,.015,.265,.265,ATQO,  opt aug11,.265,+.5,278,.27,.29,-,,-,-,-,-,-,,
.24,.12,-,-,ACZ,Atticus Resources,.18,-,-,-,-,-,,-,-,-,-.05,-,,
.06,.03,-,-,ACZO,  opt sep12,.045,-,-,-,-,-,,-,-,-,-,-,,
1.23,.25,.71,.71,AYA,Attila Res,.71,+2,98,.65,.72,-,,-,-,-,-,-,,
.35,.09,-,-,AUK,Augur Res,.21,-,-,.205,.215,-,,-,-,-,-1.40,-,,
.47,.15,.385,.38,AUJ,Augustus Min,.38,-2,2260,.375,.38,-,,-,-,-,-2.15,-,,
.52,.118,.49,.465,AEE,Aura Energy,.485,+2,12080,.485,.49,-,,-,-,-,-2.15,-,,
.092,.015,.084,.08,AGU,Aurium Res,.08,-,10149,.08,.081,-,,-,-,-,-1.86,-,,
.05,.006,.042,.04,AGUOA,  opt sep12,.042,+.2,13011,.04,.042,-,,-,-,-,-,-,,
1.24,.285,.31,.29,ARM,Aurora Minerals,.29,-2,3437,.29,.295,-,,-,-,-,-8.33,-,,
3.32,.395,3.00,2.90,AUT,Aurora Oil & Gas,2.95,-4,26691,2.93,2.96,-,,-,-,-,-1.19,-,,
.105,.03,.069,.066,AIW,Aust-American Min,.067,-.1,10850,.066,.068,-,,-,-,-,-5.07,-,,
.034,.02,.029,.029,AIWO,  opt dec12,.029,-.1,512,.028,.029,-,,-,-,-,-,-,,
1.71,.12,1.71,1.565,AUC,Ausgold,1.68,+12,2676,1.66,1.70,-,,-,-,-,-1.39,-,,
1.46,.035,1.46,1.30,AUCO,  opt mar13,1.46,+17,970,1.45,1.50,-,,-,-,-,-,-,,
.295,.14,-,-,AOA,Ausmon Resources,.205,-,-,.195,.205,-,,-,-,-,-2.36,-,,
.23,.145,.17,.17,ANW,AusNiCo,.17,-,195,.17,.175,-,,-,-,-,-,-,,
.22,.105,.15,.14,AQD,AusQuest,.14,-.5,9650,.14,.145,-,,-,-,-,-1.39,-,,
.79,.26,.46,.45,AQR,Aussie Q Res,.45,+1,2688,.45,.46,-,,-,-,-,-.79,-,,
.89,.30,.89,.80,ABZ,Aust Bauxite,.835,+7,5560,.835,.86,-,,-,-,-,-.49,-,,
.31,.015,.23,.23,AGV,Aust Gold Invest,.23,-,3317,.23,.235,-,,-,-,-,-1.97,-,,
.230,.10,.205,.20,AKA,Aust Minerals &  Min,.205,-,2300,.205,.21,-,,-,-,-,-,-,,
.04,.01,.04,.04,AKAO,  opt oct11,.04,+1,6150,.03,.04,-,,-,-,-,-,-,,
.04,.018,.029,.028,AUZ,Aust Mines,.028,-,41755,.027,.028,-,,-,-,-,-,-,,
.017,.001,-,-,AUZO,  opt jun13,.01,-,-,.01,.011,-,,-,-,-,-,-,,
.16,.07,.155,.135,AOC,Aust Oil Co,.15,+2,3763,.15,.155,-,,-,-,-,-1.01,-,,
.03,.007,-,-,AOCOA,  opt dec11,.02,-,-,.025,.03,-,,-,-,-,-,-,,
.005,.002,-,-,AOM,Aust Oriental Min,.003,-,-,.003,.004,-,,-,-,-,-.16,-,,
.029,.008,.025,.024,ARW,Aust Renewable,.024,-.1,30099,.024,.025,-,,-,.01,-,-.45,-,,
.02,.004,.016,.016,ARWO,  opt dec11,.016,-,1651,.013,.016,-,,-,-,-,-,-,,
.201,.097,.10,.098,AOK,AusTex Oil,.098,-.2,2100,.098,.10,-,,-,-,-,-1.72,-,,
.04,.015,-,-,AOKO,  opt dec11,.02,-,-,.02,.025,-,,-,-,-,-,-,,
.071,.025,.033,.031,AKK,Austin Explore,.033,+.1,4807,.032,.033,-,,-,-,-,-2.06,-,,
.023,.002,-,-,AKKO,  opt nov11,.003,-,-,-,-,-,,-,-,-,-,-,,
.074,.031,.062,.058,APG,Austpac Res,.058,-.2,13213,.058,.06,-,,-,-,-,.15,38.7,,
.36,.095,-,-,AGD,Austral Gold,.23,-,-,-,-,-,,-,-,-,-5.40,-,,
.75,.09,.75,.685,AZX,Auzex Res,.75,+5,16065,.72,.75,-,,-,-,-,.45,166.7,,
.53,.03,.53,.49,AZXOA,  opt feb12,.53,+5.5,303,.505,.53,-,,-,-,-,-,-,,
.29,.145,.29,.275,AVI,Avalon Minerals,.285,+1.5,5600,.285,.295,-,,-,-,-,-1.10,-,,
.235,.014,.19,.175,AVB,Avanco Res,.175,-.5,165971,.175,.18,-,,-,-,-,-.24,-,,
.195,.006,.17,.16,AVBOB,  opt apr12,.16,-.5,11881,.16,.165,-,,-,-,-,-,-,,
.275,.21,-,-,AVY,Avenue Res,.275,-,-,.27,.30,-,,-,-,-,-,-,,
.285,.058,.27,.255,AVA,Aviva Corp,.26,-1,4580,.26,.265,-,,-,-,-,-18.97,-,,
3.79,1.75,-,-,AVO,Avoca Res,3.30,-,-,-,-,-,,-,.93,-,20.82,15.9,,
.32,.07,.21,.21,AVZ,Avonlea Minerals,.21,-,343,.205,.21,-,,-,-,-,-1.90,-,,
2.89,1.465,1.865,1.75,AWE,AWE,1.86,-1.5,28476,1.85,1.87,-,,-,1.60,-,-5.55,-,,
.035,.007,.019,.019,AXC,AXG Min,.019,-.1,4100,.018,.019,-,,-,-,-,-1.40,-,,
