ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:06 Thursday 18/3/2010. Processed 19:26 Thursday 18/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.50,2.581,-,-,AGP,Anglo Pacific Grp,2.91,,-,2.91,-,15.87,,2.17,-,5.45,34.4,8.5
11.10,7.65,-,-,AGG,Anglogold Ashanti  5:1,8.30,,-,8.03,8.39,3.87,,-,-,0.47,-71.44,-
0.77,0.04,0.74,0.72,AZZ,Antares Energy,0.725,-0.5,6281,0.725,0.73,-,,-,-,-,0.26,278.8
4.43,1.22,4.35,4.32,AVM,Anvil Min cdi,4.35,8,508,4.22,4.38,-,,-,-,-,-370.7,-
0.115,0.036,-,-,AAL,Apac Coal,0.038,,-,0.032,0.045,-,,-,-,-,1.53,2.5
0.276,0.022,0.027,0.024,AXM,Apex Min NL,0.027,0.3,362579,0.026,0.027,-,,-,-,-,-26.39,-
0.025,0.007,0.008,0.007,AXMO,  opt nov12,0.008,0.1,24681,0.007,0.008,-,,-,-,-,-,-
0.76,0.35,0.435,0.435,AZO,Apollo Gas Ltd,0.435,,67,0.44,0.47,-,,-,-,-,-,-
0.40,0.135,0.18,0.17,AON,Apollo Min Ltd,0.18,1,1000,0.165,0.18,-,,-,-,-,-6.59,-
0.012,0.012,-,-,AONO,  opt nov11,0.012,,-,0.016,0.03,-,,-,-,-,-,-
7.95,3.088,6.94,6.70,AQP,Aquarius Platinum,6.91,21,20634,6.85,6.94,2.26,,9.20,-,0.33,20.79,33.2
11.38,2.291,10.92,10.80,AQA,Aquila Res,10.92,22,11431,10.85,10.95,-,,-,-,-,-14.8,-
1.285,0.29,0.615,0.60,ARU,Arafura Resource,0.61,1,6155,0.60,0.61,-,,-,-,-,-5.1,-
-,-,-,-,ARUN,  def,-,,-,-,-,-,,-,-,-,-,-
0.27,0.072,-,-,AAG,Aragon Res,0.135,,-,0.135,0.14,-,,-,-,-,-3.87,-
0.05,0.002,-,-,AAGO,  opt sep10,0.01,,-,0.005,-,-,,-,-,-,-,-
0.065,0.009,0.045,0.041,ARX,ARC Explore Ltd,0.042,-0.3,4806,0.042,0.045,-,,-,-,-,16.13,0.3
0.016,0.001,0.004,0.004,ARXO,  opt jun12,0.004,,488,0.004,0.011,-,,-,-,-,-,-
0.026,0.009,-,-,ARXOA,  opt jan11,0.017,,-,0.015,0.018,-,,-,-,-,-,-
0.21,0.052,0.135,0.135,AXE,Archer Explore,0.135,-1.5,750,0.12,0.135,-,,-,-,-,-1.93,-
0.20,0.046,0.17,0.17,ARD,Argent Min,0.17,0.5,850,0.17,0.175,-,,-,-,-,-3.42,-
0.06,0.01,-,-,ARDO,  opt jun11,0.032,,-,0.02,0.035,-,,-,-,-,-,-
0.115,0.03,0.079,0.07,AXT,Argo Explore,0.073,-0.7,13860,0.07,0.079,-,,-,-,-,-0.42,-
0.105,0.048,0.079,0.079,ARE,Argonaut Res,0.079,-0.1,3213,0.079,0.08,-,,-,-,-,0.61,13.0
0.13,0.031,-,-,AGY,Argosy Min cdi,0.045,,-,0.045,0.05,-,,-,-,-,-1.41,-
