ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4472.4 at 16:37 4/6/2010  Report at 19:05 Friday 4/6/2010. Processed 19:29 Friday 4/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.088,-,-,TDO,3D Oil Ltd,0.20,,-,0.185,0.20,-,,-,-,-,-0.27,-
0.026,0.01,-,-,DDD,3D Res Ltd,0.02,,-,0.02,0.025,-,,-,-,-,-1.9,-
0.109,0.025,0.065,0.065,AAO,A'asia Gold,0.065,,220,0.06,0.065,-,,-,-,-,-1.28,-
0.02,0.012,-,-,AAOO,  opt apr13,0.016,,-,0.015,-,-,,-,-,-,-,-
0.70,0.215,0.245,0.24,ARH,A'asian Resour,0.24,-1,165,0.23,0.24,-,,-,-,-,-1.4,-
0.42,0.13,0.23,0.22,AAM,A1 Min Ltd,0.225,-0.5,2451,0.22,0.23,-,,-,-,-,-3.56,-
0.07,0.016,0.022,0.02,ABU,ABM Res NL,0.02,-0.1,42061,0.02,0.021,-,,-,-,-,-4.09,-
0.25,0.11,-,-,AII,Abra Min Ltd,0.12,,-,0.125,0.135,-,,-,-,-,-1.94,-
0.60,0.30,0.315,0.315,ACB,A-Cap Res,0.315,0.5,127,0.315,0.32,-,,-,0.14,-,-0.91,-
0.27,0.13,-,-,ACS,Accent Res NL,0.15,,-,0.15,0.17,-,,-,-,-,-1.53,-
0.029,0.004,0.013,0.013,AEX,Acclaim Explore,0.013,-0.2,2000,0.013,0.015,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,0.025,-,,-,-,-,-,-
0.14,0.05,-,-,AIV,Activex Ltd,0.08,,-,0.08,0.089,-,,-,-,-,-1.49,-
0.06,0.001,-,-,AIVO,  opt jul10,0.01,,-,0.005,0.02,-,,-,-,-,-,-
0.58,0.303,0.47,0.44,ADU,Adamus Res,0.45,-3.5,7832,0.45,0.46,-,,-,-,-,-12.87,-
0.065,0.019,0.035,0.034,ADD,Adavale Resource,0.034,-0.1,2543,0.034,0.042,-,,-,0.02,-,-0.96,-
0.215,0.095,0.11,0.095,ADE,Adelaide Energy,0.105,0.5,6630,0.105,0.11,-,,-,-,-,0.97,10.8
