AFR MINOIL MARKETS excluding fixed interest,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4085.6 at 2012-06-28T16:40:36. Report at Thursday, June 28, 2012. Processed Friday at 2012-06-29T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
.20,.05,.077,.068,AEK,Anatolia Energy,.077,-.1,673,.068,.075,-,,-,-,-,-2.18,-,,
.30,.15,-,-,AHR,Anchor Res,.20,-,-,-,-,-,,-,-,-,-4.79,-,,
1.25,1.209,-,-,ATM,Aneka Tambang cdi,1.25,-,-,-,-,4.05,,.53,-,3.24,2.16,57.9,,
.017,.006,-,-,AAR,Anglo Aust Res,.006,-,-,-,-,-,,-,-,-,-.11,-,,
9.48,6.13,6.65,6.64,AGG,Anglogold Ashanti cdi,6.64,-1,10,5.00,7.00,11.59,,170.76,14.62,1.75,1979.13,.3,,
.56,.35,.385,.37,AZZ,Antares Energy,.375,-,13921,.375,.38,-,,-,-,-,-1.40,-,,
.31,.05,-,-,AZY,Antipa Min,.053,-,-,.045,.05,-,,-,-,-,-.84,-,,
.13,.005,.005,.005,AZYO,  opt mar13,.005,-,448,.005,.015,-,,-,-,-,-,-,,
.018,.005,-,-,AAL,APAC Coal,.006,-,-,-,-,-,,-,-,-,-.07,-,,
1.30,.10,.11,.10,AXM,Apex Minerals,.105,-.5,45365,.105,.11,-,,-,-,-,7.00,1.5,,
.05,.001,-,-,AXMO,  opt nov12,.05,-,-,-,-,-,,-,-,-,-,-,,
.128,.033,.04,.033,AQQ,Aphrodite Gold,.035,-.5,7664,.035,.039,-,,-,-,-,-.49,-,,
.035,.002,-,-,AQQO,  opt dec13,.005,-,-,-,-,-,,-,-,-,-,-,,
.20,.002,-,-,AOP,Apollo Cons,.11,-,-,-,-,-,,-,-,-,-.08,-,,
.10,.035,-,-,AON,Apollo Minerals,.035,-,-,.038,.04,-,,-,-,-,-1.11,-,,
4.88,.705,.76,.705,AQP,Aquarius Platinum,.72,-3,42949,.72,.725,3.76,,-,-,5.22,-46.14,-,,
6.846,2.72,2.91,2.78,AQA,Aquila Res,2.83,+5,2642,2.81,2.83,-,,-,-,-,-20.60,-,,
.835,.19,.235,.21,ARU,Arafura Resources,.23,+1.5,17742,.23,.235,-,,-,-,-,-1.91,-,,
.028,.004,.005,.005,ARX,ARC Explore,.005,-,16262,.005,.006,-,,-,-,-,-.41,-,,
.45,.11,.21,.195,AXE,Archer Explore,.20,+2,6851,.195,.20,-,,-,-,-,-1.60,-,,
.29,.055,.061,.055,ARD,Argent Minerals,.059,+.4,3350,.057,.06,-,,-,-,-,-5.10,-,,
.195,.075,.086,.085,AVK,Argentina Min,.085,-.1,155,.085,.086,-,,-,-,-,-1.34,-,,
.07,.012,-,-,AVKO,  opt mar15,.02,-,-,.008,.02,-,,-,-,-,-,-,,
.11,.019,.021,.021,AXT,Argo Explore,.021,+.1,750,.02,.022,-,,-,-,-,-2.33,-,,
.082,.039,.048,.044,ARE,Argonaut Res,.048,-,8126,.046,.05,-,,-,-,-,-1.62,-,,
.25,.041,.05,.041,AGY,Argosy Minerals,.041,-.9,850,.043,.05,-,,-,-,-,-1.06,-,,
.425,.09,-,-,AHK,Ark Mines,.095,-,-,-,-,-,,-,-,-,-6.16,-,,
.50,.225,.265,.225,AJQ,Armour Energy,.265,+3.5,12285,.265,.275,-,,-,-,-,-,-,,
.135,.06,.061,.061,AJQO,  opt aug14,.061,+.1,320,.065,.08,-,,-,-,-,-,-,,
.041,.012,.013,.012,ARV,Artemis Res,.012,-,8008,.011,.012,-,,-,-,-,-.26,-,,
.10,.06,-,-,AAJ,Aruma Res,.07,-,-,.035,.069,-,,-,-,-,-.93,-,,
.047,.003,.005,.005,ATN,Ashburton Min,.005,-,27949,.005,.006,-,,-,-,-,-.82,-,,
.002,.002,-,-,ATNO,  opt apr14,.002,-,-,-,-,-,,-,-,-,-,-,,
.675,.125,.145,.14,AKM,Aspire Min,.145,+.5,7196,.135,.145,-,,-,-,-,-1.03,-,,
.006,.001,.001,.001,ARO,Astro Res,.001,-,227812,.001,.002,-,,-,-,-,-.09,-,,
.001,.001,-,-,AROOA,  opt jun14,.001,-,-,-,-,-,,-,-,-,-,-,,
.002,.001,-,-,AROOB,  opt nov12,.001,-,-,-,-,-,,-,-,-,-,-,,
.123,.035,-,-,AHN,Athena Res,.04,-,-,-,-,-,,-,-,-,-1.44,-,,
1.98,.36,.405,.395,ATI,Atlantic,.405,-,264,.39,.40,-,,-,-,-,21.10,1.9,,
.051,.027,.031,.031,ATV,Atlantic Gold,.031,-.3,992,.031,.034,-,,-,-,-,-.25,-,,
.03,.001,-,-,ATVCD,  ctg,.003,-,-,-,-,-,,-,-,-,-,-,,
4.34,1.91,1.99,1.925,AGO,Atlas Iron,1.93,-,53837,1.925,1.93,3.00,,7.20,.02,1.55,21.60,8.9,,
.72,.13,.57,.50,AYA,Attila Res,.50,-7,1776,.50,.54,-,,-,-,-,-1.75,-,,
.42,.035,-,-,AYAO,  opt jun14,.36,-,-,.31,.40,-,,-,-,-,-,-,,
.26,.10,-,-,ACP,Audalia Res,.21,-,-,-,-,-,,-,-,-,-.36,-,,
.03,.03,-,-,ACPO,  opt apr14,.03,-,-,-,-,-,,-,-,-,-,-,,
.48,.033,.035,.033,AUK,Augur Res,.033,-.4,4811,.033,.038,-,,-,-,-,-1.34,-,,
.357,.12,.13,.13,AEE,Aura Energy,.13,-1,1067,.13,.14,-,,-,-,-,-1.47,-,,
.07,.035,-,-,AEEO,  opt dec14,.04,-,-,-,-,-,,-,-,-,-,-,,
.042,.01,.012,.01,AGU,Aurium Res,.01,-.1,8600,.01,.011,-,,-,-,-,-.13,-,,
.029,.001,-,-,AGUOA,  opt sep12,.001,-,-,-,-,-,,-,-,-,-,-,,
.285,.078,.086,.082,ARM,Aurora Minerals,.085,+.5,1927,.085,.087,-,,-,-,-,-4.98,-,,
4.26,2.11,3.13,2.93,AUT,Aurora Oil & Gas,3.03,+10,18426,3.03,3.04,-,,-,-,-,7.38,41.1,,
.14,.021,.044,.043,AIW,Aust-American Min,.043,-,3910,.043,.044,-,,-,-,-,-5.40,-,,
.012,.001,-,-,AIWO,  opt dec12,.001,-,-,-,-,-,,-,-,-,-,-,,
1.81,.40,.42,.40,AUC,Ausgold,.40,-2,395,.40,.46,-,,-,-,-,-.34,-,,
1.60,.18,.235,.20,AUCO,  opt mar13,.20,-2.5,600,.19,.275,-,,-,-,-,-,-,,
.20,.12,-,-,AOA,Ausmon Resources,.155,-,-,-,-,-,,-,-,-,-2.00,-,,
.075,.02,-,-,ANW,AusNiCo,.025,-,-,.023,.03,-,,-,-,-,-1.20,-,,
.066,.02,.024,.02,AQC,Aust Pacific Coal,.023,+.1,16859,.022,.031,-,,-,.01,-,-.14,-,,
.12,.029,.031,.029,AQD,AusQuest,.031,-.2,7000,.027,.036,-,,-,-,-,-5.73,-,,
.31,.06,-,-,AQR,Aussie Q Res,.066,-,-,-,-,-,,-,-,-,-3.33,-,,
.72,.34,-,-,ABZ,Aust Bauxite,.38,-,-,.385,.39,-,,-,-,-,-.81,-,,
.175,.09,.105,.105,AKA,Aust Minerals &  Min,.105,+1,120,.091,.105,-,,-,-,-,-1.07,-,,
.018,.003,-,-,AKAOA,  opt nov12,.004,-,-,.001,.004,-,,-,-,-,-,-,,
.021,.012,.013,.013,AUZ,Aust Mines,.013,-,750,.013,.015,-,,-,-,-,-.71,-,,
.007,.003,-,-,AUZO,  opt jun13,.003,-,-,.002,.003,-,,-,-,-,-,-,,
.19,.041,.045,.041,AOC,Aust Oil Co,.045,-.3,2428,.041,.05,-,,-,-,-,-2.05,-,,
.003,.001,.001,.001,AOM,Aust Oriental Min,.001,-,60047,.001,.002,-,,-,-,-,-.03,-,,
.022,.01,.012,.01,ARW,Aust Renewable,.01,-.2,9078,.01,.011,-,,-,.01,-,-.37,-,,
.165,.065,.095,.094,AOK,AusTex Oil,.095,-,1690,.095,.098,-,,-,-,-,-1.62,-,,
.039,.017,.019,.017,AKK,Austin Explore,.018,-.1,65141,.017,.018,-,,-,-,-,-,-,,
.01,.002,.002,.002,AKKOA,  opt jul13,.002,-.1,47500,.002,.003,-,,-,-,-,-,-,,
.006,.001,-,-,AKKOB,  opt jul12,.001,-,-,-,-,-,,-,-,-,-,-,,
.054,.028,.029,.028,APG,Austpac Res,.029,+.1,10250,.029,.03,-,,-,-,-,-.02,-,,
.34,.13,-,-,AGD,Austral Gold,.14,-,-,-,-,-,,-,-,-,4.11,3.4,,
.170,.046,.10,.097,AVI,Avalon Minerals,.10,+.5,1742,.096,.10,-,,-,-,-,-1.07,-,,
.125,.048,.056,.052,AVB,Avanco Res,.053,+.2,41045,.052,.053,-,,-,-,-,-.02,-,,
.35,.14,-,-,AVY,Avenue Res,.20,-,-,-,-,-,,-,-,-,-1.48,-,,
.28,.075,.08,.08,AVA,Aviva Corp,.08,-,2663,.08,.09,-,,-,-,-,-2.52,-,,
.12,.04,.041,.041,AYE,Avocet Res,.041,+.1,130,.041,.07,-,,-,-,-,-.59,-,,
.145,.024,.025,.025,AVZ,Avonlea Minerals,.025,+.1,3250,.026,.028,-,,-,-,-,-1.90,-,,
1.995,.872,1.325,1.295,AWE,AWE,1.32,+5,32733,1.315,1.32,-,f,-,1.65,-,-7.27,-,,
.018,.004,-,-,AXC,AXG Mining,.004,-,-,-,-,-,,-,-,-,-2.15,-,,
.066,.01,.012,.012,AVQ,Axiom Min cdi,.012,-.1,21375,.011,.012,-,,-,-,-,-.65,-,,
.25,.115,-,-,AZK,Aziana,.16,-,-,-,-,-,,-,-,-,-,-,,
.05,.021,-,-,AZKO,  opt sep13,.031,-,-,-,-,-,,-,-,-,-,-,,
.99,.26,.37,.35,AZH,Azimuth Res,.35,+1,15692,.35,.36,-,,-,-,-,-.90,-,,
.61,.145,.205,.185,AZM,Azumah Res,.20,+1.5,14956,.20,.205,-,,-,-,-,-6.74,-,,
.063,.016,.016,.016,AZS,Azure Minerals,.016,-,3267,.016,.018,-,,-,-,-,-1.31,-,,
.18,.12,.14,.12,BMBDA,Balamara Res def,.14,-2,1955,.125,.14,-,,-,-,-,-.62,-,,
2.203,.30,.32,.30,BND,Bandanna Energy,.31,-.5,67764,.31,.315,-,,-,-,-,.16,193.8,,
.515,.115,.12,.12,BMN,Bannerman Res,.12,-,4675,.115,.12,-,,-,-,-,-5.28,-,,
.024,.008,.013,.012,BKP,Baraka Energy,.013,-,34611,.012,.013,-,,-,-,-,-.05,-,,
.04,.013,.015,.013,BAR,Barra Res,.013,-.2,3679,.013,.015,-,,-,-,-,-.23,-,,
.20,.05,.055,.05,BAC,Baru Resources,.05,-.5,3000,.05,.06,-,,-,-,-,-1.23,-,,
.05,.012,-,-,BACO,  opt dec16,.012,-,-,.015,.04,-,,-,-,-,-,-,,
.639,.33,.39,.38,BSE,Base Res,.385,-,4074,.385,.395,-,,-,-,-,.32,120.3,,
.216,.006,.011,.01,BSM,Bass Metals,.01,-.1,4698,.01,.011,-,,-,-,-,-26.78,-,,
.04,.001,-,-,BSMO,  opt sep14,.001,-,-,-,-,-,,-,-,-,-,-,,
.036,.015,.019,.018,BAS,Bass Strait Oil Co,.019,-,25638,.018,.019,-,,-,-,-,-1.60,-,,
.086,.038,.043,.04,BSR,Bassari Res,.041,+.3,11088,.041,.045,-,,-,-,-,-4.35,-,,
.032,.003,-,-,BSROA,  opt nov12,.003,-,-,-,-,-,,-,-,-,-,-,,
1.17,.34,.38,.355,BTU,Bathurst Res,.365,-.5,60648,.355,.365,-,,-,-,-,-.69,-,,
.205,.097,.105,.105,BAU,Bauxite Resources,.105,-.5,500,.105,.11,-,,-,-,-,-.20,-,,
.24,.055,-,-,BBX,BBX Minerals,.14,-,-,.03,.13,-,,-,-,-,-1.21,-,,
.03,.011,-,-,BBXO,  opt jun14,.011,-,-,-,-,-,,-,-,-,-,-,,
3.11,2.00,2.62,2.40,BCI,BC Iron,2.60,+2,457,2.50,2.60,-,,-,-,-,5.36,48.5,,
.016,.006,.007,.007,BCD,BCD Res,.007,-,2000,.007,.008,-,,-,.01,-,-2.00,-,,
1.763,.815,.95,.885,BPT,Beach Energy,.90,-2,88780,.90,.905,1.75,f,2.43,1.19,1.94,4.25,21.2,,
.32,.20,-,-,BHU,Beacon Hill Res cdi,.22,-,-,-,-,-,,-,-,-,-,-,,
.015,.004,.006,.006,BCN,Beacon Minerals,.006,-,1000,.006,.007,-,,-,-,-,-.12,-,,
.90,.52,.60,.585,BDR,Beadell Resources,.59,-.5,27290,.59,.595,-,,-,-,-,-5.40,-,,
.52,.30,.40,.395,BKY,Berkeley Res,.395,-.5,815,.395,.40,-,,-,-,-,-7.28,-,,
.11,.065,-,-,BKYO,  opt may13,.09,-,-,-,-,-,,-,-,-,-,-,,
45.00,30.50,30.96,30.69,BHP,BHP Billiton,30.73,+13,122362,30.73,30.74,103.08,f,3.85,11.69,3.35,397.33,7.7,,
.11,.01,-,-,BGS,Birimian Gold,.01,-,-,.011,.014,-,,-,-,-,-1.32,-,,
.15,.06,-,-,BFE,Black Fire Minerals,.07,-,-,.06,.068,-,,-,-,-,-1.27,-,,
.33,.176,.265,.26,BMZ,Black Mountain,.26,+1,350,.25,.26,-,,-,-,-,-1.28,-,,
.105,.08,.085,.085,BMZO,  opt may15,.085,+.5,2000,.08,.10,-,,-,-,-,-,-,,
.04,.017,.02,.019,BLR,Black Range Min,.019,-,15406,.019,.021,-,,-,-,-,-.18,-,,
.01,.003,-,-,BRD,Black Ridge Min,.004,-,-,-,-,-,,-,-,-,-.18,-,,
.004,.002,-,-,BRDOA,  opt dec12,.004,-,-,-,-,-,,-,-,-,-,-,,
.26,.12,.20,.195,BGG,Blackgold Int'l,.20,-.5,10,.175,.20,-,,-,.06,-,2.68,7.5,,
.355,.15,-,-,BLK,Blackham Res,.19,-,-,.155,.175,-,,-,-,-,-2.01,-,,
1.96,.38,-,-,BTR,Blackthorn Res,1.40,-,-,1.50,1.295,-,,-,-,-,-2.85,-,,
.31,.17,.21,.21,BWD,Blackwood Corp,.21,-,3953,.205,.22,-,,-,-,-,-1.10,-,,
.004,.001,.001,.001,BLZ,Blaze Int'l,.001,-,3500,.001,.002,-,,-,-,-,-.51,-,,
.25,.09,-,-,BGH,Bligh Res,.11,-,-,-,-,-,,-,-,-,-.73,-,,
.018,.002,.003,.003,BDI,Blina Minerals,.003,-,42347,.003,.004,-,,-,-,-,-.49,-,,
.115,.056,.058,.056,BUL,Blue Energy,.058,-,8612,.056,.058,-,,-,-,-,-.64,-,,
.205,.19,.20,.20,BBR,Bora Bora Res,.20,-,500,.20,-,-,,-,-,-,-,-,,
