ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5402.2 at 2014-02-18T16:38:36. Report at Tuesday, February 18, 2014. Processed Wednesday at 2014-02-19T01:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.135,.021,-,-,AOP,Apollo Cons,.044,-,-,.039,.045,-,,-,-,-,-2.13,-,,
.08,.015,.019,.015,AON,Apollo Minerals,.016,-.4,17000,.016,.017,-,,-,-,-,-.56,-,,
.965,.535,.745,.725,AQP,Aquarius Platinum,.745,+1.5,28,.71,.745,-,,-,-,-,-34.48,-,,
2.88,1.63,2.85,2.77,AQA,Aquila Res,2.78,-3,3173,2.78,2.81,-,,-,-,-,77.10,3.6,,
.18,.062,.098,.095,ARU,Arafura Resources,.097,-,861,.095,.098,-,,-,-,-,-2.80,-,,
.009,.002,-,-,ARX,ARC Explore,.007,-,-,.006,.007,-,,-,-,-,-.06,-,,
.25,.11,.18,.175,AXE,Archer Explore,.175,-,587,.175,.19,-,,-,-,-,-.64,-,,
.105,.027,.057,.051,ARD,Argent Minerals,.057,+.8,215,.051,.057,-,,-,-,-,-2.40,-,,
.05,.008,-,-,AVK,Argentina Min,.019,-,-,.016,.019,-,,-,-,-,-7.42,-,,
.006,.001,-,-,AVKO,  opt mar15,.001,-,-,.001,.003,-,,-,-,-,-,-,,
.032,.015,-,-,AXT,Argo Explore,.015,-,-,.016,.024,-,,-,-,-,-7.08,-,,
.062,.018,-,-,ARE,Argonaut Res,.025,-,-,.026,.029,-,,-,-,-,-4.33,-,,
.145,.02,-,-,AGY,Argosy Minerals,.031,-,-,.031,.048,-,,-,-,-,-1.22,-,,
.14,.05,-,-,AHK,Ark Mines,.095,-,-,.002,.07,-,,-,-,-,-8.22,-,,
.375,.15,.165,.15,AJQ,Armour Energy,.165,+1,2667,.16,.165,-,,-,-,-,.53,31.1,,
.135,.005,-,-,AJQO,  opt aug14,.015,-,-,.01,.015,-,,-,-,-,-,-,,
.013,.003,-,-,ARV,Artemis Res,.004,-,-,.003,.004,-,,-,-,-,-.23,-,,
.001,.001,-,-,ARVO,  opt mar14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.002,.001,-,-,ARVOA,  opt aug16,.001,-,-,.001,.002,-,,-,-,-,-,-,,
.065,.015,-,-,AAJ,Aruma Res,.016,-,-,.016,.02,-,,-,-,-,-2.31,-,,
.245,.225,-,-,AJY,Asaplus Res cdi,.245,-,-,-,-,-,,-,-,-,-.21,-,,
