ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:18 Tuesday 6/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.50,2.581,-,-,AGP,Anglo Pacific Grp,2.91,,-,2.91,-,15.87,,2.17,-,5.45,34.4,8.5
11.00,7.65,8.80,8.54,AGG,Anglogold Ashanti  5:1,8.80,69,107,7.90,8.80,3.87,,-,-,0.44,-71.44,-
0.885,0.05,0.845,0.825,AZZ,Antares Energy,0.825,-1,9736,0.825,0.84,-,,-,-,-,-1.6,-
4.43,1.24,4.20,4.20,AVM,Anvil Min cdi,4.20,10,29,4.20,4.25,-,,-,-,-,-23.97,-
0.08,0.035,-,-,AAL,Apac Coal,0.035,,-,0.036,0.044,-,,-,-,-,1.53,2.3
0.223,0.022,0.025,0.023,AXM,Apex Min NL,0.023,-0.2,98691,0.023,0.024,-,,-,-,-,-26.39,-
0.025,0.006,0.007,0.006,AXMO,  opt nov12,0.006,-0.1,546,0.006,0.008,-,,-,-,-,-,-
0.76,0.35,0.54,0.51,AZO,Apollo Gas Ltd,0.52,-1,1585,0.52,0.55,-,,-,-,-,-,-
0.40,0.14,0.185,0.17,AON,Apollo Min Ltd,0.175,1,883,0.17,0.175,-,,-,-,-,-6.59,-
0.012,0.012,-,-,AONO,  opt nov11,0.012,,-,0.016,0.02,-,,-,-,-,-,-
7.95,3.74,7.49,7.35,AQP,Aquarius Platinum,7.44,22,14430,7.35,7.47,2.26,,9.20,-,0.30,20.79,35.8
11.38,2.345,10.93,10.42,AQA,Aquila Res,10.89,24,7561,10.83,10.90,-,,-,-,-,-14.8,-
1.285,0.32,0.61,0.585,ARU,Arafura Resource,0.60,2,6237,0.60,0.61,-,,-,-,-,-5.1,-
0.27,0.072,0.195,0.17,AAG,Aragon Res,0.18,1,12433,0.17,0.18,-,,-,-,-,-3.87,-
0.05,0.002,0.04,0.04,AAGO,  opt sep10,0.04,2,2000,0.02,0.04,-,,-,-,-,-,-
0.065,0.009,0.045,0.043,ARX,ARC Explore Ltd,0.043,-0.2,516,0.044,0.049,-,,-,-,-,8.42,0.5
0.016,0.001,-,-,ARXO,  opt jun12,0.003,,-,0.003,0.01,-,,-,-,-,-,-
0.026,0.009,-,-,ARXOA,  opt jan11,0.014,,-,0.014,0.017,-,,-,-,-,-,-
0.21,0.052,-,-,AXE,Archer Explore,0.16,,-,0.13,0.155,-,,-,-,-,-1.93,-
0.23,0.053,0.17,0.165,ARD,Argent Min,0.165,-2.5,1594,0.16,0.165,-,,-,-,-,-3.42,-
0.06,0.01,0.031,0.03,ARDO,  opt jun11,0.03,-0.5,2250,0.026,0.03,-,,-,-,-,-,-
0.115,0.03,0.069,0.06,AXT,Argo Explore,0.06,-0.9,2900,0.059,0.064,-,,-,-,-,0.76,7.9
0.105,0.048,0.081,0.08,ARE,Argonaut Res,0.08,-0.2,581,0.08,0.082,-,,-,-,-,0.61,13.1
0.13,0.031,-,-,AGY,Argosy Min cdi,0.045,,-,0.032,0.045,-,,-,-,-,-1.41,-
5.31,2.70,5.08,5.03,AOE,Arrow Energy,5.04,-3,38156,5.03,5.05,-,,-,2.13,-,15.38,32.8
0.199,0.029,0.06,0.06,ARV,Artemis Res,0.06,,1800,0.058,0.063,-,,-,-,-,0.31,19.4
0.058,0.019,-,-,ARVOB,  opt jun11,0.02,,-,0.024,0.03,-,,-,-,-,-,-
0.099,0.006,0.021,0.019,ATN,Ashburton Min,0.021,,3584,0.019,0.021,-,,-,-,-,-0.83,-
0.115,0.012,0.10,0.096,AKM,Aspire Min Ltd,0.10,0.5,4290,0.097,0.10,-,,-,-,-,-7.45,-
0.016,0.002,0.012,0.011,ARO,Astro Res NL,0.012,,142631,0.011,0.012,-,,-,-,-,-0.2,-
0.007,0.001,0.004,0.004,AROOB,  opt nov12,0.004,-0.1,28011,0.004,0.005,-,,-,-,-,-,-
