ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 19:02 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.05,0.002,-,-,AAGO,  opt sep10,0.03,,-,0.03,0.055,-,,-,-,-,-,-
0.044,0.007,0.036,0.034,ARX,ARC Explore Ltd,0.035,0.2,35284,0.034,0.035,-,,-,-,-,16.13,0.2
0.01,0.001,-,-,ARXO,  opt jun12,0.005,,-,0.005,0.007,-,,-,-,-,-,-
0.015,0.01,0.013,0.013,ARXOA,  opt jan11,0.013,,6121,0.013,0.015,-,,-,-,-,-,-
0.17,0.038,-,-,AXE,Archer Explore,0.15,,-,0.15,0.155,-,,-,-,-,-1.8,-
0.025,0.002,-,-,AXEO,  opt feb10,0.003,,-,0.003,0.01,-,,-,-,-,-,-
0.20,0.04,0.15,0.14,ARD,Argent Min,0.15,,140,0.155,0.17,-,,-,-,-,-3.8,-
0.06,0.01,0.04,0.035,ARDO,  opt jun11,0.04,1.5,1100,0.03,0.04,-,,-,-,-,-,-
0.08,0.025,0.063,0.06,AXT,Argo Explore,0.06,-0.3,2380,0.06,0.063,-,,-,-,-,-0.42,-
0.105,0.042,0.069,0.066,ARE,Argonaut Res,0.066,,3724,0.066,0.069,-,,-,-,-,-0.79,-
0.13,0.025,-,-,AGY,Argosy Min cdi,0.055,,-,0.05,0.055,-,,-,-,-,-1.41,-
4.73,1.95,3.93,3.87,AOE,Arrow Energy,3.89,5,14123,3.88,3.91,-,,-,0.82,-,52,7.5
0.199,0.026,0.071,0.065,ARV,Artemis Res,0.065,-0.6,2500,0.062,0.071,-,,-,-,-,-8.47,-
0.04,0.019,0.038,0.036,ARVOB,  opt jun11,0.036,-0.2,1273,0.036,0.039,-,,-,-,-,-,-
0.099,0.004,0.025,0.024,ATN,Ashburton Min,0.024,,3010,0.024,0.025,-,,-,-,-,-0.78,-
0.07,0.001,-,-,ATNO,  opt dec09,0.012,,-,0.01,0.012,-,,-,-,-,-,-
