ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4559.7 at 16:39 4/8/2010  Report at 19:05 Wednesday 4/8/2010. Processed 19:25 Wednesday 4/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.091,0.17,0.17,TDO,3D Oil Ltd,0.17,,50,0.17,0.175,-,,-,-,-,-0.27,-
0.029,0.014,0.025,0.025,DDD,3D Res Ltd,0.025,-0.4,1725,0.023,0.027,-,,-,-,-,-1.9,-
0.109,0.029,-,-,AAO,A'asia Cons Ltd,0.06,,-,0.06,0.07,-,,-,-,-,-1.28,-
0.02,0.012,-,-,AAOO,  opt apr13,0.016,,-,0.011,-,-,,-,-,-,-,-
0.67,0.21,0.255,0.25,ARH,A'asian Resour,0.25,-0.5,528,0.25,0.255,-,,-,-,-,-1.4,-
0.42,0.14,0.17,0.155,AAM,A1 Min Ltd,0.16,-0.5,15101,0.155,0.16,-,,-,-,-,-3.56,-
0.07,0.016,0.03,0.028,ABU,ABM Res NL,0.029,0.2,91421,0.029,0.03,-,,-,-,-,-4.09,-
0.25,0.086,-,-,AII,Abra Min Ltd,0.10,,-,0.095,0.135,-,,-,-,-,-1.94,-
0.60,0.28,0.38,0.375,ACB,A-Cap Res,0.38,,1260,0.37,0.375,-,,-,0.14,-,-0.91,-
0.27,0.13,0.23,0.23,ACS,Accent Res NL,0.23,-0.5,100,0.22,0.23,-,,-,-,-,-1.53,-
0.029,0.004,0.022,0.02,AEX,Acclaim Explore,0.02,-0.1,131070,0.019,0.02,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.003,0.025,-,,-,-,-,-,-
0.14,0.05,0.09,0.08,AIV,Activex Ltd,0.09,1,1851,0.07,0.092,-,,-,-,-,-1.49,-
0.595,0.303,0.545,0.52,ADU,Adamus Res,0.535,2,5485,0.52,0.535,-,,-,-,-,-12.87,-
0.065,0.024,0.028,0.027,ADD,Adavale Resource,0.028,0.2,3861,0.022,0.027,-,,-,0.02,-,-0.96,-
0.215,0.08,0.085,0.084,ADE,Adelaide Energy,0.085,0.4,3925,0.085,0.087,-,,-,-,-,0.97,8.8
0.395,0.11,0.175,0.165,ADN,Adelaide Res,0.165,,806,0.165,0.17,-,,-,-,-,-0.56,-
0.425,0.06,-,-,ADI,Adelphi Energy,0.41,,-,-,-,-,,-,-,-,-4.27,-
1.65,0.62,0.97,0.95,ABY,Aditya Birla,0.95,-2,2248,0.95,0.965,-,,-,1.51,-,19.61,4.8
0.025,0.005,0.007,0.007,ADY,Admiralty Res,0.007,,41890,0.007,0.008,-,,-,-,-,0.09,7.8
0.125,0.007,-,-,AVD,Advance Energy,0.01,,-,0.01,0.015,-,,-,-,-,-3.1,-
0.265,0.081,0.19,0.165,ADX,ADX Energy Ltd,0.19,2.5,15995,0.185,0.195,-,,-,-,-,-0.89,-
0.09,0.05,-,-,ADXO,  opt mar11,0.08,,-,0.056,0.073,-,,-,-,-,-,-
0.755,0.435,0.51,0.495,AED,AED Oil Ltd,0.495,-1.5,2046,0.495,0.50,-,,-,1.03,-,-48.17,-
0.24,0.059,0.089,0.088,AFR,African Energy Res cdi,0.088,-0.7,1735,0.088,0.09,-,,-,-,-,-1.13,-
0.027,0.009,-,-,AAE,Agri Energy Ltd,0.011,,-,0.01,0.013,-,,-,-,-,15.8,0.1
0.245,0.145,-,-,ALG,Alamar Res Ltd,0.15,,-,0.15,0.19,-,,-,-,-,-1.34,-
0.03,0.03,-,-,ALGO,  opt mar13,0.03,,-,0.015,0.08,-,,-,-,-,-,-
0.25,0.055,-,-,AUQ,Alara Res Ltd,0.12,,-,0.11,0.12,-,,-,-,-,-1.9,-
1.27,0.205,0.485,0.45,ALY,Alchemy Resource,0.48,2,4152,0.465,0.485,-,,-,-,-,-3.2,-
0.96,0.05,0.21,0.21,ALYO,  opt aug10,0.21,-1,130,0.19,0.215,-,,-,-,-,-,-
0.06,0.02,0.027,0.025,AYN,Alcyone Res Ltd,0.027,0.2,27582,0.025,0.027,-,,-,-,-,-6.05,-
