ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4633.2 at 2012-12-19T16:39:36. Report at Wednesday, December 19, 2012. Processed Thursday at 2012-12-20T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.03,.01,-,-,AZYOA,  opt dec14,.026,-,-,.014,.029,-,,-,-,-,-,-,,
.018,.005,-,-,AAL,APAC Coal,.005,-,-,.002,.005,-,,-,-,-,-.12,-,,
.210,.001,-,-,AXM,Apex Minerals,.05,-,-,.049,.055,-,,-,-,-,-66.10,-,,
.079,.033,.047,.047,AQQ,Aphrodite Gold,.047,+.1,11237,.046,.047,-,,-,-,-,-.40,-,,
.018,.002,-,-,AQQO,  opt dec13,.003,-,-,.003,.004,-,,-,-,-,-,-,,
.295,.006,.105,.105,AOP,Apollo Cons,.105,-.5,51,.105,.12,-,,-,-,-,-9.17,-,,
.065,.026,.037,.037,AON,Apollo Minerals,.037,+.2,190,.038,.04,-,,-,-,-,-1.35,-,,
2.88,.475,.797,.74,AQP,Aquarius Platinum,.775,+3,31021,.77,.79,3.76,,-,-,4.85,-33.14,-,,
6.47,1.86,2.81,2.71,AQA,Aquila Res,2.77,+2,10045,2.77,2.80,-,,-,-,-,-.06,-,,
.535,.145,.175,.17,ARU,Arafura Resources,.175,-,5760,.17,.175,-,,-,-,-,-2.30,-,,
.011,.004,.005,.005,ARX,ARC Explore,.005,-,2500,.005,.006,-,,-,-,-,-.33,-,,
.45,.11,.195,.19,AXE,Archer Explore,.19,-,1380,.19,.20,-,,-,-,-,4.80,4.0,,
.155,.05,.065,.06,ARD,Argent Minerals,.06,-.2,557,.058,.062,-,,-,-,-,-4.10,-,,
.155,.05,-,-,AVK,Argentina Min,.06,-,-,.055,.059,-,,-,-,-,-2.12,-,,
.033,.008,-,-,AVKO,  opt mar15,.01,-,-,.001,.01,-,,-,-,-,-,-,,
.05,.011,.011,.011,AXT,Argo Explore,.011,-.2,1427,.011,.017,-,,-,-,-,-2.66,-,,
.093,.038,.057,.057,ARE,Argonaut Res,.057,+.3,188,.056,.057,-,,-,-,-,.71,8.0,,
.17,.041,.083,.08,AGY,Argosy Minerals,.08,-.3,197,.08,.09,-,,-,-,-,-.84,-,,
.24,.052,-,-,AHK,Ark Mines,.07,-,-,.071,.09,-,,-,-,-,-7.01,-,,
.50,.165,.245,.24,AJQ,Armour Energy,.24,-,1257,.24,.26,-,,-,-,-,-,-,,
.14,.03,.067,.067,AJQO,  opt aug14,.067,+.2,18,.067,.09,-,,-,-,-,-,-,,
.036,.006,-,-,ARV,Artemis Res,.007,-,-,.006,.007,-,,-,-,-,-.35,-,,
.097,.05,-,-,AAJ,Aruma Res,.056,-,350000,.045,.064,-,,-,-,-,-2.06,-,,
.20,.20,.20,.20,AJY,Asaplus Res cdi,.20,-,25,.20,-,-,,-,-,-,-,-,,
.20,.07,.14,.14,AZQ,Ascot Res,.14,-,138,.095,.14,-,,-,-,-,-1.23,-,,
.008,.001,-,-,ATN,Ashburton Min,.002,-,-,.001,.002,-,,-,-,-,-.60,-,,
.002,.001,-,-,ATNO,  opt apr14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.455,.064,.068,.068,AKM,Aspire Min,.068,-.2,860,.067,.07,-,,-,-,-,-.88,-,,
.003,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.11,-,,
.001,.001,-,-,AROOA,  opt jun14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.10,.035,-,-,AHN,Athena Res,.045,-,-,.025,.05,-,,-,-,-,-1.52,-,,
1.28,.195,.22,.195,ATI,Atlantic,.22,+1,1899,.22,.23,-,,-,-,-,-14.80,-,,
.045,.026,.035,.034,ATV,Atlantic Gold,.034,-,5315,.034,.035,-,,-,-,-,-.23,-,,
.004,.001,-,-,ATVCD,  ctg,.003,-,-,-,-,-,,-,-,-,-,-,,
3.43,1.145,1.755,1.695,AGO,Atlas Iron,1.705,-.5,103395,1.705,1.71,3.00,,-,1.90,1.76,-13.00,-,,
.26,.15,.18,.165,ATU,Atrum Coal,.18,+1.5,3030,.17,.18,-,,-,-,-,-,-,,
1.05,.13,.80,.79,AYA,Attila Res,.80,-,115,.77,.80,-,,-,-,-,-5.44,-,,
.77,.035,-,-,AYAO,  opt jun14,.50,-,-,.46,.55,-,,-,-,-,-,-,,
.23,.16,-,-,ACP,Audalia Res,.205,-,-,.18,.21,-,,-,-,-,-.49,-,,
.03,.02,-,-,ACPO,  opt apr14,.02,-,-,-,-,-,,-,-,-,-,-,,
.14,.024,.034,.034,AUK,Augur Res,.034,-,3,.034,.05,-,,-,-,-,-5.56,-,,
.235,.095,.115,.115,AEE,Aura Energy,.115,-,500,.11,.115,-,,-,-,-,-1.62,-,,
.07,.015,-,-,AEEO,  opt dec14,.016,-,-,.014,.03,-,,-,-,-,-,-,,
.135,.063,.073,.07,ARM,Aurora Minerals,.07,-.3,1555,.07,.078,-,,-,-,-,-3.55,-,,
4.26,2.84,3.72,3.64,AUT,Aurora Oil & Gas,3.66,+2,19830,3.66,3.68,-,,-,-,-,8.13,45.0,,
.095,.03,.036,.035,AIW,Aust-American Min,.036,+.1,1400,.033,.036,-,,-,-,-,-6.76,-,,
