ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5396.6 at 2014-11-17T16:42:06. Report at Monday, November 17, 2014. Processed Tuesday at 2014-11-18T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.044,.012,.014,.012,AON,Apollo Minerals,.012,-.1,22858,.012,.013,-,,-,-,-,-3.78,-,,
.50,.245,.265,.245,AQP,Aquarius Platinum,.25,-1.5,19295,.245,.25,-,,-,-,-,-1.47,-,,
.105,.05,.054,.054,ARU,Arafura Resources,.054,+.1,256,.054,.059,-,,-,-,-,-1.60,-,,
.007,.003,.004,.004,ARX,ARC Explore,.004,-,409,.004,.005,-,,-,-,-,-.24,-,,
.235,.14,.15,.15,AXE,Archer Explore,.15,-.5,551,.15,.155,-,,-,-,-,-.80,-,,
.017,.005,.009,.008,AWO,Ardent Res,.008,-.5,3419,.009,.012,-,,-,-,-,-.25,-,,
.059,.02,.032,.032,ARD,Argent Minerals,.032,-,1939,.032,.033,-,,-,-,-,-.06,-,,
.015,.009,-,-,ARDO,  opt mar16,.009,-,-,.006,.012,-,,-,-,-,-,-,,
.031,.007,.022,.022,AVK,Argentina Min,.022,-.1,1800,.017,.022,-,,-,-,-,-7.42,-,,
.001,.001,-,-,AVKO,  opt mar15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.004,.004,-,-,AVKOA,  opt dec16,.004,-,-,-,.005,-,,-,-,-,-,-,,
.029,.01,-,-,AXT,Argo Explore,.024,-,-,.018,.024,-,,-,-,-,-.06,-,,
.035,.013,.013,.013,ARE,Argonaut Res,.013,-.1,941,.012,.016,-,,-,-,-,-.72,-,,
.005,.002,-,-,AREO,  opt mar17,.002,-,-,.002,-,-,,-,-,-,-,-,,
.017,.002,-,-,AGY,Argosy Minerals,.002,-,-,.002,.003,-,,-,-,-,-.60,-,,
.095,.01,-,-,AHK,Ark Mines,.079,-,-,.01,.069,-,,-,-,-,-1.21,-,,
.265,.066,.075,.074,AJQ,Armour Energy,.074,-.3,500,.074,.077,-,,-,-,-,-.56,-,,
.005,.002,.003,.003,ARV,Artemis Res,.003,-,3150,.002,.003,-,,-,-,-,-.29,-,,
.002,.001,-,-,ARVOA,  opt aug16,.002,-,-,-,.001,-,,-,-,-,-,-,,
.001,.001,-,-,ARVOB,  opt jul16,.001,-,-,.001,.002,-,,-,-,-,-,-,,
.044,.015,-,-,AAJ,Aruma Res,.027,-,-,.023,.027,-,,-,-,-,-.93,-,,
.245,.24,-,-,AJY,Asaplus Res cdi,.24,-,-,-,.24,-,,-,-,-,-.54,-,,
.24,.096,-,-,AZQ,Ascot Res,.16,-,-,.16,.18,-,,-,-,-,-16.72,-,,
.079,.031,.045,.04,AKM,Aspire Min,.045,+.6,3422,.039,.045,-,,-,-,-,-.43,-,,
.001,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.03,-,,
.06,.02,-,-,AHN,Athena Res,.02,-,-,.02,.025,-,,-,-,-,-.27,-,,
.50,.07,-,-,AGB,Atlantic Gold Corp cdi,.31,-,-,.235,.27,-,,-,-,-,-,-,,
.15,.002,-,-,AGBO,  opt aug18,.05,-,-,.05,.14,-,,-,-,-,-,-,,
1.24,.20,.225,.205,AGO,Atlas Iron,.22,+1.5,143573,.22,.225,2.00,,.95,1.61,9.09,1.91,11.5,,
2.04,1.14,1.185,1.14,ATU,Atrum Coal,1.16,-2,597,1.14,1.16,-,,-,-,-,-12.20,-,,
.59,.25,.28,.28,AYA,Attila Res,.28,-1,100,.28,.29,-,,-,-,-,-10.22,-,,
.23,.05,-,-,ACP,Audalia Res,.21,-,-,.05,.20,-,,-,-,-,-.23,-,,
.084,.022,.023,.023,AUK,Augur Res,.023,-,30,.02,.023,-,,-,-,-,-.97,-,,
.058,.019,.037,.035,AEE,Aura Energy,.035,-,2890,.035,.036,-,,-,-,-,-2.07,-,,
.005,.001,-,-,AEEO,  opt dec14,.005,-,-,-,.004,-,,-,-,-,-,-,,
.435,.195,.267,.26,AMI,Aurelia Metals,.265,+.5,6557,.26,.265,-,,-,-,-,-3.54,-,,
.18,.03,.031,.03,AOU,Auroch Min,.03,-1.2,400,.03,.05,-,,-,-,-,-1.50,-,,
.07,.021,.026,.024,ARM,Aurora Minerals,.026,+.5,4453,.026,.032,-,,-,-,-,-1.66,-,,
.009,.003,-,-,ANW,Aus Tin Mining,.004,-,-,.004,.005,-,,-,-,-,-.11,-,,
