ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4776.7 at 16:47 2/12/2009  Report at 19:05 Wednesday 2/12/2009. Processed 19:32 Wednesday 2/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.115,0.03,-,-,AAL,Apac Coal,0.067,,-,0.045,0.067,-,,-,-,-,-0.75,-
0.414,0.039,0.043,0.041,AXM,Apex Min NL,0.041,-0.1,168120,0.041,0.042,-,,-,-,-,-31.41,-
0.025,0.01,0.015,0.014,AXMO,  opt nov12,0.014,-0.1,32600,0.013,0.014,-,,-,-,-,-,-
0.40,0.125,0.24,0.225,AON,Apollo Min Ltd,0.225,,377,0.225,0.245,-,,-,-,-,-8.92,-
6.91,2.459,6.91,6.64,AQP,Aquarius Platinum,6.83,31,28251,6.81,6.99,12.08,,-,-,1.77,-16.39,-
11.50,1.90,10.80,10.30,AQA,Aquila Res,10.30,1,4899,10.30,10.37,-,,-,-,-,-10.5,-
1.285,0.245,0.83,0.80,ARU,Arafura Resource,0.83,3,3653,0.81,0.83,-,,-,-,-,-7.7,-
0.27,0.055,0.19,0.18,AAG,Aragon Res,0.18,-1,1058,0.155,0.19,-,,-,-,-,-3.81,-
0.05,0.002,-,-,AAGO,  opt sep10,0.03,,-,0.03,0.055,-,,-,-,-,-,-
0.044,0.007,0.041,0.036,ARX,ARC Explore Ltd,0.04,0.4,17624,0.038,0.042,-,,-,-,-,16.13,0.2
0.01,0.001,-,-,ARXO,  opt jun12,0.006,,-,0.005,0.007,-,,-,-,-,-,-
0.012,0.01,0.012,0.01,ARXOA,  opt jan11,0.012,0.1,2911,0.012,0.014,-,,-,-,-,-,-
0.17,0.037,-,-,AXE,Archer Explore,0.155,,-,0.145,0.155,-,,-,-,-,-1.8,-
0.025,0.002,-,-,AXEO,  opt feb10,0.002,,-,0.003,0.006,-,,-,-,-,-,-
0.20,0.04,0.175,0.175,ARD,Argent Min,0.175,2.5,150,0.16,0.17,-,,-,-,-,-3.8,-
