ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5173.3 at 2013-05-15T16:43:05. Report at Wednesday, May 15, 2013. Processed Thursday at 2013-05-16T01:00:18+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.088,.03,.031,.031,AQQ,Aphrodite Gold,.031,-.2,1149,.03,.033,-,,-,-,-,-.41,-,,
.015,.001,-,-,AQQO,  opt dec13,.001,-,-,-,.001,-,,-,-,-,-,-,,
.295,.06,.07,.06,AOP,Apollo Cons,.07,+1,70,.02,.07,-,,-,-,-,-10.32,-,,
.08,.026,.037,.037,AON,Apollo Minerals,.037,-.5,143,.037,.04,-,,-,-,-,-1.03,-,,
1.51,.475,.70,.65,AQP,Aquarius Platinum,.67,-3,3864,.67,.68,-,,-,-,-,-46.34,-,,
3.43,1.63,2.36,2.13,AQA,Aquila Res,2.22,-,3117,2.20,2.22,-,,-,-,-,62.34,3.6,,
.26,.10,.135,.12,ARU,Arafura Resources,.125,-1,2395,.12,.13,-,,-,-,-,-1.41,-,,
.008,.003,.003,.003,ARX,ARC Explore,.003,-,464,.003,.004,-,,-,-,-,-.13,-,,
.315,.14,.155,.155,AXE,Archer Explore,.155,-,333,.155,.16,-,,-,-,-,5.30,2.9,,
.105,.05,-,-,ARD,Argent Minerals,.065,-,-,.056,.063,-,,-,-,-,-3.07,-,,
.155,.028,.028,.028,AVK,Argentina Min,.028,-,300,.027,.03,-,,-,-,-,-7.08,-,,
.02,.001,-,-,AVKO,  opt mar15,.001,-,-,.002,.017,-,,-,-,-,-,-,,
.037,.009,.024,.022,AXT,Argo Explore,.022,-.2,4000,.021,.027,-,,-,-,-,-6.85,-,,
.093,.027,-,-,ARE,Argonaut Res,.027,-,-,.028,.03,-,,-,-,-,-.20,-,,
.145,.041,-,-,AGY,Argosy Minerals,.096,-,-,.09,.098,-,,-,-,-,-.78,-,,
.14,.052,-,-,AHK,Ark Mines,.115,-,-,.05,.115,-,,-,-,-,-4.10,-,,
.41,.165,.275,.265,AJQ,Armour Energy,.275,+.5,2090,.265,.275,-,,-,-,-,-.50,-,,
.14,.03,.07,.051,AJQO,  opt aug14,.07,-,365,.06,.07,-,,-,-,-,-,-,,
.024,.006,.011,.01,ARV,Artemis Res,.011,+.2,12830,.01,.011,-,,-,-,-,-.17,-,,
.097,.045,-,-,AAJ,Aruma Res,.045,-,-,.04,.045,-,,-,-,-,-1.72,-,,
.23,.20,-,-,AJY,Asaplus Res cdi,.23,-,-,-,.23,-,,-,-,-,-,-,,
.19,.07,-,-,AZQ,Ascot Res,.09,-,-,.105,.125,-,,-,-,-,-3.60,-,,
.006,.001,.003,.003,ATN,Ashburton Min,.003,-,3500,.003,.003,-,,-,-,-,-.15,-,,
.002,.001,-,-,ATNO,  opt apr14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.20,.055,.076,.07,AKM,Aspire Min,.07,-.6,5330,.07,.084,-,,-,-,-,-1.34,-,,
.002,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.07,-,,
.001,.001,-,-,AROOA,  opt jun14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.07,.02,-,-,AHN,Athena Res,.03,-,-,.03,.04,-,,-,-,-,-.08,-,,
.57,.12,.22,.185,ATI,Atlantic,.215,+3,1674,.21,.215,-,,-,-,-,-14.80,-,,
.043,.02,-,-,ATV,Atlantic Gold,.03,-,-,.024,.03,-,,-,-,-,-.28,-,,
.003,.003,-,-,ATVCD,  ctg,.003,-,-,.001,-,-,,-,-,-,-,-,,
