ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.066,0.018,0.038,0.035,AAR,Anglo Aust,0.035,-0.2,9351,0.035,0.037,-,,-,-,-,-0.14,-
10.50,7.65,9.50,9.36,AGG,Anglogold Ashanti,9.50,-25,27,9.50,10.04,3.87,,-,8.69,0.41,-99.23,-
0.885,0.21,0.58,0.57,AZZ,Antares Energy,0.575,-0.5,2379,0.57,0.575,-,,-,-,-,-1.6,-
4.56,1.50,3.20,3.15,AVM,Anvil Min cdi,3.20,15,66,3.18,3.34,-,,-,-,-,-23.97,-
0.08,0.035,-,-,AAL,Apac Coal,0.035,,-,0.035,0.041,-,,-,-,-,1.53,2.3
0.15,0.014,0.021,0.02,AXM,Apex Min NL,0.02,-0.1,63335,0.019,0.021,-,,-,-,-,-26.39,-
0.025,0.005,-,-,AXMO,  opt nov12,0.005,,-,0.005,0.006,-,,-,-,-,-,-
-,-,0.175,0.15,AQQ,Aphrodite Gold,0.15,,7525,0.145,0.15,-,,-,-,-,-,-
-,-,0.031,0.025,AQQO,  opt dec13,0.03,,13700,0.026,0.03,-,,-,-,-,-,-
0.87,0.35,0.525,0.51,AZO,Apollo Gas Ltd,0.51,-1,156,0.51,0.53,-,,-,-,-,-,-
0.40,0.10,-,-,AON,Apollo Min Ltd,0.115,,-,0.11,0.125,-,,-,-,-,-6.59,-
0.025,0.012,-,-,AONO,  opt nov11,0.02,,-,0.003,0.01,-,,-,-,-,-,-
7.95,3.74,5.68,5.46,AQP,Aquarius Platinum,5.54,12,15928,5.53,5.64,2.26,,9.20,-,0.41,20.79,26.6
11.38,4.727,7.89,7.45,AQA,Aquila Res,7.52,-23,3032,7.48,7.80,-,,-,-,-,-14.8,-
1.285,0.38,0.50,0.47,ARU,Arafura Resource,0.47,1.5,8240,0.47,0.49,-,,-,-,-,-5.1,-
0.27,0.072,0.18,0.18,AAG,Aragon Res,0.18,,940,0.18,0.19,-,,-,-,-,-3.87,-
0.05,0.003,-,-,AAGO,  opt sep10,0.015,,-,0.015,0.019,-,,-,-,-,-,-
0.065,0.014,-,-,ARX,ARC Explore Ltd,0.016,,-,0.016,0.018,-,,-,-,-,8.42,0.2
0.016,0.001,-,-,ARXO,  opt jun12,0.004,,-,0.001,0.008,-,,-,-,-,-,-
0.026,0.003,-,-,ARXOA,  opt jan11,0.003,,-,0.002,0.004,-,,-,-,-,-,-
0.21,0.07,-,-,AXE,Archer Explore,0.10,,-,0.072,0.10,-,,-,-,-,-1.93,-
0.23,0.10,0.17,0.155,ARD,Argent Min,0.165,1,1450,0.165,0.175,-,,-,-,-,-3.42,-
0.06,0.015,-,-,ARDO,  opt jun11,0.03,,-,0.016,0.04,-,,-,-,-,-,-
0.115,0.03,-,-,AXT,Argo Explore,0.036,,-,0.037,0.06,-,,-,-,-,0.76,4.7
0.105,0.048,0.055,0.055,ARE,Argonaut Res,0.055,,300,0.055,0.06,-,,-,-,-,0.61,9.0
0.13,0.018,-,-,AGY,Argosy Min cdi,0.02,,-,0.02,0.031,-,,-,-,-,-0.53,-
5.31,3.08,4.90,4.84,AOE,Arrow Energy,4.85,-1,124987,4.84,4.85,-,,-,2.13,-,15.38,31.5
0.199,0.035,0.04,0.04,ARV,Artemis Res,0.04,,1500,0.035,0.04,-,,-,-,-,0.31,12.9
0.058,0.009,-,-,ARVOB,  opt jun11,0.016,,-,0.009,0.016,-,,-,-,-,-,-
0.099,0.01,0.017,0.017,ATN,Ashburton Min,0.017,,3000,0.015,0.017,-,,-,-,-,-0.83,-
0.18,0.02,0.085,0.08,AKM,Aspire Min Ltd,0.08,0.1,5064,0.08,0.083,-,,-,-,-,-7.45,-
0.016,0.003,-,-,ARO,Astro Res NL,0.004,,-,0.004,0.005,-,,-,-,-,-0.2,-
0.007,0.002,-,-,AROOB,  opt nov12,0.002,,-,0.001,0.003,-,,-,-,-,-,-
0.12,0.035,-,-,AHN,Athena Res,0.07,,-,0.051,0.065,-,,-,-,-,-0.62,-
0.031,0.017,-,-,AHNOA,  opt apr12,0.031,,-,0.008,-,-,,-,-,-,-,-
0.10,0.034,0.036,0.036,ATV,Atlantic Gold NL,0.036,-0.1,2707,0.035,0.036,-,,-,-,-,-0.25,-
0.03,0.011,-,-,ATVCD,  ctg,0.012,,-,-,0.03,-,,-,-,-,-,-
0.045,0.008,-,-,ATVOA,  opt jan11,0.01,,-,0.003,0.01,-,,-,-,-,-,-
3.05,1.52,2.16,2.09,AGO,Atlas Iron Ltd,2.09,-4,15642,2.09,2.10,-,,-,-,-,-15.5,-
0.195,0.092,0.195,0.19,ATQ,Atomic Res,0.19,-0.5,1438,0.19,0.20,-,,-,-,-,-6.9,-
0.04,0.015,0.032,0.032,ATQO,  opt aug11,0.032,,500,0.032,0.043,-,,-,-,-,-,-
0.26,0.12,-,-,ACZ,Atticus Resource,0.18,,-,0.12,0.21,-,,-,-,-,-0.49,-
0.09,0.03,-,-,ACZO,  opt sep12,0.03,,-,0.01,0.05,-,,-,-,-,-,-
