ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:23 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.77,0.035,0.705,0.65,AZZ,Antares Energy,0.66,-4.5,6903,0.66,0.69,-,,-,-,-,0.26,253.8
3.68,1.19,3.58,3.55,AVM,Anvil Min cdi,3.58,-2,1886,3.56,3.61,-,,-,-,-,-370.7,-
0.115,0.04,0.05,0.045,AAL,Apac Coal,0.045,,420,0.04,0.06,-,,-,-,-,-0.75,-
0.361,0.029,0.04,0.038,AXM,Apex Min NL,0.038,-0.1,77792,0.038,0.039,-,,-,-,-,-31.41,-
0.025,0.01,0.012,0.012,AXMO,  opt nov12,0.012,,3515,0.011,0.013,-,,-,-,-,-,-
0.76,0.35,0.62,0.53,AZO,Apollo Gas Ltd,0.56,-6,3453,0.57,0.58,-,,-,-,-,-,-
0.40,0.135,0.215,0.21,AON,Apollo Min Ltd,0.21,-0.5,462,0.215,0.22,-,,-,-,-,-8.92,-
7.95,3.002,7.78,7.58,AQP,Aquarius Platinum,7.76,9,22265,7.75,7.80,-,,-,-,-,-16.39,-
11.38,1.727,11.02,10.80,AQA,Aquila Res,10.92,2,7043,10.82,10.94,-,,-,-,-,-10.5,-
1.285,0.245,1.045,0.96,ARU,Arafura Resource,0.985,-1.5,20697,0.97,0.985,-,,-,-,-,-7.7,-
0.27,0.055,0.18,0.16,AAG,Aragon Res,0.16,-1,4481,0.15,0.16,-,,-,-,-,-3.81,-
0.05,0.002,-,-,AAGO,  opt sep10,0.03,,-,0.01,0.06,-,,-,-,-,-,-
0.044,0.007,0.036,0.035,ARX,ARC Explore Ltd,0.036,0.2,53540,0.036,0.037,-,,-,-,-,16.13,0.2
0.01,0.001,-,-,ARXO,  opt jun12,0.005,,-,0.004,0.005,-,,-,-,-,-,-
0.016,0.01,0.015,0.015,ARXOA,  opt jan11,0.015,0.2,18820,0.015,0.018,-,,-,-,-,-,-
0.20,0.05,0.20,0.17,AXE,Archer Explore,0.20,2,10340,0.18,0.20,-,,-,-,-,-1.8,-
0.025,0.001,0.003,0.001,AXEO,  opt feb10,0.003,,5750,0.003,0.003,-,,-,-,-,-,-
0.20,0.04,0.11,0.11,ARD,Argent Min,0.11,-1.5,250,0.10,0.125,-,,-,-,-,-3.8,-
0.06,0.01,-,-,ARDO,  opt jun11,0.04,,-,0.022,0.034,-,,-,-,-,-,-
0.08,0.027,0.065,0.06,AXT,Argo Explore,0.065,1.2,400,0.055,0.064,-,,-,-,-,-0.42,-
0.105,0.048,0.086,0.081,ARE,Argonaut Res,0.084,-0.2,2995,0.083,0.095,-,,-,-,-,-0.79,-
0.13,0.025,-,-,AGY,Argosy Min cdi,0.06,,-,0.05,0.06,-,,-,-,-,-1.41,-
4.73,2.05,4.44,4.35,AOE,Arrow Energy,4.38,,24020,4.37,4.40,-,,-,0.82,-,52,8.4
0.199,0.026,0.068,0.065,ARV,Artemis Res,0.065,-0.3,1310,0.065,0.068,-,,-,-,-,-8.47,-
0.04,0.019,-,-,ARVOB,  opt jun11,0.03,,-,0.03,0.035,-,,-,-,-,-,-
0.099,0.004,0.025,0.024,ATN,Ashburton Min,0.024,-0.3,12767,0.024,0.026,-,,-,-,-,-0.78,-
0.025,0.001,0.002,0.002,ATNOA,  opt feb10,0.002,0.1,5000,0.001,0.002,-,,-,-,-,-,-
0.016,0.002,0.012,0.011,ARO,Astro Res NL,0.011,,274566,0.011,0.012,-,,-,-,-,-0.24,-
0.004,0.001,0.003,0.003,AROOB,  opt nov12,0.003,,20000,0.002,0.004,-,,-,-,-,-,-
0.08,0.017,-,-,AHN,Athena Res,0.055,,-,0.057,0.065,-,,-,-,-,-4.08,-
0.10,0.04,0.059,0.058,ATV,Atlantic Gold NL,0.059,,1247,0.058,0.06,-,,-,-,-,-0.74,-
0.03,0.011,-,-,ATVCD,  ctg,0.03,,-,-,0.03,-,,-,-,-,-,-
0.045,0.016,0.021,0.021,ATVOA,  opt jan11,0.021,,220,0.021,0.024,-,,-,-,-,-,-
2.35,1.05,2.35,2.26,AGO,Atlas Iron Ltd,2.34,7,53928,2.33,2.35,-,,-,-,-,-21.3,-
