ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4807.1 at 16:36 3/5/2010  Report at 19:05 Monday 3/5/2010. Processed 19:16 Monday 3/5/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.086,0.18,0.17,TDO,3D Oil Ltd,0.17,-1,886,0.17,0.18,-,,-,-,-,-0.27,-
0.026,0.009,-,-,DDD,3D Res Ltd,0.02,,-,0.02,0.025,-,,-,-,-,-1.9,-
0.109,0.023,-,-,AAO,A'asia Gold,0.065,,-,0.065,0.075,-,,-,-,-,-1.28,-
0.02,0.012,0.02,0.02,AAOO,  opt apr13,0.02,0.8,125,0.016,-,-,,-,-,-,-,-
0.70,0.375,0.46,0.43,ARH,A'asian Resour,0.43,-1,812,0.425,0.455,-,,-,-,-,-1.4,-
0.42,0.12,0.215,0.20,AAM,A1 Min Ltd,0.20,-2,9309,0.205,0.21,-,,-,-,-,-3.56,-
0.07,0.007,0.024,0.023,ABU,ABM Res NL,0.024,,10460,0.023,0.024,-,,-,-,-,-4.09,-
0.25,0.14,-,-,AII,Abra Min Ltd,0.185,,-,0.135,0.20,-,,-,-,-,-1.94,-
0.60,0.30,0.37,0.36,ACB,A-Cap Res,0.365,-1.5,294,0.365,0.37,-,,-,0.14,-,-0.91,-
0.27,0.088,0.21,0.19,ACS,Accent Res NL,0.19,,1850,0.19,0.205,-,,-,-,-,-1.53,-
0.029,0.004,0.019,0.018,AEX,Acclaim Explore,0.018,0.1,31671,0.017,0.018,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,0.02,-,,-,-,-,-,-
