ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4363.7 at 2012-02-08T16:38:36. Report at Wednesday, February 8, 2012. Processed Thursday at 2012-02-09T12:20:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.255,.076,.077,.077,TDO,3D Oil,,,.077,-.3,500,.077,.08,,,,,,-.49,,,
.062,.035,.037,.035,DDD,3D Res,,,.035,-.2,2977,.035,.04,,,,,,-.33,,,
.485,.15,.19,.19,ARH,A'asian Resources,,,.19,,202,.19,.20,,,,,,-.07,,,
.082,.029,.058,.055,ABU,ABM Res,,,.056,,217080,.055,.056,,,,,,-.41,,,
.185,.038,.049,.044,AJC,Acacia Coal,,,.049,,2503,.048,.05,,,,,,-.02,,,
.755,.165,.26,.25,ACB,A-Cap Res,,,.255,-.5,2880,.265,.275,,,,,,-2.30,,,
.405,.205,.33,.33,ACS,Accent Res,,,.33,,30433,.33,.335,,,,,,-.54,,,
.245,.105,.135,.13,ACN,Acer Energy,,,.135,+.5,4674,.13,.135,,,,,,-5.10,,,
.124,.02,.025,.025,AIV,ActiveX,,,.025,-.1,1185,.024,.025,,,,,,-.95,,,
.014,.001,,,AIVO,  opt jul12,,,.001,,,,,,,,,,,,,
.038,.01,.015,.014,ADD,Adavale Resources,20c,,.014,-.2,15000,.014,.017,,,,.01,,-.47,,,
.20,.055,.06,.055,ADN,Adelaide Res,25c,5128,.06,+.1,6290,.055,.06,,,,,,-.98,,,
.80,.135,,,AAO,Adept Solutions,,,.30,,,.30,.345,,,,,,-3.04,,,
.11,.051,,,AAOO,  opt apr13,,,,,,,,,,,,,,,,
1.95,.68,.895,.88,ABY,Aditya Birla,,,.89,-1,1541,.885,.895,9.00,,1.41,1.67,10.11,12.66,7.0,,
.097,.032,.068,.065,ADY,Admiralty Res,20c,,.065,-.3,3733,.064,.068,,,,,,2.84,2.3,,
.03,.005,,,AVD,Advance Energy,,,.005,,,,,,,,-.03,,-4.44,,,
.009,.001,,,AVDOA,  opt aug12,,,.001,,,,,,,,,,,,,
.13,.062,.072,.069,ADX,ADX Energy,,4009,.072,+.3,7600,.069,.071,,,,,,-1.57,,,
1.045,.225,.405,.39,AFR,African Energy Res cdi,,,.40,+2,17967,.395,.40,,,,,,-1.58,,,
.57,.175,.565,.56,AKI,African Iron,,,.56,-.5,3280,.56,.565,,,,,,-2.70,,,
.37,.055,.36,.36,AKIOA,  opt dec13,,,.36,,239,.36,.37,,,,,,,,,
