100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4588.8 at 16:39 12/2/2010  Report at 19:05 Friday 12/2/2010. Processed 19:21 Friday 12/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
41.70,17.69,Leighton Hldgs,37.29,-101,37.21,37.35,115,f,1.30,7.43,3.08,24.9
11.29,4.85,Lend Lease Grp stpld,9.13,-10,9.12,9.15,41,f,-,4.20,4.49,-
58.80,15.00,Macq Grp Ltd,47.35,-38,47.18,47.41,126,,1.93,23.72,2.66,19.5
0.355,0.071,Macq Office unt,0.28,-1.5,0.28,0.285,3.75,,-,0.49,13.39,-
3.19,1.291,MAP Grp forus,2.90,-1,2.86,2.90,21,,5.66,-,7.24,2.4
4.74,3.80,Metcash Ltd,4.09,,4.08,4.12,25,f,1.21,0.11,6.11,13.5
19.40,12.00,Milton Corp,17.55,-20,17.50,17.55,70,f,0.64,18.37,3.99,39.3
1.745,0.542,Mirvac Grp stpld,1.475,,1.475,1.505,4.2,,-,1.73,2.85,-
3.98,3.12,Myer Hldgs Ltd,3.38,2,3.34,3.39,-,,-,-,-,-
32.37,15.85,National Aust Bank,24.40,-28,24.37,24.46,146,f,1.80,12.66,5.98,9.3
5.06,2.13,Navitas Ltd,4.70,4,4.60,4.70,16.9,f,0.99,-0.25,3.60,28.0
18.41,8.93,News Corp b voting,17.32,35,17.25,17.40,5.14,,14.51,0.45,0.30,23.2
14.46,8.71,Nufarm Ltd,9.53,-7,9.52,9.55,27,,1.24,3.59,2.83,28.4
3.65,1.40,OneSteel Ltd,3.27,6,3.18,3.29,10,,2.26,1.66,3.06,14.5
26.77,11.80,Orica Ltd,24.61,15,24.61,24.62,97,p,1.50,1.71,3.94,16.9
17.94,12.51,Origin Energy,16.40,16,16.30,16.49,50,f,15.82,8.31,3.05,2.1
41.39,21.60,Perpetual Ltd,33.92,-17,33.50,34.49,100,f,0.96,3.46,2.95,35.3
6.34,2.90,Platinum Asset,5.29,9,5.22,5.30,20,f,1.12,-,3.78,23.5
9.15,3.268,Premier Invest,8.20,5,8.10,8.20,35,f,1.78,2.07,4.27,13.1
6.56,3.61,Primary Health Care,5.48,-4,5.45,5.50,14,f,2.05,-,2.55,19.1
3.06,1.38,Qantas Airways,2.92,2,2.90,2.92,6,,0.93,2.25,2.05,52.1
25.70,15.01,QBE Insurance Grp,22.77,-16,22.73,22.79,127,p,1.68,5.17,5.58,10.6
12.49,9.12,Ramsay Health Care,12.31,40,12.30,12.31,38,f,1.35,0.09,3.09,24.0
9.92,3.38,REA Grp,9.47,37,9.31,9.50,10,f,0.07,0.30,1.06,1279.7
25.60,15.50,Reece Aust Ltd,24.70,,24.50,24.70,51,f,1.90,5.35,2.06,25.5
6.58,4.46,ResMed Inc cdi 10:1,6.32,13,6.24,6.32,-,,-,-,-,25.2
7.03,2.02,Seek Ltd,6.55,23,6.43,6.59,9.2,f,2.04,0.51,1.40,34.8
7.29,5.03,Seven Network   ,7.27,7,7.15,7.27,34,f,0.19,7.27,4.68,113.9
29.15,14.97,Sims Metal Mgmt,21.39,54,21.23,21.40,38,f,-,8.09,1.78,-
2.94,2.25,Singapore Tel cdi,2.41,-3,2.37,2.42,10.69,,1.94,0.61,4.44,11.6
15.64,9.96,Sonic Healthcare,14.90,14,14.84,14.93,57,p,0.82,-1.72,3.83,31.8
14.50,7.018,Soul Pattinson,13.30,,13.05,13.30,32,f,14.57,10.91,2.41,2.9
1.095,0.725,SP AusNet stpld,0.91,1,0.90,0.91,9.92,p,0.81,0.91,10.90,11.3
1.445,0.83,Spark Infrastructure stpld,1.36,1.5,1.345,1.365,15.98,,0.47,1.70,11.75,18.2
4.19,1.955,Stockland stpld,3.94,-5,3.94,3.96,27.8,,-,-,7.06,-
9.59,4.36,Suncorp-Metway,8.96,1,8.95,9.05,40,f,0.79,5.11,4.46,28.3
7.70,6.05,Tabcorp Hldgs Ltd,6.83,5,6.80,6.84,60,f,1.44,-1.53,8.78,7.9
2.93,2.19,Tatts Grp Ltd,2.34,,2.33,2.34,21,f,1.04,-0.56,8.97,10.7
3.84,2.93,Telstra Corp,3.12,-10,3.12,3.13,28,f,1.16,0.36,8.97,9.6
1.825,0.615,Ten Network Hldgs,1.81,9.5,1.74,1.82,2,,-,-0.35,1.10,-
9.33,4.38,Toll Hldgs Ltd,8.54,5,8.40,8.55,25,f,1.60,1.58,2.93,21.4
4.80,1.52,Transfield Services,3.86,8,3.83,3.86,12,,-,0.02,3.11,-
5.64,3.51,Transurban stpld,5.20,-5,5.15,5.21,23,,-,2.79,4.42,-
15.97,6.77,UGL Ltd,13.90,6,13.80,13.94,64,f,1.36,-0.82,4.60,16.0
0.655,0.127,Virgin Blue Hldgs,0.58,1,0.575,0.58,-,,-,0.50,-,-
32.16,15.80,Wesfarmers Ltd,29.03,72,29.00,29.20,110,f,1.45,3.14,3.79,18.1
8.48,3.62,West Aust News,7.50,25,7.46,7.50,33,f,1.28,-,4.40,17.8
14.33,8.68,Westfield Grp stpld,12.14,-3,12.13,12.15,100.25,,-,11.02,8.26,-
27.57,15.47,Westpac Banking,23.20,23,23.15,23.21,116,f,1.08,7.89,5.00,18.5
30.57,24.36,Woolworths Ltd,25.55,17,25.55,25.58,104,f,1.45,1.54,4.07,17.0
31.79,12.80,WorleyParsons Ltd,22.92,-20,22.90,22.93,93,f,1.73,-0.03,4.06,14.2
7.45,3.10,Wotif Com Hldgs,6.51,-3,6.49,6.60,17.5,f,1.19,-0.08,2.69,31.1
