100 Leading Industrial Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5221.3 at 2015-11-02T16:40:05. Report at Monday, November 2, 2015. Processed Tuesday at 2015-11-03T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
47.38,29.88,Flight Centre Travel,37.13,-82,37.09,37.20,152.00,f,1.68,8.77,4.09,14.6,,
6.70,5.40,Goodman Grp stp,6.00,-7,5.99,6.01,22.20,,3.12,3.46,3.70,8.7,,
4.89,4.04,GPT Grp stp,4.73,-4,4.72,4.73,21.70,,2.25,4.03,4.59,9.7,,
10.36,7.67,GrainCorp,8.89,-16,8.88,8.91,12.50,f,1.07,5.63,1.41,66.3,,
4.99,3.21,Harvey Norman,3.96,-2,3.96,3.97,20.00,f,1.23,2.39,5.05,16.2,,
3.15,2.44,Healthscope,2.69,-1,2.68,2.70,7.00,,1.23,.19,2.60,31.3,,
6.27,3.755,Henderson Grp cdi,5.99,-19,5.99,6.00,18.97,,1.63,.63,3.17,19.4,,
4.40,2.80,Incitec Pivot,3.87,-8,3.87,3.88,11.70,,1.43,.77,3.02,23.2,,
6.61,4.72,Insurance Aust Grp,5.54,-7,5.53,5.55,29.00,f,1.08,1.34,5.23,17.7,,
4.34,3.41,Investa Office Fd stp,3.97,-7,3.97,3.98,19.25,,1.52,3.62,4.85,13.6,,
10.98,8.18,IOOF Hldgs,9.28,-6,9.26,9.29,53.00,f,.90,-.13,5.71,19.5,,
20.04,11.45,James Hardie Ind cdi,18.23,-7,18.21,18.28,44.63,,1.91,.60,2.45,21.4,,
17.72,12.09,Lend Lease Grp stp,12.86,-14,12.86,12.89,54.00,p,2.08,6.41,4.20,11.4,,
7.20,7.055,Link Admin Hldgs def,7.12,-1,7.11,7.13,,,-,,,,,
4.14,2.875,Macq Atlas Roads stp,4.08,,4.08,4.09,16.00,,.73,1.60,3.92,35.1,,
