100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4676.1 at 16:47 16/12/2009  Report at 19:05 Wednesday 16/12/2009. Processed 19:21 Wednesday 16/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
38.99,16.15,Leighton Hldgs,36.56,-39,36.50,36.70,115,f,1.30,7.43,3.15,24.5
11.29,4.85,Lend Lease Grp stpld,9.50,,9.40,9.55,41,f,-,4.20,4.32,-
58.80,15.00,Macq Grp Ltd,47.55,2,47.50,47.59,126,,1.93,23.72,2.65,19.6
1.82,0.95,Macq Infra stpld,1.315,,1.31,1.33,20,p,-,1.73,15.21,-
0.355,0.071,Macq Office unt,0.29,-0.5,0.285,0.29,3.75,,-,0.49,12.93,-
2.95,1.291,MAP Grp forus,2.85,6,2.80,2.85,21,,5.66,-,7.37,2.4
4.74,3.80,Metcash Ltd,4.38,3,4.37,4.42,25,f,1.21,0.11,5.71,14.5
18.18,12.00,Milton Corp,17.55,-12,17.54,17.74,78,f,0.74,17.82,4.44,30.4
1.745,0.542,Mirvac Grp stpld,1.495,-2,1.495,1.505,5,,-,1.73,3.34,-
3.98,3.60,Myer Hldgs Ltd,3.77,,3.76,3.77,-,,-,-,-,-
32.37,15.85,National Aust Bank,27.95,-4,27.83,27.98,146,f,1.80,12.66,5.22,10.6
4.24,2.01,Navitas Ltd,3.95,4,3.91,4.00,14.3,f,1.00,-0.23,3.62,27.6
17.07,8.93,News Corp b voting,16.90,45,16.85,16.98,5.14,,14.51,-0.04,0.30,22.7
14.46,8.71,Nufarm Ltd,10.67,-1,10.65,10.67,27,,1.24,3.59,2.53,31.9
3.49,1.40,OneSteel Ltd,3.18,3,3.17,3.18,10,,2.26,1.66,3.14,14.1
25.91,10.75,Orica Ltd,25.17,11,24.98,25.18,97,p,1.50,1.71,3.85,17.3
17.30,12.34,Origin Energy,16.12,11,16.05,16.20,50,f,15.82,8.31,3.10,2.0
41.39,21.60,Perpetual Ltd,35.43,-146,35.40,35.49,100,f,0.96,3.46,2.82,36.9
6.34,2.90,Platinum Asset,5.15,5,5.09,5.18,20,f,1.12,-,3.88,22.9
9.15,3.268,Premier Invest,8.33,-9,8.23,8.37,35,f,1.78,2.07,4.20,13.3
6.56,3.61,Primary Health Care,5.73,-10,5.73,5.81,14,f,2.05,-,2.44,20.0
4.57,0.031,Prime Infr Grp stpld,3.91,9,3.90,3.94,-,,-,-,-,-
3.06,1.38,Qantas Airways,2.68,-1,2.68,2.69,6,,0.93,2.25,2.24,47.9
26.66,15.01,QBE Insurance Grp,23.88,54,23.75,23.88,127,p,1.68,5.17,5.32,11.2
12.09,8.91,Ramsay Health Care,10.67,-9,10.65,10.80,38,f,1.35,0.09,3.56,20.8
25.60,15.35,Reece Aust Ltd,23.00,30,22.55,23.00,51,f,1.90,5.35,2.22,23.7
6.67,4.46,ResMed Inc cdi 10:1,5.80,,5.79,5.83,-,,-,1.75,-,24.3
6.96,2.02,Seek Ltd,6.65,-1,6.62,6.67,9.2,f,2.04,0.51,1.38,35.4
29.15,14.44,Sims Metal Mgmt,21.35,-29,21.21,21.45,38,f,-,8.09,1.78,-
2.94,2.25,Singapore Tel cdi,2.36,-3,2.35,2.37,10.75,,1.93,0.61,4.56,11.4
14.85,9.96,Sonic Healthcare,14.60,9,14.50,14.61,57,p,0.82,-1.72,3.90,31.1
14.035,7.018,Soul Pattinson,13.48,18,13.35,13.50,32,f,14.57,10.91,2.37,2.9
1.119,0.725,SP AusNet stpld,0.87,2,0.865,0.875,9.92,p,0.81,0.91,11.40,10.8
1.47,0.83,Spark Infrastructure stpld,1.285,-0.5,1.275,1.285,15.98,,0.47,1.70,12.44,17.2
4.19,1.955,Stockland stpld,3.88,-5,3.88,3.91,34,p,-,3.61,8.76,-
9.59,4.36,Suncorp-Metway,8.42,-6,8.41,8.49,40,f,0.79,5.11,4.75,26.6
7.70,6.05,Tabcorp Hldgs Ltd,6.80,-5,6.78,6.81,65,f,1.43,-0.02,9.56,7.3
2.97,2.33,Tatts Grp Ltd,2.35,-2,2.34,2.35,21,f,1.04,-0.56,8.94,10.7
3.87,2.93,Telstra Corp,3.50,4,3.50,3.51,28,f,1.18,0.32,8.00,10.6
1.62,0.615,Ten Network Hldgs,1.555,2,1.535,1.58,2,,-,-0.35,1.29,-
9.07,4.38,Toll Hldgs Ltd,8.34,-8,8.33,8.34,25,f,1.60,1.58,3.00,20.9
4.80,1.52,Transfield Services,3.88,-2,3.86,3.89,12,f,-,0.02,3.09,-
3.156,1.03,Transpacific Indust,1.305,-5,1.305,1.325,10.1,,-,-3.39,7.74,-
5.64,3.51,Transurban stpld,5.50,-6,5.48,5.50,23,,-,2.79,4.18,-
15.97,6.64,UGL Ltd,13.42,3,13.42,13.43,64,f,1.36,-0.82,4.77,15.4
0.57,0.127,Virgin Blue Hldgs,0.555,0.5,0.555,0.56,-,,-,0.50,-,-
29.95,14.81,Wesfarmers Ltd,29.65,-8,29.57,29.69,110,f,1.45,3.14,3.71,18.5
8.48,3.62,West Aust News,7.51,-9,7.50,7.52,33,f,1.28,-,4.39,17.8
14.33,8.68,Westfield Grp stpld,11.78,-24,11.77,11.85,100.25,,-,11.02,8.51,-
27.57,14.40,Westpac Banking,23.60,-20,23.58,23.61,116,f,1.08,7.89,4.92,18.8
30.57,24.36,Woolworths Ltd,27.10,-10,27.06,27.10,104,f,1.45,1.54,3.84,18.0
31.79,11.60,WorleyParsons Ltd,27.93,42,27.85,27.99,93,f,1.73,-0.03,3.33,17.3
6.65,3.10,Wotif Com Hldgs,6.42,-12,6.36,6.50,17.5,f,1.19,-0.08,2.73,30.7
