100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:05 Friday 28/5/2010. Processed 07:23 Saturday 29/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,2.03,Adelaide Brighton,2.72,8,2.71,2.73,13.5,f,1.51,1.21,4.96,13.3
15.69,13.07,AGL Energy Ltd,13.51,-17,13.51,13.75,57,f,0.47,6.21,4.22,50.0
6.76,4.276,Amcor Ltd,6.16,19,6.16,6.17,29.5,,0.71,2.25,4.79,29.5
6.97,4.55,AMP Ltd,5.65,22,5.60,5.66,30,p,1.24,0.80,5.31,15.2
13.48,8.16,Ansell Ltd,12.51,49,12.30,12.51,29,,2.82,1.92,2.32,15.3
26.23,15.67,ANZ Banking Grp,22.52,43,22.50,22.58,108,f,1.34,9.99,4.80,15.6
3.79,2.60,APA Grp stp,3.51,7,3.48,3.51,31.75,,0.79,-,9.05,14.0
2.61,1.27,APN News & Media,2.20,3,2.08,2.21,4,f,4.17,-0.78,1.82,13.2
7.05,5.61,Argo Invest,5.98,16,5.98,5.99,25,f,-,6.54,4.18,-
5.75,3.37,Aristocrat Leisure,4.04,8,3.98,4.05,4.5,,-,0.07,1.11,-
1.94,1.061,Asciano Grp stp,1.60,-2,1.59,1.605,-,,-,0.10,-,-
37.90,30.70,ASX Ltd,31.13,-37,31.04,31.15,163.6,f,1.10,3.19,5.26,17.2
5.41,4.26,Aust Foundation,4.89,13,4.82,4.89,21,f,0.43,5.08,4.29,54.8
1.465,0.72,Austar United,0.985,-1,0.955,0.995,-,,-,-0.31,-,21.0
3.05,1.835,Australand Prop stp,2.45,,2.42,2.46,5,,-,0.68,2.04,-
6.72,3.51,AXA Asia Pacific,5.85,15,5.80,5.86,18.5,p,1.89,1.12,3.16,16.8
13.49,7.621,Bank of Qld,11.19,29,11.11,11.20,52,f,1.78,7.20,4.65,12.1
10.48,6.00,Bendigo & Adelaide,8.48,8,8.48,8.59,43,f,0.83,5.16,5.07,23.9
12.32,7.77,Billabong Intl,10.12,17,10.11,10.12,36,p,1.59,0.84,3.56,17.7
3.48,2.06,BlueScope Steel,2.31,3,2.30,2.32,5,,-,2.47,2.16,-
4.10,1.009,Boart Longyear,2.79,6,2.75,2.80,-,,-,0.14,-,-
6.40,3.77,Boral Ltd,5.61,22,5.61,5.68,12.5,f,1.82,4.23,2.23,24.7
8.37,5.54,Brambles Ltd,6.54,5,6.51,6.54,25,p,1.38,0.66,3.82,19.0
16.80,10.88,Brickworks Ltd,12.10,45,12.07,12.10,39.5,f,2.54,9.06,3.26,12.0
14.00,8.01,Caltex Aust,11.23,51,11.17,11.25,25,f,4.65,10.48,2.23,9.7
32.00,17.981,Campbell Brothers,28.40,58,28.40,28.45,100,p,1.29,3.76,3.52,22.0
5.86,3.56,Carsales Com Ltd,5.10,10,5.06,5.22,6.6,f,1.24,0.01,1.29,62.2
2.12,1.575,CFS Retail Prop unt,1.935,4,1.915,1.935,12.5,,-,1.99,6.46,-
4.50,2.01,Challenger FSG Ltd,3.75,18,3.68,3.75,13.5,,2.61,3.36,3.60,10.7
0.355,0.19,Charter Hall Office unt,0.265,0.5,0.26,0.265,2.5,,4.01,0.44,9.43,2.6
11.81,8.26,Coca-Cola Amatil,10.84,12,10.83,10.88,43.5,f,1.39,1.38,4.01,17.9
77.66,51.25,Cochlear Ltd,73.19,68,73.18,73.40,190,f,1.27,3.25,2.60,30.2
60.00,35.05,C'wlth Bank  of Aust ,52.12,139,52.11,52.15,235,f,1.41,-,4.51,15.8
1.045,0.735,C'wlth Prop ord unt   ,0.94,2.5,0.935,0.94,6.85,,-,1.11,7.29,-
12.90,8.45,Computershare Ltd,10.87,,10.81,10.93,25,p,2.27,-1.54,2.30,19.1
0.49,0.273,ConnectEast stp,0.39,-0.5,0.39,0.395,2,,-,-,5.13,-
3.44,2.17,Consolidated Media,3.10,5,3.08,3.11,16.5,f,3.48,0.88,5.32,5.4
9.39,6.41,Crown Ltd,7.70,5,7.55,7.75,37,p,-,3.24,4.81,-
37.56,28.93,CSL Ltd,31.40,85,31.39,31.43,75,,2.85,6.11,2.39,14.7
2.18,1.45,CSR Ltd,1.695,3.5,1.69,1.695,8.5,f,-,1.04,5.01,-
5.96,3.61,David Jones Ltd,4.40,16,4.38,4.41,29,f,1.14,1.22,6.59,13.3
0.89,0.66,DEXUS Prop Grp stp,0.775,3.5,0.775,0.78,6.15,,-,0.95,7.94,-
9.44,4.51,Downer EDI Ltd,6.31,22,6.28,6.32,29.1,,1.87,2.15,4.61,11.6
1.90,1.42,DUET Grp forus,1.62,2.5,1.615,1.625,20,p,0.22,-,12.35,36.9
1.885,1.07,Fairfax Media Ltd,1.50,5.5,1.475,1.515,1.1,,8.45,-0.31,0.73,16.1
21.43,7.21,Flight Centre,16.40,3,16.35,16.43,26,f,2.44,2.56,1.59,25.9
5.89,4.87,Foster's Grp,5.50,-4,5.49,5.51,27.25,f,0.73,0.52,4.95,27.8
1.78,1.205,Goodman Fielder,1.36,-1,1.355,1.36,11.25,,1.28,-0.16,8.27,9.4
0.75,0.218,Goodman Grp forus,0.62,3,0.615,0.62,1.5,,-,0.50,2.42,-
2.84,0.45,GPT Grp stp,2.68,10,2.65,2.68,3.6,,-,0.69,1.34,-
4.85,2.75,Harvey Norman,3.45,11,3.45,3.46,13,f,1.98,2.10,3.77,13.4
5.45,3.93,Healthscope Ltd,5.23,3,5.19,5.24,22.5,f,1.32,0.66,4.30,17.6
2.67,1.65,Henderson Grp cdi,2.36,8,2.30,2.37,10.69,,0.30,-0.18,4.53,73.1
0.14,0.09,Hutchison,0.095,,0.095,0.097,-,,-,0.10,-,1.5
3.83,2.14,Incitec Pivot,3.01,2,3.00,3.02,4.1,,-,0.27,1.36,-
0.67,0.43,ING Office Fd stp,0.58,3.5,0.575,0.58,5.05,,-,0.74,8.71,-
4.21,3.32,Insurance Aust Grp,3.65,7,3.61,3.66,14.5,f,1.73,1.29,3.97,14.6
1.71,1.005,Intoll Grp stp,1.04,1.5,1.025,1.05,12,,-,1.78,11.54,-
7.40,3.682,IOOF Hldgs Ltd,6.32,9,6.30,6.34,21,f,0.93,0.56,3.32,32.4
8.86,3.73,James Hardie Ind cdi,7.40,29,7.39,7.45,-,,-,-0.40,-,39.2
23.71,12.42,JB Hi-Fi Ltd,18.83,14,18.81,18.88,62,f,1.67,1.71,3.29,18.2
41.70,21.10,Leighton Hldgs,32.69,149,32.50,32.70,120,f,1.73,7.52,3.67,15.7
10.907,6.376,Lend Lease Grp stp,7.76,19,7.76,7.81,36,f,1.20,3.99,4.64,18.0
58.80,32.28,Macq Grp Ltd,44.10,82,44.06,44.18,186,,1.72,25.82,4.22,13.8
3.38,1.998,MAP Grp forus,2.77,1,2.75,2.78,19,,-,-0.30,6.86,-
4.74,3.86,Metcash Ltd,3.95,4,3.94,3.99,25,f,1.21,0.11,6.33,13.0
19.40,14.25,Milton Corp,16.36,26,16.35,16.50,70,f,0.64,18.37,4.28,36.6
1.745,0.993,Mirvac Grp stp,1.29,5.5,1.285,1.295,6.2,,-,-,4.81,-
3.98,2.86,Myer Hldgs Ltd,3.21,12,3.18,3.21,10.5,f,0.39,-0.21,3.27,78.3
32.37,21.23,National Aust Bank,24.78,63,24.78,24.84,147,f,1.36,12.41,5.93,12.4
5.56,2.58,Navitas Ltd,4.79,21,4.76,4.80,16.9,f,0.99,-0.25,3.53,28.5
20.18,12.01,News Corp b voting,18.44,42,18.28,18.50,5.14,,14.51,0.45,0.28,24.7
