100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4401.2 at 16:37 8/6/2010  Report at 19:05 Tuesday 8/6/2010. Processed 21:06 Tuesday 8/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
8.86,3.73,James Hardie Ind cdi,7.12,-11,7.08,7.16,-,,-,-0.29,-,-
23.71,14.05,JB Hi-Fi Ltd,18.75,12,18.70,18.80,62,f,1.67,1.71,3.31,18.1
41.70,21.10,Leighton Hldgs,31.18,47,30.95,31.18,120,f,1.73,7.52,3.85,15.0
10.907,6.376,Lend Lease Grp stp,7.46,-3,7.40,7.48,36,f,1.20,3.99,4.83,17.3
58.80,34.81,Macq Grp Ltd,42.77,40,42.61,42.82,186,,1.72,25.82,4.35,13.4
3.38,1.998,MAP Grp forus,2.86,4,2.85,2.87,19,,-,-0.30,6.64,-
4.74,3.84,Metcash Ltd,4.14,4,4.10,4.15,26,f,1.14,0.12,6.28,13.9
19.40,14.25,Milton Corp,16.22,-1,16.22,16.26,70,f,0.64,18.37,4.32,36.3
1.745,1.01,Mirvac Grp stp,1.275,-0.5,1.27,1.275,6.2,,-,-,4.86,-
3.98,2.86,Myer Hldgs Ltd,3.04,-3,3.04,3.06,10.5,f,0.39,-0.21,3.45,74.1
32.37,21.23,National Aust Bank,24.10,48,24.07,24.14,147,f,1.36,12.41,6.10,12.1
5.56,2.61,Navitas Ltd,4.40,15,4.30,4.42,16.9,f,0.99,-0.25,3.84,26.2
20.18,12.01,News Corp b voting,18.09,34,18.08,18.19,5.14,,14.51,0.45,0.28,24.3
11.819,5.56,Nufarm Ltd,5.65,7,5.61,5.75,15,,-,3.07,2.65,-
4.15,2.31,OneSteel Ltd,3.03,6,3.01,3.05,9,,0.61,1.72,2.97,55.6
27.75,18.98,Orica Ltd,25.00,15,24.95,25.15,98,p,1.04,1.31,3.92,24.4
17.94,13.32,Origin Energy,15.40,36,15.27,15.44,50,f,1.45,8.48,3.25,21.3
41.39,25.23,Perpetual Ltd,29.22,55,29.20,29.40,165,f,1.11,4.46,5.65,15.9
6.34,3.76,Platinum Asset,4.84,8,4.75,4.88,20,f,1.17,-,4.13,20.7
6.56,3.63,Primary Health Care,3.75,-3,3.72,3.79,22,f,1.91,-1.15,5.87,8.9
