Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-08-20T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles,ordinary,ONT,F,8.0,-,15.5,100,-,-,6.5,7.2,30 Sep,7 Oct,12 Oct,1,,
Academies A'asia,ordinary,AKG,F,2.0,-,4.0,100,-,-,-,-,9 Sep,15 Sep,30 Sep,1,,
Adelaide Brighton,ordinary,ABC,I,7.5,-,7.5,100,-,-,10.0,-,24 Aug,30 Aug,10 Oct,1,,
Adelaide Mgd,units,AYT,F,0.839,-,1.789,-,-,-,-,3.903,24 Jun,30 Jun,31 Aug,0,,
Agricultural Land,ordinary units,AGJ,F,-,1.49,0.96,-,3,-,1.1,0.92,24 Jun,30 Jun,27 Sep,0,,
Alcoa Inc,chess depositary int,AAI,Q1,2.3073,-,2.3073,-,-,-,8.0918,2.3836,29 Jul,5 Aug,25 Aug,0,,
ALE Prop Grp,stapled securities,LEP,F,9.75,-,19.75,-,3,-,12.0,12.0,24 Jun,30 Jun,31 Aug,0,,
Alesco Corp,ordinary,ALS,F,12.5,-,14.0,100,4,-,7.0,-,12 Aug,18 Aug,6 Sep,0,,
Alumina,ordinary,AWC,I,2.9,-,2.9,100,4,-,2.2324,-,16 Aug,22 Aug,7 Sep,0,,
AMCIL,ordinary,AMH,F,3.5,-,3.5,100,4,-,-,2.0,11 Aug,17 Aug,26 Aug,0,,
AMP,ordinary,AMP,I,15.0,-,15.0,30.00,3,-,15.0,-,5 Sep,9 Sep,14 Oct,1,,
Anglogold Ashanti,cdi  5:1,AGG,I,-,-,-,-,-,-,2.0818,-,29 Aug,2 Sep,9 Sep,0,,
Ansell,ordinary,ANN,F,19.0,-,33.0,-,-,-,13.0,17.5,23 Aug,29 Aug,21 Sep,1,,
