Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-16T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aditya Birla,ordinary,ABY,F,5.0,-,5.0,-,-,-,-,9.0,5 Jun,12 Jun,26 Jun,0,,
ANZ Banking Grp,ordinary,ANZ,I,66.0,-,66.0,100,3,3,64.0,-,10 May,16 May,2 Jul,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,270.86,-,501.58,-,-,-,-,-,13 Aug,17 Aug,3 Sep,0,,
Ardent Leisure Grp,stapled securities,AAD,F,-,5.2,6.5,-,3,-,6.5,5.0,25 Jun,29 Jun,31 Aug,1,,
Aust Enhanced,units,AYF,F,11.25,-,47.5,41.37,3,-,37.5,12.5,25 Jun,29 Jun,16 Jul,1,,
Bendigo & Adelaide Bk,reset conv pref,BENPA,F,309.68,-,616.84,100,-,-,305.47,310.53,11 Oct,17 Oct,1 Nov,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,F,105.0,-,445.0,100,-,-,348.0,116.0,19 Jun,25 Jun,10 Jul,0,,
BetaShares Aust HIC,etf units,AAA,I,18.7759,-,18.7759,-,-,-,-,-,1 Jun,7 Jun,19 Jun,0,,
BT Invest Mgt,ordinary,BTT,I,5.5,-,5.5,100,-,-,6.0,-,14 May,18 May,2 Jul,0,,
BWP Trust,ordinary units,BWP,F,-,8.0,6.63,-,3,-,6.18,5.8,25 Jun,29 Jun,29 Aug,1,,
Campbell Brothers,ordinary,CPB,F,130.0,-,225.0,50.00,3,-,65.0,75.0,4 Jun,8 Jun,2 Jul,0,,
Cellnet Grp,ordinary,CLT,I,10.0,-,10.0,100,-,-,1.0,2.5,14 Jun,20 Jun,29 Jun,1,,
Charter Hall Ret REIT,units,CQR,F,13.1,-,26.1,-,4,-,12.0,12.8,25 Jun,29 Jun,21 Aug,1,,
CI Res,ordinary,CII,I,1.0,-,1.0,100,-,-,1.0,-,15 Jun,21 Jun,28 Jun,1,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q1,262.89,-,262.89,100,-,-,870.61,267.25,18 Jul,24 Jul,31 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls iv),CBAPB,Q1,179.97,-,179.97,100,-,-,412.96,186.12,18 Jul,24 Jul,31 Jul,0,,
CSR,ordinary,CSR,F,7.0,-,13.0,100,3,-,9.13,5.3,7 Jun,14 Jun,9 Jul,0,,
DEXUS Rents Tr,rents,DXRPA,F,137.0,-,589.0,-,-,-,465.0,154.0,8 Jun,15 Jun,29 Jun,0,,
DUET Grp,stapled us prohibit.,DUE,F,8.0,-,16.0,-,3,-,10.0,10.0,25 Jun,29 Jun,14 Aug,1,,
E & A,ordinary,EAL,I,2.0,-,2.0,100,3,-,-,-,12 Jun,18 Jun,29 Jun,0,,
Fisher & Paykel Health,ordinary,FPH,F,5.4658,-,9.5911,-,3,-,4.1832,5.3358,18 Jun,22 Jun,6 Jul,0,,
Gloucester Coal,ordinary,GCL,I,47.0,-,47.0,100,-,-,-,-,18 Jun,22 Jun,25 Jun,1,,
