Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-30T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
8I Hldgs,cdi 1:1,8IH,F,0.9397,-,0.9397,-,-,-,-,-,10 Jul,14 Jul,31 Aug,0,,
AIMS Prop Sec Fund,units,APW,I,-,0.1791,-,-,4,-,0.15,0.0901,27 Mar,31 Mar,19 Jun,0,,
ANZ Banking Grp,ordinary,ANZ,I,86.0,-,86.0,100,3,3,83.0,-,8 May,12 May,1 Jul,0,,
ANZ Banking Grp,ctg pre 3m per t,ANZPA,I,94.59,-,94.59,100,-,-,201.9,100.26,26 May,28 May,15 Jun,0,,
ANZ Banking Grp,ctg pre 6m per t,ANZPC,I,190.04,-,190.04,100,-,-,197.5,200.23,13 Aug,17 Aug,1 Sep,0,,
ANZ Banking Grp,cn 6m per q rd t,ANZPD,I,200.57,-,200.57,100,-,-,237.75,210.71,20 Aug,24 Aug,1 Sep,0,,
ANZ Banking Grp,cn 6m per q rd t,ANZPE,I,196.02,-,196.02,100,-,-,-,202.99,14 Sep,16 Sep,24 Sep,0,,
ANZ Banking Grp,cap note 3,ANZPF,I,232.81,-,232.81,100,-,-,-,-,14 Sep,16 Sep,24 Sep,0,,
Aristocrat Leisure,ordinary,ALL,I,8.0,-,8.0,-,4,-,8.0,-,29 May,2 Jun,3 Jul,1,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.45,-,0.45,72.59,3,-,0.5,-,28 May,1 Jun,19 Jun,1,,
AusNet Services,stapled securities,AST,F,4.18,-,8.36,53.04,3,-,-,-,9 Jun,11 Jun,26 Jun,0,,
Aust Pharmaceutical,ordinary,API,I,2.0,-,2.0,100,-,-,1.5,-,6 May,8 May,5 Jun,0,,
Bendigo&Adelaide Bk,cn 3m per q rd t,BENPB,I,66.67,-,66.67,100,4,4,217.26,72.34,20 May,22 May,15 Jun,0,,
