Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 11/9/2010|. Processed 16:43 Sunday 12/9/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles Ltd,ordinary,ONT,F,7.2,-,13.7,100,-,-,-,6,1/10/10,8/10/10,14/10/10,,,,,,,,,
AP Eagers Ltd,ordinary,APE,I,23,-,23,100,4,-,22,-,9/9/10,15/9/10,30/9/10,,,,,,,,,
Adelaide Brighton,ordinary,ABC,I,10,-,10,100,4,-,5.5,-,25/8/10,31/8/10,11/10/10,,,,,,,,,
Adtrans Grp,ordinary,ADG,F,15,-,23,100,4,-,-,12,8/9/10,14/9/10,8/10/10,,,,,,,,,
Aevum Ltd,ordinary,AVE,F,3,-,5,-,4,-,2,2,30/9/10,7/10/10,21/10/10,,,,,,,,,
AGL Energy Ltd,ordinary,AGK,F,30,-,59,-,3,-,-,28,6/9/10,10/9/10,30/9/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,F,0.92,-,2.02,-,3,-,-,1.027,24/6/10,30/6/10,27/9/10,,,,,,,,,
Air New Zealand,ordinary,AIZ,F,3.1987,-,5.5216,-,3,-,2.3685,2.8747,6/9/10,10/9/10,21/9/10,,,,,,,,,
Amalg Hldgs,ordinary,AHD,F,23,-,37,100,4,-,-,21,27/8/10,2/9/10,16/9/10,,,,,,,,,
Amcom Telecomm,ordinary,AMM,F,1,-,1.4,100,-,-,-,0.5,18/10/10,22/10/10,10/11/10,,,,,,,,,
Amcor Ltd,ordinary,AMC,F,17,-,29.5,-,3,-,-,17,2/9/10,8/9/10,1/10/10,,,,,,,,,
Ammtec Ltd,ordinary,AEC,F,11,-,17.5,100,3,-,-,10,11/10/10,15/10/10,29/10/10,,,,,,,,,
AMP Ltd,ordinary,AMP,I,15,-,15,60,3,-,14,-,6/9/10,10/9/10,15/10/10,,,,,,,,,
Ansell Ltd,ordinary,ANN,F,17.5,-,30.5,-,-,-,-,16,31/8/10,6/9/10,29/9/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,Q1,141.3,-,141.3,100,-,-,121.09,132.86,25/8/10,31/8/10,15/9/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q1,130.71,-,130.71,100,-,-,322.69,122.27,25/8/10,31/8/10,15/9/10,,,,,,,,,
APA Grp,stapled securities,APA,F,17,-,32.75,-,3,-,-,16,24/6/10,30/6/10,15/9/10,,,,,,,,,
APN News & Media,ordinary,APN,I,5,-,5,-,3,-,-,12,1/9/10,7/9/10,28/9/10,,,,,,,,,
Aquarius Platinum,ordinary,AQP,F,4.4798,-,6.7481,-,-,-,-,-,6/9/10,10/9/10,1/10/10,,,,,,,,,
ARB Corp,ordinary,ARP,F,12,-,19.5,100,4,4,40,-,1/10/10,8/10/10,22/10/10,,,,,,,,,
Ariadne Aust,ordinary,ARA,F,1.5,-,1.5,-,-,-,-,1,30/8/10,3/9/10,30/9/10,,,,,,,,,
Aristocrat Leisure,ordinary,ALL,I,3.5,-,3.5,-,3,-,4.5,-,3/9/10,9/9/10,30/9/10,,,,,,,,,
ASG Grp Ltd,ordinary,ASZ,F,5,-,6.5,100,3,-,-,4.5,20/9/10,24/9/10,7/10/10,,,,,,,,,
ASK Funding Ltd,ordinary,AKF,F,0.36,-,0.36,100,4,-,-,1.3,24/9/10,30/9/10,15/10/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,Q1,1.05,-,1.05,-,3,-,3.15,1.05,24/9/10,30/9/10,18/11/10,,,,,,,,,
ASX Ltd,ordinary,ASX,F,84,-,173.1,100,3,-,-,74.5,30/8/10,3/9/10,27/9/10,,,,,,,,,
Auckland Internation,ordinary,AIA,F,-,-,2.9382,-,3,-,-,3.7464,1/10/10,8/10/10,22/10/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,F,11,-,52,-,3,-,-,25,24/6/10,30/6/10,17/9/10,,,,,,,,,
Ausdrill Ltd,ordinary,ASL,F,6,-,11,100,3,-,-,6,14/10/10,20/10/10,29/10/10,,,,,,,,,
Austal Ltd,ordinary,ASB,F,6,-,6,100,-,-,-,6,17/9/10,23/9/10,7/10/10,,,,,,,,,
Austbrokers Hldgs,ordinary,AUB,F,15,-,22.5,100,3,-,-,13.5,29/9/10,6/10/10,22/10/10,,,,,,,,,
Austereo Grp Ltd,ordinary,AEO,F,5.7,-,9.7,100,-,-,-,5.1,25/10/10,29/10/10,19/11/10,,,,,,,,,
Austin Engineer,ordinary,ANG,F,7.5,-,9.5,100,-,-,-,6.5,6/9/10,10/9/10,8/10/10,,,,,,,,,
Aust Education,units,AEU,Q1,0.67,-,0.67,-,-,-,-,-,31/8/10,6/9/10,20/9/10,,,,,,,,,
Aust Ethical,ordinary,AEF,F,150,-,200,100,4,-,-,132,20/9/10,24/9/10,15/10/10,,,,,,,,,
Aust United Invest,ordinary,AUI,F,14,-,25.5,100,3,-,-,13.5,23/8/10,27/8/10,24/9/10,,,,,,,,,
Automotive Hldgs,ordinary,AHE,F,10,-,17,100,-,-,-,10,13/9/10,17/9/10,1/10/10,,,,,,,,,
Avjennings Ltd,ordinary,AVJ,F,1.5,-,1.5,100,4,-,-,-,13/9/10,17/9/10,30/9/10,,,,,,,,,
AXA Asia Pacific,ordinary,AXA,I,9.25,-,9.25,10,4,-,9.25,-,16/8/10,20/8/10,13/9/10,,,,,,,,,
Beach Energy Ltd,ordinary,BPT,F,1,-,1.75,50,3,-,2,-,6/9/10,10/9/10,24/9/10,,,,,,,,,
Bell Financial Grp,ordinary,BFG,I,2.5,-,2.5,100,-,-,2,-,2/9/10,8/9/10,23/9/10,,,,,,,,,
Belmont Hldgs,ordinary,BET,F,3.5,-,3.5,100,-,-,-,-,24/9/10,30/9/10,20/10/10,,,,,,,,,
Bendigo & Adelaide,ordinary,BEN,F,30,-,58,100,3,3,28,15,27/8/10,2/9/10,30/9/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,F,310.53,-,616,100,-,-,305.47,310.53,11/10/10,15/10/10,1/11/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q1,113.07,-,113.07,100,-,-,270.32,104.63,19/8/10,25/8/10,15/9/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q1,116,-,116,100,-,-,286,110,20/9/10,24/9/10,11/10/10,,,,,,,,,
Bendigo Min Ltd,ordinary,BDG,F,0.5,-,0.5,-,-,-,-,0.5,1/9/10,7/9/10,27/9/10,,,,,,,,,
Bentley Capital,ordinary,BEL,F,1,-,2,100,3,-,1,-,16/9/10,22/9/10,30/9/10,,,,,,,,,
Berklee Ltd,ordinary,BER,F,2,-,2,100,-,-,12,-,12/10/10,18/10/10,29/10/10,,,,,,,,,
Beyond Intl,ordinary,BYI,F,3,-,6,-,-,-,-,3,20/9/10,24/9/10,17/11/10,,,,,,,,,
BHP Billiton Ltd,ordinary,BHP,F,52.0773,-,98.548,100,-,-,-,48.6849,6/9/10,10/9/10,30/9/10,,,,,,,,,
Billabong,ordinary,BBG,F,18,-,36,50,3,-,27,18,20/9/10,24/9/10,22/10/10,,,,,,,,,
Biotech Capital,ordinary,BTC,F,2,-,2,-,-,-,-,-,3/9/10,9/9/10,13/9/10,,,,,,,,,
Blackmores Ltd,ordinary,BKL,F,70,-,112,100,4,-,-,57,27/8/10,2/9/10,20/9/10,,,,,,,,,
BlueScope Steel,ordinary,BSL,F,5,-,5,100,3,-,-,-,20/9/10,24/9/10,20/10/10,,,,,,,,,
Boral Ltd,ordinary,BLD,F,6.5,-,13.5,100,3,-,-,5.5,24/8/10,30/8/10,28/9/10,,,,,,,,,
Bradken Ltd,ordinary,BKN,F,21,-,34,100,3,-,10,13,16/8/10,20/8/10,13/9/10,,,,,,,,,
Brambles Ltd,ordinary,BXB,F,12.5,-,25,20,3,-,-,12.5,16/9/10,22/9/10,14/10/10,,,,,,,,,
Breville Grp Ltd,ordinary,BRG,F,5,-,11,-,4,-,-,1.5,13/9/10,17/9/10,6/10/10,,,,,,,,,
Brierty Ltd,ordinary,BYL,F,1,-,1.5,100,-,-,-,1,10/9/10,16/9/10,30/9/10,,,,,,,,,
BSA Ltd,ordinary,BSA,F,1,-,2,100,3,-,1,1,8/9/10,14/9/10,8/10/10,,,,,,,,,
Cabcharge Aust,ordinary,CAB,F,17,-,34,100,-,-,-,17,24/9/10,30/9/10,29/10/10,,,,,,,,,
Caltex Aust,ordinary,CTX,I,30,-,30,100,-,-,-,-,1/9/10,7/9/10,28/9/10,,,,,,,,,
Cardno Ltd,ordinary,CDD,F,15,-,29,100,3,-,-,14,13/9/10,17/9/10,15/10/10,,,,,,,,,
Carlton Invest,ordinary,CIN,F,40,-,67,100,4,4,-,40,26/8/10,1/9/10,15/9/10,,,,,,,,,
Carlton Invest,7% cum.pref.,CINPA,F,7,-,14,100,4,4,-,7,26/8/10,1/9/10,15/9/10,,,,,,,,,
Carsales Com Ltd,ordinary,CRZ,F,8.3,-,14.9,100,-,-,-,-,16/9/10,22/9/10,6/10/10,,,,,,,,,
Cash Converters,ord/div access,CCV,F,1.5,-,3,100,-,-,-,1.5,10/9/10,16/9/10,30/9/10,,,,,,,,,
Cedar Woods Prop,ordinary,CWP,F,8,-,13,100,3,-,-,7,11/10/10,15/10/10,29/10/10,,,,,,,,,
Cellestis Ltd,ordinary,CST,F,3.5,-,5,100,-,-,-,2,27/9/10,1/10/10,15/10/10,,,,,,,,,
