Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 13/3/2010|. Processed 12:47 Sunday 14/3/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles Ltd,ordinary,ONT,I,6.5,-,6.5,100,-,-,-,4.5,9/3/10,15/3/10,26/3/10,,,,,,,,,
AP Eagers Ltd,ordinary,APE,F,40,-,62,100,4,-,22,22,22/3/10,26/3/10,9/4/10,,,,,,,,,
Adelaide Brighton,ordinary,ABC,F,8,-,13.5,100,4,-,6.5,8.5,23/2/10,1/3/10,12/4/10,,,,,,,,,
Adtrans Grp,ordinary,ADG,I,8,-,8,100,-,-,-,15.5,23/3/10,29/3/10,14/4/10,,,,,,,,,
Aevum Ltd,ordinary,AVE,I,2,-,2,-,3,-,2,-,26/2/10,4/3/10,24/3/10,,,,,,,,,
AGL Energy Ltd,ordinary,AGK,I,29,-,29,100,3,-,-,27,4/3/10,11/3/10,7/4/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,I,1.1,-,1.1,-,3,-,-,2.05,23/12/09,31/12/09,26/3/10,,,,,,,,,
Air New Zealand,ordinary,AIZ,I,2.3274,-,2.3274,-,3,-,2.3685,-,9/3/10,15/3/10,26/3/10,,,,,,,,,
Alumina Ltd,ordinary,AWC,F,2,-,2,100,4,-,12,-,12/2/10,18/2/10,19/3/10,,,,,,,,,
Amalg Hldgs,ordinary,AHD,I,14,-,14,100,3,-,-,19,26/2/10,4/3/10,29/3/10,,,,,,,,,
Ambertech Ltd,ordinary,AMO,I,3.5,-,3.5,100,4,-,-,2,10/3/10,16/3/10,31/3/10,,,,,,,,,
Amcom Telecomm,ordinary,AMM,I,0.4,-,0.4,100,-,-,-,0.4,22/3/10,26/3/10,16/4/10,,,,,,,,,
Amcor Ltd,ordinary,AMC,I,12.5,-,12.5,-,3,-,-,17,2/3/10,9/3/10,31/3/10,,,,,,,,,
Ammtec Ltd,ordinary,AEC,I,6.5,-,6.5,100,3,-,-,14,1/4/10,9/4/10,30/4/10,,,,,,,,,
AMP Ltd,ordinary,AMP,F,16,-,30,50,3,-,24,16,23/2/10,1/3/10,14/4/10,,,,,,,,,
