Weekly Roundup - ASX Dividends Declared
"Processed Monday at 21/09/2015 3:58:12 PM."



Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable
1300 Smiles,ordinary,ONT,F,10.2,-,19.2,100,-,-,6.5,8.0,2 Oct,7 Oct,16 Oct,
360 Capital Total Re,stapled,TOT,F,1.2,-,4.01,-,-,-,-,-,31 Aug,2 Sep,23 Oct,
3P Learning,ordinary,3PL,F,1.8,-,1.8,100,3,-,-,-,6 Oct,8 Oct,22 Oct,
AP Eagers,ordinary,APE,I,12.0,-,12.0,100,-,-,9.0,-,14 Sep,16 Sep,7 Oct,
Adelaide Brighton,ordinary,ABC,I,12.0,-,12.0,100,4,-,7.5,-,3 Sep,7 Sep,9 Oct,
AGL Energy,ordinary,AGL,F,34.0,-,64.0,100,3,-,-,-,25 Aug,27 Aug,24 Sep,
Ainsworth Game Tech,ordinary,AGI,F,5.0,-,10.0,100,4,-,5.0,5.0,8 Sep,10 Sep,29 Sep,
Air New Zealand,ordinary,AIZ,F,8.5825,-,14.8008,-,4,-,4.2143,13.9126,9 Sep,11 Sep,21 Sep,
Altium,ordinary,ALU,F,8.0,-,16.0,-,-,-,4.0,8.0,23 Sep,25 Sep,16 Oct,
Alumina,ordinary,AWC,I,6.4185,-,6.4185,100,3,-,-,-,31 Aug,2 Sep,28 Sep,
AMA Grp,ordinary,AMA,F,1.7,-,1.7,100,-,-,-,1.6,11 Sep,15 Sep,30 Oct,
Amcor,ordinary,AMC,F,28.5598,-,52.9598,-,3,-,19.5,23.5,7 Sep,9 Sep,30 Sep,
AMP,ordinary,AMP,I,14.0,-,14.0,85.00,3,-,12.5,-,1 Sep,3 Sep,9 Oct,
ANZ Banking Grp,ctg pre 3m per t,ANZPA,I,92.15,-,92.15,100,-,-,199.53,100.96,26 Nov,30 Nov,15 Dec,
ANZ Banking Grp,ctg pre 6m per t,ANZPC,I,184.47,-,184.47,100,-,-,200.35,-,11 Feb,15 Feb,1 Mar,
ANZ Banking Grp,cn 6m per q rd t-21,ANZPD,I,194.94,-,194.94,100,-,-,210.82,-,18 Feb,22 Feb,1 Mar,
ANZ Banking Grp,cn 6m per q rd t-22,ANZPE,I,196.02,-,196.02,100,-,-,-,202.99,14 Sep,16 Sep,24 Sep,
ANZ Banking Grp,cn 6m per q rd t-23,ANZPF,I,232.81,-,232.81,100,-,-,-,-,14 Sep,16 Sep,24 Sep,
APN Outdoor Grp,ordinary,APO,I,4.5,-,4.5,100,-,-,-,-,4 Sep,8 Sep,21 Sep,
APN Prop Grp,ordinary,APD,F,0.25,-,1.5,100,-,-,1.25,-,28 Sep,30 Sep,16 Oct,
Appen,ordinary,APX,I,1.2,-,1.2,100,-,-,-,-,2 Sep,4 Sep,25 Sep,
ARB Corp,ordinary,ARB,F,16.0,-,16.0,100,-,-,-,-,7 Oct,9 Oct,23 Oct,
Arena REIT,stapled,ARF,I,2.675,-,2.675,-,3,-,2.4375,-,28 Sep,30 Sep,12 Nov,
Ariadne Aust,ordinary,ARA,F,0.5,-,1.0,40.00,-,-,0.5,0.5,11 Sep,15 Sep,29 Sep,
Asaleo Care,ordinary,AHY,I,4.0,-,4.0,-,-,-,-,-,31 Aug,2 Sep,24 Sep,
Ashley Services Grp,ordinary,ASH,F,4.1,-,6.4,100,-,-,-,-,2 Sep,4 Sep,25 Sep,
Asia Pacific Data,ordinary stapled sec,AJD,I,2.3,-,2.3,-,-,-,-,-,28 Sep,30 Sep,28 Oct,
Asian Masters Fund,ordinary,AUF,F,1.1,-,1.1,-,3,-,1.0,1.0,26 Aug,28 Aug,23 Sep,
ASX,ordinary,ASX,F,95.1,-,187.4,100,4,-,88.2,89.9,2 Sep,4 Sep,23 Sep,
Auckland Airport,ordinary,AIA,F,6.4579,-,13.5352,-,-,-,-,6.2416,30 Sep,2 Oct,16 Oct,
Aurizon Hldgs Ltd,ordinary,AZJ,F,13.9,-,24.0,30.00,-,-,8.0,8.5,28 Aug,1 Sep,28 Sep,
Aust Gov Index Fund,ordinary,AQF,F,3.0,-,6.0,100,3,-,3.0,3.0,24 Aug,26 Aug,24 Sep,
Aust Careers Network,ordinary,ACO,F,13.0,-,13.0,100,-,-,-,-,7 Sep,9 Sep,23 Sep,
Austal,ordinary,ASB,F,3.0,-,4.0,100,3,-,-,-,10 Sep,14 Sep,1 Oct,
Austbrokers Hldgs,ordinary,AUB,F,27.7,-,39.7,100,3,-,12.0,26.5,1 Oct,6 Oct,30 Oct,
Austock Grp,ordinary,ACK,F,1.0,-,2.0,100,4,-,1.0,1.0,3 Sep,7 Sep,30 Sep,
Aust Enhanced,units,AYF,I,10.0,-,10.0,44.91,3,-,10.0,-,28 Sep,30 Sep,15 Oct,
Aust Ethical,ordinary,AEF,F,120.0,-,200.0,100,-,-,80.0,120.0,14 Sep,16 Sep,30 Sep,
Aust Leaders Fund,ordinary,ALF,F,5.0,-,10.0,100,3,-,6.0,6.0,9 Oct,13 Oct,28 Oct,
Aust United Invest,ordinary,AUI,F,18.5,-,34.0,100,3,-,14.5,17.5,2 Sep,4 Sep,25 Sep,
Auswide Bank,ordinary,ABA,F,16.0,-,16.0,100,4,-,-,-,9 Sep,11 Sep,2 Oct,
Automotive Hldgs,ordinary,AHG,F,13.0,-,13.0,100,-,-,-,-,10 Sep,14 Sep,2 Oct,
Aveo Grp,stapled securities,AOG,F,5.0,-,5.0,-,4,-,-,4.0,26 Jun,30 Jun,30 Sep,
AVJennings,ordinary,AVJ,F,3.0,-,3.0,100,4,-,-,2.0,9 Sep,11 Sep,23 Sep,
Bank of Qld,ctg pre 6m per rd t,BOQPD,I,258.37,-,258.37,100,-,-,269.35,274.69,25 Sep,29 Sep,15 Oct,
Barrack St Invest,ordinary,BST,F,0.5,-,1.0,100,3,-,-,-,23 Sep,25 Sep,9 Oct,
Beach Energy,ordinary,BPT,F,0.5,-,1.5,100,3,-,2.0,2.0,2 Sep,4 Sep,25 Sep,
Beacon Lighting Grp,ordinary,BLX,F,2.4,-,4.2,100,-,-,-,1.4,2 Sep,4 Sep,25 Sep,
