Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-21T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles,ordinary,ONT,I,9.0,-,9.0,100,-,-,6.5,-,23 Mar,25 Mar,1 Apr,1,,
Abacus Prop,units/ord stapled,ABP,I,8.5,-,8.5,-,3,-,8.25,-,15 Jan,19 Jan,27 Feb,0,,
Academies A'asia,ordinary,AKG,I,1.5,-,1.5,100,-,-,2.5,-,6 Mar,11 Mar,15 Apr,0,,
AGL Energy,ordinary,AGL,I,30.0,-,30.0,100,3,-,-,-,24 Feb,26 Feb,25 Mar,0,,
AIMS Prop Sec Fund,units,APW,I,-,0.1317,-,-,4,-,-,0.15,29 Dec,31 Dec,13 Mar,0,,
Alcoa Inc,chess depositary int,AAI,F,2.5688,-,4.9845,-,-,-,2.6893,2.9223,4 Feb,6 Feb,25 Feb,0,,
ALE Prop Grp,stapled securities,LEP,I,8.4,-,8.4,-,4,-,8.2,-,29 Dec,31 Dec,5 Mar,0,,
Amalgamated Hldgs,ordinary,AHD,I,16.0,-,16.0,100,4,-,15.0,-,3 Mar,5 Mar,19 Mar,1,,
Amcom Telco,ordinary,AMM,I,5.0,-,5.0,100,4,-,2.2,-,22 Apr,24 Apr,30 Apr,1,,
Amcor,ordinary,AMC,I,24.4,-,24.4,-,3,-,19.5,-,24 Feb,26 Feb,26 Mar,1,,
AMP Capital China,ordinary units,AGF,F,-,2.986,-,-,3,-,-,1.922,29 Dec,31 Dec,30 Apr,0,,
AMP,ordinary,AMP,F,13.5,-,26.0,80.00,3,-,11.5,11.5,3 Mar,5 Mar,10 Apr,1,,
Aust Masters YF3,ordinary,AYJ,I,180.0,-,180.0,100,-,-,115.0,110.0,18 Feb,20 Feb,3 Mar,0,,
Ansell,ordinary,ANN,I,25.67,-,25.67,-,4,-,18.8973,-,12 Feb,16 Feb,11 Mar,0,,
ANZ Banking Grp,pref share cps2,ANZPA,I,102.09,-,102.09,100,-,-,214.93,99.27,24 Feb,26 Feb,16 Mar,0,,
ANZ Banking Grp,pref share cps3,ANZPC,I,200.35,-,200.35,100,-,-,197.5,-,11 Feb,13 Feb,2 Mar,0,,
ANZ Banking Grp,cap note,ANZPD,I,210.82,-,210.82,100,-,-,237.75,-,18 Feb,20 Feb,2 Mar,0,,
ANZ Banking Grp,cap note 2,ANZPE,I,208.45,-,208.45,100,-,-,-,-,12 Mar,16 Mar,24 Mar,0,,
APA Grp,stapled securities,APA,I,-,17.5,-,-,4,-,17.5,-,22 Dec,24 Dec,18 Mar,0,,
ARB Corp,ordinary,ARP,I,13.0,-,13.0,100,4,4,13.0,-,31 Mar,2 Apr,17 Apr,1,,
Ardent Leisure Grp,stapled securities,AAD,I,7.0,-,7.0,42.86,3,-,6.8,-,29 Dec,31 Dec,27 Feb,0,,
Argo Invest,ordinary,ARG,I,14.0,-,14.0,100,3,-,13.5,-,12 Feb,16 Feb,4 Mar,0,,
Asciano,ordinary,AIO,I,8.25,-,8.25,100,4,-,5.75,-,20 Feb,24 Feb,18 Mar,1,,
Ashley Services Grp,ordinary,ASH,I,2.3,-,2.3,100,-,-,-,-,4 Mar,6 Mar,27 Mar,1,,
Asia Pacific Data,ordinary stapled sec,AJD,I,-,2.25,-,-,-,-,1.81,2.25,24 Dec,30 Dec,27 Feb,0,,
Aspen Grp,ord/units stapled,APZ,I,4.5,-,4.5,-,4,-,7.5,-,29 Dec,31 Dec,25 Feb,0,,
Astro Japan Prop Grp,stapled us prohibit.,AJA,I,12.5,-,12.5,-,4,-,10.0,-,29 Dec,31 Dec,27 Feb,0,,
ASX,ordinary,ASX,I,92.3,-,92.3,100,4,-,88.2,-,4 Mar,6 Mar,18 Mar,0,,
Auckland Airport,ordinary,AIA,I,7.0777,-,7.0777,-,-,-,-,5.4987,17 Mar,19 Mar,2 Apr,1,,
Aurizon Hldgs Ltd,ordinary,AZJ,I,10.1,-,10.1,-,-,-,8.0,-,27 Feb,3 Mar,23 Mar,1,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.45,-,0.45,119,3,-,0.5,-,25 Feb,27 Feb,16 Mar,0,,
Australian Ind Reit,unit,ANI,I,8.6,-,8.6,-,4,-,3.21,-,29 Dec,31 Dec,27 Feb,0,,
Austock Grp,ordinary,ACK,I,1.0,-,1.0,100,-,-,1.0,-,4 Mar,6 Mar,31 Mar,1,,
Aust Leaders Fund,ordinary,ALF,I,5.0,-,5.0,100,3,-,6.0,-,26 Mar,30 Mar,14 Apr,0,,
Aust United Invest,ordinary,AUI,I,15.5,-,15.5,100,3,-,14.5,-,24 Feb,26 Feb,17 Mar,1,,
Automotive Hldgs,ordinary,AHE,I,9.0,-,9.0,100,-,-,8.5,-,12 Mar,16 Mar,2 Apr,0,,
AVJennings,ordinary,AVJ,I,1.0,-,1.0,100,4,-,-,-,23 Mar,25 Mar,8 Apr,0,,
Beacon Lighting Grp,ordinary,BLX,I,1.8,-,1.8,100,-,-,-,-,3 Mar,5 Mar,26 Mar,1,,
Bega Cheese Ltd,ordinary,BGA,I,4.0,-,4.0,100,4,-,4.0,-,26 Feb,2 Mar,16 Mar,1,,
Bendigo & Adelaide Bk,ordinary,BEN,I,33.0,-,33.0,100,3,3,31.0,-,24 Feb,26 Feb,31 Mar,1,,
Bendigo & Adelaide Bk,reset preference,BENPB,I,74.17,-,74.17,100,4,4,229.36,71.35,18 Feb,20 Feb,16 Mar,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,271.2,-,271.2,100,4,4,-,266.49,26 May,28 May,15 Jun,0,,
Bendigo & Adelaide Bk,conv pref share 2,BENPE,I,209.6,-,209.6,100,4,4,-,-,18 May,20 May,1 Jun,0,,
Beyond Int'l,ordinary,BYI,I,5.0,-,5.0,-,-,-,4.0,-,18 Mar,20 Mar,20 Apr,1,,
BKI Invest,ordinary,BKI,I,3.55,-,3.55,100,3,-,3.45,-,12 Feb,16 Feb,26 Feb,0,,
Blackwall Property,ordinary,BWF,I,1.3,-,1.3,100,-,-,1.2,-,7 Apr,9 Apr,30 Apr,1,,
Boral,ordinary,BLD,I,8.5,-,8.5,100,4,-,7.0,-,17 Feb,19 Feb,13 Mar,0,,
BPS Technology,ordinary,BPS,I,2.25,-,2.25,-,-,-,-,-,31 Mar,2 Apr,22 Apr,0,,
Burson Grp Ltd,ordinary,BAP,I,4.0,-,4.0,100,-,-,-,-,17 Mar,19 Mar,9 Apr,0,,
BWP Trust,ordinary units,BWP,I,7.67,-,7.67,-,3,-,6.83,-,29 Dec,31 Dec,26 Feb,0,,
Cadence Capital,ordinary,CDM,I,5.0,-,5.0,100,3,-,5.0,-,25 Mar,27 Mar,10 Apr,1,,
Cape Lambert Res,ordinary,CFE,I,2.0,-,2.0,100,-,-,-,-,28 Jan,30 Jan,27 Feb,0,,
Capitol Health,ordinary,CAJ,I,0.6,-,0.6,100,3,-,0.4,-,25 Mar,27 Mar,24 Apr,0,,
Cardno,ordinary,CDD,I,13.0,-,13.0,100,3,-,19.0,-,18 Mar,20 Mar,7 Apr,1,,
Carindale Prop,unit,CDP,I,-,16.7,-,-,-,-,15.1,-,29 Dec,31 Dec,27 Feb,0,,
