Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-26T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Adelaide Mgd,units,AYT,I,-,0.39,0.55,-,-,-,7.803,0.5,16 Nov,22 Nov,6 Dec,0,,
AMA Grp,ordinary,AMA,F,1.0,-,1.0,100,-,-,-,-,25 Oct,31 Oct,30 Nov,0,,
AMCB Fund No 5,ordinary,AKY,I,295.0,-,295.0,100,-,-,-,-,21 Nov,25 Nov,16 Jan,0,,
Anglogold Ashanti,cdi  5:1,AGG,I,2.1671,-,4.5388,-,-,-,2.0818,-,28 Nov,2 Dec,9 Dec,0,,
ANZ Banking Grp,ordinary,ANZ,F,76.0,-,140.0,100,3,3,52.0,74.0,10 Nov,16 Nov,16 Dec,0,,
ANZ Banking Grp,pref share cps2,ANZPA,I,139.04,-,282.34,100,-,-,412.99,141.62,24 Nov,30 Nov,15 Dec,0,,
ANZ Banking Grp,pref share cps1,ANZPB,I,128.56,-,261.27,100,-,-,381.34,131.26,24 Nov,30 Nov,15 Dec,0,,
Asia Liver Trans,ordinary,AJJ,F,0.2,-,0.3,-,-,-,0.5,0.2,6 Dec,12 Dec,23 Dec,0,,
Astivita Renewables,ordinary,AIR,F,4.0,-,8.0,100,3,-,-,-,14 Nov,18 Nov,2 Dec,0,,
Aust Pharmaceutical,ordinary,API,F,1.5,-,2.5,-,-,-,1.0,1.5,11 Nov,17 Nov,15 Dec,0,,
Bank of Qld,ordinary,BOQ,F,28.0,-,54.0,100,3,-,26.0,26.0,9 Nov,15 Nov,2 Dec,0,,
Bendigo & Adelaide Bk,reset conv pref,BENPA,I,307.16,-,307.16,100,-,-,305.47,-,5 Apr,13 Apr,1 May,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,I,111.11,-,226.18,100,-,-,337.98,112.39,18 Nov,24 Nov,15 Dec,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,I,114.0,-,232.0,100,-,-,348.0,116.0,15 Dec,21 Dec,10 Jan,0,,
Brickworks,ordinary,BKW,F,27.0,-,40.5,100,-,-,13.0,27.0,17 Nov,23 Nov,1 Dec,0,,
BT Invest Mgt,ordinary,BTT,F,10.0,-,16.0,100,-,-,12.5,10.0,28 Nov,2 Dec,16 Dec,0,,
Cellnet Grp,ordinary,CLT,I,1.0,-,1.0,100,-,-,-,-,5 Dec,9 Dec,23 Dec,1,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q3,286.01,-,870.61,100,-,-,859.46,290.4,18 Jan,24 Jan,31 Jan,0,,
C'wlth Bank  of Aust,perp.exc.(perls iv),CBAPB,Q3,203.08,-,623.63,100,-,-,610.69,208.38,18 Jan,24 Jan,31 Jan,0,,
CSR,ordinary,CSR,I,6.0,-,6.0,100,3,-,9.13,-,21 Nov,25 Nov,16 Dec,0,,
DuluxGroup,ordinary,DLX,F,7.5,-,15.0,100,3,-,-,3.0,21 Nov,25 Nov,16 Dec,0,,
Ethane Pipeline,stapled securities,EPX,I,4.13,-,7.85,-,-,-,11.7,3.96,22 Dec,30 Dec,13 Jan,1,,
Exco Res,ordinary,EXS,I,28.0,-,28.0,100,-,-,-,-,28 Nov,2 Dec,9 Dec,1,,
Fisher & Paykel Health,ordinary,FPH,I,4.1253,-,4.1253,-,3,-,4.1832,-,28 Nov,2 Dec,16 Dec,1,,
Freedom Foods Grp,ordinary,FNP,F,0.5,-,1.0,100,3,-,-,-,27 Oct,3 Nov,30 Nov,0,,
GrainCorp,a class ordinary,GNC,F,35.0,-,55.0,100,-,-,15.0,15.0,1 Dec,7 Dec,21 Dec,1,,
Harvey Norman,ordinary,HVN,F,6.0,-,12.0,100,-,-,7.0,7.0,28 Oct,4 Nov,5 Dec,0,,
HGL,ordinary,HNG,F,5.5,-,11.5,100,3,-,6.0,5.0,28 Nov,2 Dec,16 Dec,1,,
Incitec Pivot,ordinary,IPL,F,8.2,-,11.5,-,4,-,1.8,6.0,17 Nov,23 Nov,16 Dec,0,,
Infratil,ordinary,IFZ,I,2.2918,-,2.2918,-,3,-,1.9366,-,28 Nov,2 Dec,16 Dec,0,,
Insurance Aust Grp,5.63% reset cnv.pref,IAGPA,I,282.27,-,282.27,100,-,-,282.27,-,24 Nov,30 Nov,15 Dec,0,,
James Hardie Ind,chess depositary int,JHX,I,-,-,-,-,-,-,-,-,12 Dec,16 Dec,23 Jan,0,,
Katana Capital,ordinary,KAT,I,0.5,-,1.75,100,3,-,2.0,1.0,10 Nov,16 Nov,7 Dec,0,,
Macquarie Grp,ordinary,MQG,I,65.0,-,65.0,-,3,-,86.0,-,7 Nov,11 Nov,14 Dec,0,,
MyState,ordinary,MYS,I,14.0,-,14.0,100,-,-,10.0,12.5,24 Nov,30 Nov,9 Dec,0,,
National Aust Bank,ordinary,NAB,F,88.0,-,172.0,100,3,3,74.0,78.0,10 Nov,16 Nov,19 Dec,0,,
Newcrest Min,ordinary,NCM,I,20.0,-,20.0,-,3,-,5.0,20.0,21 Nov,25 Nov,16 Dec,0,,
Octanex,ordinary,OXX,I,4.0,-,4.0,100,-,-,-,-,22 Nov,28 Nov,12 Dec,0,,
Octanex,"5c paid,20c unpd",OXXCA,I,4.0,-,4.0,100,-,-,-,-,23 Nov,28 Nov,12 Dec,1,,
Orica,ordinary,ORI,F,53.0,-,90.0,100,3,-,41.0,54.0,14 Nov,18 Nov,9 Dec,0,,
Orica,step up preference,ORIPB,F,327.0,-,656.0,-,-,-,288.0,316.0,9 Nov,15 Nov,30 Nov,0,,
PPK Grp,ordinary,PPK,F,1.5,-,2.5,-,-,-,1.5,1.0,5 Dec,9 Dec,16 Dec,0,,
Preferred Capital,perls iii,PCAPA,I,202.67,-,415.45,100,-,-,622.85,207.5,22 Dec,30 Dec,6 Jan,0,,
Programmed Maint,ordinary,PRG,I,5.0,-,5.0,100,4,-,3.0,-,5 Jan,11 Jan,27 Jan,1,,
Regional Express,ordinary,REX,F,7.1,-,7.1,100,-,-,-,6.6,8 Sep,14 Sep,30 Nov,0,,
RHG,ordinary,RHG,I,6.0,-,6.0,100,-,-,-,-,25 Nov,1 Dec,15 Dec,0,,
Ruralco Hldgs,ordinary,RHL,F,9.0,-,18.0,100,4,-,8.0,8.0,28 Nov,2 Dec,9 Jan,1,,
Seven Grp Hldgs,conv. red. pref.,SVWPA,I,347.98,-,347.98,100,-,-,340.43,-,9 Nov,15 Nov,30 Nov,0,,
Shenhua Int'l,ordinary,SHU,F,2.5,-,2.5,-,-,-,-,2.5,7 Nov,11 Nov,30 Nov,0,,
Sigma Pharmaceutical,ordinary,SIP,I,1.5,-,1.5,100,4,-,-,-,10 Nov,16 Nov,30 Nov,0,,
