Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-23T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Academies A'asia,ordinary,AKG,F,3.0,-,5.5,100,-,-,2.5,2.5,5 Sep,9 Sep,26 Sep,0,,
Acrux,ordinary,ACR,F,8.0,-,20.0,100,-,-,-,8.0,4 Sep,8 Sep,22 Sep,1,,
AGL Energy,ordinary,AGK,F,33.0,-,63.0,100,3,-,30.0,33.0,2 Sep,4 Sep,30 Sep,1,,
Agricultural Land,ordinary units,AGJ,F,0.528,-,0.528,-,3,-,-,2.82,26 Jun,30 Jun,26 Sep,0,,
AIMS Prop Sec Fund,units,APW,F,-,0.0171,0.2401,-,4,-,-,-,26 Jun,30 Jun,19 Sep,0,,
Alcoa Inc,chess depositary int,AAI,Q1,2.2595,-,2.2595,-,-,-,5.6116,2.2615,6 Aug,8 Aug,25 Aug,0,,
ALE Prop Grp,stapled securities,LEP,F,8.25,-,16.45,-,4,-,8.0,8.0,26 Jun,30 Jun,5 Sep,0,,
Alliance Aviation,ordinary,AQZ,F,2.1,-,5.7,100,3,-,4.8,5.6,23 Sep,25 Sep,9 Oct,0,,
Amalgamated Hldgs,ordinary,AHD,F,27.0,-,42.0,100,4,-,15.0,27.0,2 Sep,4 Sep,18 Sep,1,,
AMCIL,ordinary,AMH,F,6.5,-,6.5,100,3,-,-,8.0,12 Aug,14 Aug,26 Aug,0,,
Amcom Telco,ordinary,AMM,F,4.0,-,6.2,100,3,-,2.0,3.5,18 Sep,22 Sep,7 Oct,0,,
Amcor,ordinary,AMC,F,23.5,-,43.0,-,3,-,19.5,20.5,2 Sep,4 Sep,30 Sep,1,,
AMP,ordinary,AMP,I,12.5,-,12.5,70.00,3,-,11.5,-,3 Sep,5 Sep,10 Oct,1,,
Ansell,ordinary,ANN,F,23.5748,-,42.4721,-,3,-,16.0,22.0,28 Aug,1 Sep,24 Sep,1,,
ANZ Banking Grp,pref share cps2,ANZPA,Q1,100.96,-,100.96,100,-,-,314.2,100.26,27 Aug,29 Aug,15 Sep,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,200.23,-,397.73,100,-,-,227.2,214.3,13 Aug,15 Aug,1 Sep,0,,
ANZ Banking Grp,cap note,ANZPD,F,210.71,-,448.46,100,-,-,-,-,20 Aug,22 Aug,1 Sep,0,,
ANZ Banking Grp,cap note 2,ANZPE,F,202.99,-,202.99,100,-,-,-,-,12 Sep,16 Sep,24 Sep,0,,
APA Grp,stapled securities,APA,F,18.75,-,36.25,-,4,-,17.0,18.5,26 Jun,30 Jun,10 Sep,0,,
ARB Corp,ordinary,ARP,F,16.0,-,29.0,100,4,4,12.5,15.5,8 Oct,10 Oct,24 Oct,1,,
Ardent Leisure Grp,stapled securities,AAD,F,6.2,-,13.0,7.14,3,-,6.6,5.4,26 Jun,30 Jun,29 Aug,0,,
Argo Invest,ordinary,ARG,F,14.5,-,28.0,100,3,-,13.0,13.5,18 Aug,20 Aug,3 Sep,0,,
Ariadne Aust,ordinary,ARA,F,0.5,-,1.0,40.00,-,-,0.5,0.5,8 Sep,10 Sep,3 Oct,1,,
Arrium Ltd,ordinary,ARI,F,3.0,-,9.0,-,3,-,2.0,3.0,10 Sep,12 Sep,16 Oct,1,,
Asciano,ordinary,AIO,F,8.5,-,14.25,100,4,-,5.25,6.25,28 Aug,1 Sep,19 Sep,1,,
Asia Pacific Data,ordinary stapled sec,AJD,F,-,2.25,4.5,-,-,-,-,1.81,26 Jun,30 Jun,29 Aug,0,,
Aspen Grp,ord/units stapled,APZ,F,4.0,-,11.5,-,4,-,0.75,0.75,26 Jun,30 Jun,25 Aug,0,,
Astro Japan Prop Grp,stapled us prohibit.,AJA,F,-,10.0,10.0,-,4,-,7.5,10.0,26 Jun,30 Jun,29 Aug,0,,
ASX,ordinary,ASX,F,89.9,-,178.1,100,4,-,87.9,82.3,3 Sep,5 Sep,24 Sep,1,,
Aurizon Hldgs Ltd,ordinary,AZJ,F,8.5,-,16.5,-,-,-,4.1,8.2,29 Aug,2 Sep,22 Sep,1,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.5,-,0.5,-,3,-,2.85,1.45,27 Aug,29 Aug,17 Sep,0,,
Australian Ind Reit,unit,ANI,F,8.18,-,11.39,-,3,-,-,-,26 Jun,30 Jun,29 Aug,0,,
Austock Grp,ordinary,ACK,F,1.0,-,2.0,100,-,-,1.0,1.0,3 Sep,5 Sep,24 Sep,1,,
Australand Prop,stapled security,ALZ,I,2.63,-,2.63,-,-,-,10.5,-,14 Aug,18 Aug,27 Aug,0,,
Aust Foundation,ordinary,AFI,F,14.0,-,22.0,100,3,3,8.0,14.0,8 Aug,12 Aug,29 Aug,0,,
Automotive Hldgs,ordinary,AHE,F,12.5,-,21.0,100,-,-,8.0,12.0,10 Sep,12 Sep,2 Oct,0,,
Aveo Grp,stapled securities,AOG,F,4.0,-,4.0,-,4,-,-,-,26 Jun,30 Jun,30 Sep,0,,
AVJennings,ordinary,AVJ,F,2.0,-,2.0,100,4,-,-,-,3 Sep,5 Sep,18 Sep,1,,
Beacon Lighting Grp,ordinary,BLX,F,1.4,-,1.4,100,-,-,-,-,2 Sep,4 Sep,26 Sep,1,,
Bega Cheese Ltd,ordinary,BGA,F,4.5,-,8.5,100,4,-,3.5,4.0,28 Aug,1 Sep,15 Sep,1,,
Bendigo & Adelaide Bk,ordinary,BEN,F,33.0,-,64.0,100,3,3,30.0,31.0,19 Aug,21 Aug,30 Sep,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,Q1,73.04,-,73.04,100,-,-,217.26,72.34,21 Aug,25 Aug,15 Sep,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,Q1,78.0,-,78.0,100,-,-,153.0,78.0,22 Sep,24 Sep,10 Oct,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,273.9,-,273.9,100,-,-,273.62,-,26 Nov,28 Nov,15 Dec,0,,
Bentham IMF,ordinary,IMF,F,5.0,-,10.0,100,3,-,-,5.0,17 Sep,19 Sep,3 Oct,1,,
BHP Billiton,ordinary,BHP,F,66.3954,-,131.119,100,-,-,55.567,64.3789,3 Sep,5 Sep,23 Sep,1,,
BigAir Grp,ordinary,BGL,F,1.1,-,1.1,100,-,-,-,1.0,27 Aug,29 Aug,30 Sep,1,,
BKI Invest,ordinary,BKI,F,3.5,-,6.95,100,3,-,3.75,3.4,12 Aug,14 Aug,28 Aug,0,,
Bradken,ordinary,BKN,F,11.0,-,26.0,-,4,-,20.0,18.0,18 Aug,20 Aug,9 Sep,0,,
Brambles,ordinary,BXB,F,13.5,-,27.0,30.00,-,-,13.5,13.5,10 Sep,12 Sep,9 Oct,1,,
Breville Grp,ordinary,BRG,F,10.0,-,24.0,100,4,-,14.0,12.0,17 Sep,19 Sep,10 Oct,1,,
Brierty,ordinary,BYL,F,1.75,-,3.0,100,-,-,1.25,1.75,16 Sep,18 Sep,2 Oct,1,,
BWP Trust,ordinary units,BWP,F,7.88,-,14.71,-,3,-,7.0,7.14,26 Jun,30 Jun,28 Aug,0,,
Cabcharge Aust,ordinary,CAB,F,10.0,-,25.0,100,-,-,18.0,12.0,26 Sep,30 Sep,29 Oct,1,,
Cadence Capital,ordinary,CDM,F,5.0,-,10.0,100,3,-,6.0,5.0,17 Sep,19 Sep,30 Sep,0,,
