Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-24T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,Q3,-,0.0901,0.15,-,4,-,-,-,25 Mar,31 Mar,20 Jun,0,,
Alcoa Inc,chess depositary int,AAI,F,2.2615,-,7.8731,-,-,-,2.4683,2.4607,8 May,12 May,27 May,0,,
Alliance Aviation,ordinary,AQZ,I,3.6,-,3.6,100,3,-,4.8,-,3 Jun,5 Jun,25 Jun,0,,
ANZ Banking Grp,ordinary,ANZ,I,83.0,-,83.0,100,3,3,73.0,-,9 May,13 May,1 Jul,0,,
ANZ Banking Grp,pref share cps2,ANZPA,F,100.26,-,302.16,100,-,-,341.25,112.3,27 May,29 May,16 Jun,0,,
ANZ Banking Grp,pref share cps1,ANZPB,F,89.79,-,270.75,100,-,-,309.84,101.48,27 May,29 May,16 Jun,0,,
ANZ Banking Grp,pref share cps3,ANZPC,F,200.23,-,397.73,100,-,-,227.2,214.3,13 Aug,15 Aug,1 Sep,0,,
ANZ Banking Grp,cap note,ANZPD,F,210.71,-,448.46,100,-,-,-,-,20 Aug,22 Aug,1 Sep,0,,
ANZ Banking Grp,cap note 2,ANZPE,F,202.99,-,202.99,100,-,-,-,-,12 Sep,16 Sep,24 Sep,0,,
Aurora Div Inc Tr,managed fund units,AOD,I,0.51,-,0.51,-,3,-,2.8,1.45,28 May,30 May,20 Jun,1,,
Aust Pharmaceutical,ordinary,API,I,1.5,-,1.5,100,-,-,1.5,-,7 May,9 May,6 Jun,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,F,72.34,-,289.6,100,-,-,256.98,83.45,21 May,23 May,16 Jun,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,F,78.0,-,312.0,100,-,-,264.0,85.0,23 Jun,25 Jun,10 Jul,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,F,266.49,-,266.49,100,-,-,65.49,282.72,26 May,28 May,13 Jun,0,,
BT Invest Mgt,ordinary,BTT,I,16.0,-,16.0,35.00,3,-,8.0,-,14 May,16 May,2 Jul,0,,
Clime Capital,ordinary,CAM,F,1.15,-,4.3,100,3,-,3.0,1.0,30 Jun,2 Jul,22 Jul,1,,
Clime Capital,7.5% non-cum. pref,CAMPA,F,4.75,-,19.0,100,-,-,14.25,4.75,30 Jun,2 Jul,21 Jul,1,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q1,214.43,-,214.43,100,-,-,650.99,205.68,22 Jul,24 Jul,31 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,F,113.71,-,451.42,100,-,-,197.8,122.26,4 Jun,6 Jun,16 Jun,0,,
CSR,ordinary,CSR,F,5.0,-,10.0,-,3,-,3.0,2.1,3 Jun,5 Jun,8 Jul,0,,
Dicker Data,ordinary,DDR,F,0.7,-,1.7,100,3,-,3.0,2.0,21 May,23 May,2 Jun,0,,
DuluxGroup,ordinary,DLX,I,10.0,-,10.0,100,3,-,8.0,-,28 May,30 May,20 Jun,1,,
E & A,ordinary,EAL,I,2.75,-,2.75,100,3,-,2.5,-,29 May,2 Jun,16 Jun,0,,
Eumundi Grp,ordinary,EBG,I,0.5,-,0.5,100,3,-,-,-,16 Jun,18 Jun,27 Jun,0,,
Fisher & Paykel Health,ordinary,FPH,F,-,-,4.9075,-,3,-,4.2617,5.8558,18 Jun,20 Jun,4 Jul,1,,
GrainCorp,a class ordinary,GNC,I,15.0,-,15.0,100,-,-,25.0,-,2 Jul,4 Jul,18 Jul,0,,
Henderson Grp,cdi 1:1,HGG,F,10.5708,-,14.304,-,-,-,3.2237,7.6913,7 May,9 May,30 May,0,,
Incitec Pivot,ordinary,IPL,I,3.5,-,3.5,75.00,3,-,3.4,-,20 May,22 May,1 Jul,0,,
Infratil,ordinary,IFZ,F,-,-,3.3266,-,4,-,2.5522,5.0008,27 May,29 May,16 Jun,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,239.42,-,239.42,100,-,-,241.43,-,22 Oct,24 Oct,3 Nov,0,,
Ironbark Capital,ordinary,IBC,F,1.0,-,2.25,100,4,-,2.0,2.0,11 Jun,13 Jun,27 Jun,0,,
James Hardie Ind,chess depositary int,JHX,F,56.3075,-,87.1831,-,-,-,4.7465,39.9452,10 Jun,12 Jun,8 Aug,0,,
Joyce Corp,ordinary,JYC,I,1.5,-,1.5,-,4,-,1.0,-,10 Jul,14 Jul,31 Jul,0,,
Kathmandu Hldgs,ordinary,KMD,I,2.4011,-,2.4011,100,-,-,2.5086,-,4 Jun,6 Jun,17 Jun,0,,
Korvest,ordinary,KOV,I,100.0,-,100.0,100,3,-,26.0,-,6 Jun,11 Jun,27 Jun,0,,
Macquarie Grp,ordinary,MQG,F,160.0,-,260.0,40.00,3,-,75.0,125.0,14 May,16 May,2 Jul,0,,
Macquarie Grp,non-cum capital note,MQGPA,F,283.12,-,574.75,40.00,-,-,-,-,29 May,2 Jun,10 Jun,0,,
National Aust Bank,ordinary,NAB,I,99.0,-,99.0,100,3,3,93.0,-,14 May,16 May,8 Jul,0,,
National Aust Bank,pref share,NABPA,F,103.3,-,409.97,100,-,-,-,110.24,2 Jun,4 Jun,20 Jun,0,,
National Aust Bank,cps ii,NABPB,F,104.01,-,204.81,100,-,-,-,-,28 May,30 May,17 Jun,0,,
Orica,ordinary,ORI,I,40.0,-,40.0,40.00,3,-,39.0,-,29 May,2 Jun,1 Jul,0,,
Preferred Capital,perls iii,PCAPA,F,130.6,-,520.64,100,-,-,456.83,143.75,26 Jun,30 Jun,7 Jul,0,,
ResMed Inc,cdi  10:1,RMD,F,2.705,-,7.3187,-,-,-,1.4739,-,16 May,20 May,17 Jun,0,,
Ruralco Hldgs,ordinary,RHL,I,8.0,-,8.0,100,4,-,10.0,-,4 Jun,6 Jun,27 Jun,1,,
Seven Grp Hldgs,conv. red. pref.,SVWPA,F,256.08,-,520.35,100,-,-,281.0,278.53,14 May,16 May,2 Jun,0,,
SP AusNet,stapled securities,SPN,F,4.18,-,8.36,33.33,3,-,4.1,4.1,26 May,28 May,27 Jun,0,,
SPDR Prop Fund,etf units,SLF,Q3,5.5151,-,25.7897,0.01,4,-,37.4214,10.5176,31 Mar,4 Apr,3 Jun,0,,
Suncorp Grp,conv pref share cps2,SUNPC,F,128.71,-,510.9,100,-,-,195.18,135.5,5 Jun,10 Jun,17 Jun,0,,
Suncorp Grp,sub.note 22-nov-23,SUNPD,Q1,140.02,-,140.02,-,-,-,420.19,130.54,12 Aug,14 Aug,22 Aug,0,,
Suncorp Grp,conv pref cps3,SUNPE,F,46.67,-,46.67,100,-,-,-,-,29 May,2 Jun,17 Jun,1,,
Sydney Airport,stapled us prohibit.,SYD,I,11.5,-,11.5,-,3,-,11.0,-,26 Jun,30 Jun,15 Aug,0,,
Tamawood,ordinary,TWD,I,8.0,-,8.0,100,4,-,8.0,-,9 May,13 May,3 Jun,0,,
Thorn Grp,ordinary,TGA,F,6.5,-,11.0,100,3,-,4.5,6.0,17 Jun,19 Jun,17 Jul,1,,
Transurban Grp,triple stapled sec.,TCL,F,18.0,-,35.0,19.45,3,-,15.5,15.5,26 Jun,30 Jun,14 Aug,1,,
United Overseas Aust,ordinary,UOS,F,2.0,-,2.5,-,3,-,0.5,2.0,14 May,16 May,4 Jun,0,,
Waterco,ordinary,WAT,I,3.0,-,3.0,100,3,-,3.0,-,7 May,9 May,16 Jun,0,,
WDS,ordinary,WDS,F,2.0,-,5.0,100,4,-,1.5,-,4 Jun,6 Jun,25 Jun,1,,
Westpac Banking,ordinary,WBC,I,90.0,-,90.0,100,3,-,96.0,-,14 May,16 May,2 Jul,0,,
Westpac Banking,preferred ii,WBCPB,F,-,112.62,-,100,-,-,-,-,18 Jun,20 Jun,30 Jun,0,,
Westpac Banking,conv pref shs,WBCPC,F,-,208.94,-,100,-,-,-,-,18 Sep,22 Sep,30 Sep,0,,
Westpac Banking,conv perpetual note,WBCPD,F,-,103.13,-,100,-,-,-,109.74,28 May,30 May,10 Jun,0,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,F,-,63.76,67.18,100,-,-,225.12,70.68,11 Jun,13 Jun,30 Jun,0,,
Whitefield,ordinary,WHF,F,8.5,-,17.0,100,3,-,8.5,8.5,26 May,28 May,13 Jun,1,,
Whitefield,8.0% cumulative prf,WHFPA,F,4.0,-,8.0,100,-,-,4.0,4.0,26 May,28 May,13 Jun,1,,
Whitefield,cnv.reset.prf,WHFPB,F,350.0,-,700.0,100,-,-,218.63,350.0,26 May,28 May,13 Jun,1,,
Z Energy,ordinary,ZNZ,F,13.2204,-,20.1127,-,-,-,-,-,21 May,23 May,4 Jun,0,,
,
