Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 23/1/2010|. Processed 19:42 Monday 25/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Abacus Prop Grp,units/ord stapled,ABP,Q3,1.5,-,2.25,-,3,-,3.5,3.5,8/1/10,14/1/10,23/2/10,,,,,,,,,
Aberdeen Leaders,ordinary,ALR,Q3,2,-,3.75,100,3,-,8,2,5/1/10,11/1/10,29/1/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,I,-,1.1,-,-,3,-,-,2.05,23/12/09,31/12/09,26/3/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,I,-,12,-,-,3,-,-,16.85,23/12/09,31/12/09,26/2/10,,,,,,,,,
Allied Brands Ltd,ordinary,ABQ,F,0.5,-,0.5,100,3,-,-,1,11/1/10,15/1/10,29/1/10,,,,,,,,,
AMP Capital China,ordinary units,AGF,F,-,6,-,-,3,-,-,-,23/12/09,31/12/09,30/4/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q3,116.51,-,322.69,100,-,-,-,143.15,19/2/10,25/2/10,15/3/10,,,,,,,,,
APA Grp,stapled securities,APA,I,-,15.75,-,-,3,-,-,15,23/12/09,31/12/09,17/3/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,I,-,6.5,-,-,3,-,-,-,23/12/09,31/12/09,25/2/10,,,,,,,,,
Aspen Grp,ord/units stapled,APZ,I,1.05,-,2.1,-,4,-,9.79,-,23/12/09,31/12/09,18/2/10,,,,,,,,,
Astro Jap Prop Grp,stapled securities,AJA,I,-,3.5,-,-,-,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,I,2.5,-,18.5,-,3,-,-,39.75,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,I,30,-,30,-,3,-,-,47.805,23/12/09,31/12/09,26/2/10,,,,,,,,,
