Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 08:30 Saturday 20/2/2010|. Processed 14:55 Sunday 21/2/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles Ltd,ordinary,ONT,I,6.5,-,6.5,100,-,-,-,4.5,9/3/10,15/3/10,26/3/10,,,,,,,,,
Abacus Prop Grp,units/ord stapled,ABP,Q3,1.5,-,2.25,-,3,-,3.5,3.5,8/1/10,14/1/10,23/2/10,,,,,,,,,
Adelaide Brighton,ordinary,ABC,F,8,-,13.5,100,4,-,6.5,8.5,23/2/10,1/3/10,12/4/10,,,,,,,,,
Advanced Share,ordinary,ASW,I,1.75,-,1.75,100,-,-,-,1.5,22/2/10,26/2/10,8/3/10,,,,,,,,,
Aevum Ltd,ordinary,AVE,I,2,-,2,-,3,-,2,-,26/2/10,4/3/10,24/3/10,,,,,,,,,
Agricultural Land,ordinary units,AGJ,I,-,1.1,-,-,3,-,-,2.05,23/12/09,31/12/09,26/3/10,,,,,,,,,
Alcoa Inc,chess depositary int,AAI,Q3,2.8882,-,8.8231,-,-,-,38.3539,3.5739,1/2/10,5/2/10,25/2/10,,,,,,,,,
ALE Prop Grp,stapled securities,LEP,I,12,-,12,-,3,-,-,16.85,23/12/09,31/12/09,26/2/10,,,,,,,,,
Alesco Corp,ordinary,ALS,I,7,-,7,100,3,-,-,36,8/2/10,12/2/10,5/3/10,,,,,,,,,
Alumina Ltd,ordinary,AWC,F,2,-,2,100,4,-,12,-,12/2/10,18/2/10,19/3/10,,,,,,,,,
Amalg Hldgs,ordinary,AHD,I,14,-,14,100,3,-,-,19,26/2/10,4/3/10,29/3/10,,,,,,,,,
Ammtec Ltd,ordinary,AEC,I,6.5,-,6.5,100,3,-,-,14,1/4/10,9/4/10,30/4/10,,,,,,,,,
AMP Capital China,ordinary units,AGF,F,-,6,-,-,3,-,-,-,23/12/09,31/12/09,30/4/10,,,,,,,,,
AMP Ltd,ordinary,AMP,F,16,-,30,50,3,-,24,16,23/2/10,1/3/10,14/4/10,,,,,,,,,
Anglogold Ashanti,cdi  5:1,AGG,F,-,-,1.8188,-,-,-,1.459,-,5/3/10,12/3/10,19/3/10,,,,,,,,,
Ansell Ltd,ordinary,ANN,I,13,-,13,-,-,-,-,15.5,25/2/10,3/3/10,24/3/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPA,Q3,121.09,-,121.09,100,-,-,220.81,219.02,19/2/10,25/2/10,15/3/10,,,,,,,,,
ANZ Banking Grp,pref share,ANZPB,Q3,116.51,-,322.69,100,-,-,-,143.15,19/2/10,25/2/10,15/3/10,,,,,,,,,
APA Grp,stapled securities,APA,I,-,15.75,-,-,3,-,-,15,23/12/09,31/12/09,17/3/10,,,,,,,,,
Aquarius Platinum,ordinary,AQP,I,-,-,-,-,-,-,-,12.0846,1/3/10,5/3/10,26/3/10,,,,,,,,,
ARB Corp,ordinary,ARP,I,7.5,-,7.5,100,-,-,-,9,1/4/10,9/4/10,23/4/10,,,,,,,,,
Ardent Leisure Grp,stapled securities,AAD,I,6.5,-,6.5,-,3,-,-,-,23/12/09,31/12/09,25/2/10,,,,,,,,,
Argo Invest,ordinary,ARG,I,12,-,12,100,3,-,-,16,11/2/10,17/2/10,3/3/10,,,,,,,,,
ASG Grp Ltd,ordinary,ASZ,I,1.5,-,1.5,100,3,-,-,3,25/3/10,31/3/10,15/4/10,,,,,,,,,
Astro Jap Prop Grp,stapled securities,AJA,I,-,3.5,-,-,-,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
ASX Ltd,ordinary,ASX,I,89.1,-,89.1,100,3,-,-,93.9,1/3/10,5/3/10,29/3/10,,,,,,,,,
Aurora Global Tr,ordinary units,AIB,I,2.5,-,18.5,-,3,-,-,39.75,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aurora Prop,ordinary units,AUP,I,30,-,30,-,3,-,-,47.805,23/12/09,31/12/09,26/2/10,,,,,,,,,
Austereo Grp Ltd,ordinary,AEO,I,4,-,4,100,-,-,-,6,10/3/10,16/3/10,30/3/10,,,,,,,,,
Austin Engineer,ordinary,ANG,I,2,-,2,100,-,-,-,6.5,22/2/10,26/2/10,26/3/10,,,,,,,,,
Aust Foundation,ordinary,AFI,I,8,-,8,100,3,-,-,13,5/2/10,11/2/10,26/2/10,,,,,,,,,
Aust Infrastr,units/ordinary,AIX,I,-,5,-,-,4,-,-,8.5,23/12/09,31/12/09,26/2/10,,,,,,,,,
Aust Leaders,ordinary,ALF,I,4,-,4,100,3,-,-,2,19/4/10,23/4/10,30/4/10,,,,,,,,,
Aust United Invest,ordinary,AUI,I,11.5,-,11.5,100,3,-,-,13.5,24/2/10,2/3/10,16/3/10,,,,,,,,,
AXA Asia Pacific,ordinary,AXA,F,9.25,-,18.5,25,4,-,9.25,9.25,1/3/10,5/3/10,26/3/10,,,,,,,,,
Bell Financial Grp,ordinary,BFG,F,6,-,8,100,-,-,3,-,5/3/10,12/3/10,26/3/10,,,,,,,,,
Bendigo & Adelaide,ordinary,BEN,I,28,-,28,100,3,3,28,-,26/2/10,4/3/10,31/3/10,,,,,,,,,
Bendigo & Adelaide,reset conv pref,BENPA,I,305.47,-,305.47,100,-,-,305.47,-,12/4/10,16/4/10,3/5/10,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,Q3,99.25,-,270.32,100,-,-,162.85,152.98,15/2/10,19/2/10,15/3/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,Q3,102,-,286,100,-,-,335,86,18/3/10,24/3/10,12/4/10,,,,,,,,,
BHP Billiton Ltd,ordinary,BHP,I,49.1918,-,49.1918,100,-,-,-,46.9022,1/3/10,5/3/10,23/3/10,,,,,,,,,
Billabong,ordinary,BBG,I,18,-,18,50,3,-,27,-,16/3/10,22/3/10,22/4/10,,,,,,,,,
BKI Invest Ltd,ordinary,BKI,I,3,-,3,100,3,-,-,3,22/2/10,26/2/10,12/3/10,,,,,,,,,
Boral Ltd,ordinary,BLD,I,7,-,7,100,3,-,-,17,17/2/10,23/2/10,23/3/10,,,,,,,,,
Bradken Ltd,ordinary,BKN,I,13,-,13,100,3,-,10,-,15/2/10,19/2/10,15/3/10,,,,,,,,,
Brambles Ltd,ordinary,BXB,I,12.5,-,12.5,20,3,-,-,17.5,12/3/10,18/3/10,8/4/10,,,,,,,,,
Brisbane Broncos,ordinary,BBL,F,0.5,-,0.5,100,-,-,-,-,19/3/10,25/3/10,15/4/10,,,,,,,,,
Bunnings Warehouse,ordinary units,BWP,I,6.1,-,6.1,-,3,-,-,-,23/12/09,31/12/09,26/2/10,,,,,,,,,
Cardno Ltd,ordinary,CDD,I,14,-,14,100,3,-,-,14,5/3/10,12/3/10,26/3/10,,,,,,,,,
Carindale Prop,unit,CDP,I,13.61,-,13.61,-,-,-,-,12.92,23/12/09,31/12/09,26/2/10,,,,,,,,,
Carlton Invest,ordinary,CIN,I,27,-,27,100,4,4,-,40,25/2/10,3/3/10,18/3/10,,,,,,,,,
Carlton Invest,7% cum.pref.,CINPA,I,7,-,7,100,4,4,-,7,25/2/10,3/3/10,18/3/10,,,,,,,,,
