ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 17:15 Thursday 24/12/2009. Processed 11:13 Tuesday 29/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,524,524,100.00,1.49,"51,900,000","0.00""",,,,,,,,,
"""UMC",United Minerals Corp,FPO,"304,205","200,652",65.95,-0.39,"155,112,330","0.12""",,,,,,,,,
"""BLD",Boral ,FPO,"454,739","264,032",58.06,0.70,"595,313,279","0.04""",,,,,,,,,
"""UGL",UGL ,FPO,"454,851","263,833",58.00,-0.62,"165,698,371","0.15""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"155,768","86,468",55.51,-1.13,"147,697,737","0.05""",,,,,,,,,
"""VBA",Virgin Blue Holdings ,FPO,"2,358,885","1,214,811",51.49,0.00,"2,209,126,568","0.05""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"444,479","219,843",49.46,-1.12,"960,638,735","0.02""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"555,674","208,949",37.60,0.00,"270,000,000","0.07""",,,,,,,,,
"""BTA",Biota Holdings ,FPO,"282,976","103,177",36.46,0.00,"178,950,022","0.05""",,,,,,,,,
"""AMP",AMP ,FPO,"1,639,257","585,917",35.74,0.00,"2,048,645,162","0.02""",,,,,,,,,
"""NWH",NRW Holdings ,FPO,"118,543","36,002",30.37,2.91,"251,223,000","0.01""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"7,454,011","2,230,691",29.92,2.87,"2,973,012,295","0.07""",,,,,,,,,
"""SGP",Stockland,STAPLED,"4,241,705","1,216,514",28.68,1.03,"2,383,036,717","0.05""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"3,226,741","914,485",28.34,0.00,"1,930,403,911","0.04""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"4,480,083","1,194,538",26.66,1.31,"3,356,081,497","0.03""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"234,592","62,430",26.61,0.30,"253,994,135","0.02""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"740,697","196,292",26.50,0.25,"1,894,384,958","0.01""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"821,622","216,164",26.30,0.66,"1,005,143,738","0.02""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"237,370","62,368",26.27,0.00,"603,580,761","0.01""",,,,,,,,,
"""ASX",ASX ,FPO,"220,366","56,574",25.67,0.63,"172,305,698","0.03""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"78,269","19,639",25.09,-0.52,"474,413,911","0.00""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"7,984,066","1,984,499",24.85,2.83,"2,368,729,935","0.08""",,,,,,,,,
"""GNC",Graincorp ,FPO,"1,316,736","322,381",24.48,3.62,"198,318,900","0.16""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"1,091,621","254,843",23.34,-0.82,"418,700,517","0.06""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"2,386,044","544,411",22.81,0.59,"2,351,955,725","0.02""",,,,,,,,,
