ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
Xao 4507.4 At 16:36 30/7/2010  Report At 19:05 Friday 30/7/2010!. Processed 13:05 Monday 2/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""SGM",Sims Metal Management ,FPO,"723,054","167,268",23.13,0.11,"203,891,295","0.08""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"9,453,104","2,178,550",23.04,0.97,"772,670,160","0.28""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"436,315","100,220",22.97,-0.88,"120,437,014","0.08""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,712,844","392,716",22.92,0.00,"510,945,759","0.07""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"710,136","161,263",22.70,-0.40,"205,262,842","0.07""",,,,,,,,,
"""AEO",Austereo Group ,FPO,"115,584","25,986",22.48,-0.29,"344,798,708","0.00""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"262,830","59,026",22.45,-1.13,"94,193,403","0.06""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"3,177,330","712,412",22.42,-1.16,"533,379,348","0.13""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"4,989,239","1,113,698",22.32,0.00,"2,748,353,504","0.04""",,,,,,,,,
"""AMC",Amcor ,FPO,"6,501,115","1,445,232",22.23,-0.45,"1,221,647,084","0.11""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"2,220,824","493,771",22.23,0.41,"1,281,937,479","0.03""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"175,861","38,888",22.11,0.00,"65,885,213","0.05""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"7,046,343","1,555,466",22.07,-1.15,"3,107,365,095","0.05""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"3,455,250","754,360",21.83,-0.58,"612,625,759","0.12""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"5,705,280","1,243,058",21.78,-0.29,"2,078,994,021","0.06""",,,,,,,,,
"""MGX",Mount Gibson Iron ,FPO,"4,012,588","864,129",21.53,-2.92,"1,079,570,693","0.08""",,,,,,,,,
"""SBM",St Barbara ,FPO,"7,326,432","1,560,957",21.30,1.69,"1,953,168,407","0.08""",,,,,,,,,
"""AND",Andean Resources ,FPO,"163,655","34,220",20.91,3.06,"471,382,867","0.00""",,,,,,,,,
"""OST",OneSteel ,FPO,"8,924,127","1,811,820",20.30,-2.92,"1,331,583,166","0.13""",,,,,,,,,
"""NXS",Nexus Energy ,FPO,"4,268,590","853,166",19.98,3.27,"958,061,849","0.08""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"29,108,121","5,744,418",19.73,-0.84,"3,356,081,497","0.17""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"1,874,483","369,163",19.69,1.11,"1,561,166,672","0.02""",,,,,,,,,
"""APA",APA Group,STAPLED,"895,354","175,438",19.59,0.54,"542,318,629","0.03""",,,,,,,,,
"""CGF",Challenger Financial Services,FPO,"3,097,191","605,903",19.56,-1.40,"499,473,232","0.12""",,,,,,,,,
"""PBG",Pacific Brands ,FPO,"3,088,740","602,806",19.51,0.55,"931,386,248","0.06""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"1,236,567","240,288",19.43,-1.40,"1,166,821,398","0.02""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"1,286,610","250,061",19.43,-1.13,"1,178,626,572","0.02""",,,,,,,,,
"""SKI",Spark Infrastructure Group,STAPLED,"1,381,500","263,217",19.05,0.40,"1,031,911,394","0.02""",,,,,,,,,
"""MRM",Mermaid Marine Aust ,FPO,"281,944","52,922",18.77,0.00,"186,844,825","0.02""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"2,078,046","390,019",18.76,-0.76,"435,438,790","0.09""",,,,,,,,,
"""GBG",Gindalbie Metals,FPO,"2,204,158","411,631",18.67,-2.02,"849,478,099","0.04""",,,,,,,,,
"""IAU",Intrepid Mines ,FPO,"1,399,219","260,620",18.62,6.19,"429,910,319","0.06""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"8,943,107","1,631,513",18.24,-0.60,"2,559,171,046","0.06""",,,,,,,,,
"""HSP",Healthscope ,FPO,"2,004,390","364,610",18.19,-0.33,"317,335,186","0.11""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"21,400,864","3,891,839",18.18,1.23,"3,121,339,730","0.12""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"289,868","52,365",18.06,-0.96,"259,309,656","0.02""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"1,996,691","360,238",18.04,-0.64,"461,163,412","0.07""",,,,,,,,,
"""PNA",PanAust ,FPO,"11,672,158","2,096,880",17.96,0.88,"2,953,925,939","0.07""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"1,554,774","277,233",17.83,0.78,"239,531,783","0.11""",,,,,,,,,
